名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
天吴,人物,神名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"是為水伯,在𧈫𧈫北兩水間,其為獸也,八首人面,八足八尾,皆青黃,",prompt: 中国神话中的水伯天吴，位于𧈫𧈫北两水之间，形象为八首人面、八足八尾的神兽，全身青黄相间，背景为水墨风格的山水画卷，画面中流水潺潺，山峦起伏，云雾缭绕，展现出浓厚的传统中国美学。,人物\神名\天吴.png,tianwu（天吴）,"prompt: The water god Tianwu in Chinese mythology, located between the two rivers in the north of 𧈫𧈫, is a mythical beast with eight human faces, eight legs and eight tails, the whole body is green and yellow, and the background is an ink-style landscape painting."
𧕦圍,人物,神名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其狀如人靣,羊角,虎爪,恒遊于睢漳之淵,出入有光,",prompt: 《山海经》中的神名𧕦圍，其状如人面，羊角，虎爪，恒游于睢漳之渊，出入有光。请以古代插画风格和传统中国美学的彩色水墨风格绘制这位神秘的神祇。画面中，𧕦圍的人面表情庄重而神秘，头顶长着一对弯曲的羊角，手足则为锐利的虎爪。他悠游在睢漳深渊之中，周身环绕着柔和的光芒，仿佛是水中的一颗明珠。背景可以描绘深邃的水域，水面波光粼粼，远处隐约可见山峦起伏，增添一份神秘与宁静的氛围。,人物\神名\𧕦圍.png,tuowei（𧕦圍）,"prompt: The god in the ""Classic of Mountains and Seas"" is called 𧕦 Wei, which is shaped like a human face, sheep horns, and tiger claws, and always swims in the abyss of Suizhang, with light in and out. Please draw this mysterious deity in the style of ancient illustration and the colorful ink style of traditional Chinese aesthetics. In the picture, the face of the person in the circle is solemn and mysterious, with a pair of curved horns on top of his head, and sharp tiger claws on his hands and feet. He swam leisurely in the abyss of Suizhang, surrounded by soft light, as if he were a pearl in the water. The background can depict deep waters, with sparkling water surfaces and undulating mountains faintly visible in the distance, adding an atmosphere of mystery and tranquility."
天愚,人物,神名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统神话中的天愚神，身穿华丽的云纹长袍，手持象征智慧与知识的玉简，面容慈祥而庄严，站在云端之上，周围环绕着五彩神光，背景是浩瀚星空和翻滚的云海，整体风格为彩色水墨画，展现出神秘而庄重的氛围。,人物\神名\天愚.png,tianyu（天愚）,"prompt: The god of heaven in traditional Chinese mythology, wearing a gorgeous cloud robe, holding a jade slip symbolizing wisdom and knowledge, with a kind and solemn face, standing on the clouds, surrounded by colorful divine light, with a vast starry sky and a rolling sea of clouds in the background, the overall style is colorful ink painting, showing a mysterious and solemn atmosphere."
田祖,人物,神名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"叔均乃爲田祖,",prompt: 田祖叔均，身着古代农耕服饰，手持耒耜，站在金黄色的稻田之中，周围是丰收的景象，天空中飘着祥云，背景是远山和古朴的村落，画面采用传统中国美学的彩色水墨风格，充满神话色彩和古典美感。,人物\神名\田祖.png,tianzu（田祖）,"prompt: Tian Zu Shujun, dressed in ancient farming costumes, holding a plow, standing in the golden rice fields, surrounded by a bumper harvest, auspicious clouds floating in the sky, distant mountains and quaint villages in the background, the picture adopts the color ink style of traditional Chinese aesthetics, full of mythological colors and classical beauty."
𪂧,人物,神名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 𪂧，古代神话中的神祇，身披五彩霞光，手持神秘法器，立于云雾缭绕的山巅之上。背景为水墨风格的山川，色彩以青绿为主，点缀金红，展现出传统中国美学的韵味。神祇面容慈祥，目光深邃，仿佛洞察世间万物。服饰华丽，细节处可见龙凤图案，彰显其尊贵身份。,人物\神名\𪂧.png,wan（𪂧）,"prompt: 𪂧, a god in ancient mythology, dressed in colorful glow and holding a mysterious magic weapon, standing on the top of a mountain shrouded in clouds and mist. The background is an ink-style mountain and river, with a dominant green color and golden red, showing the charm of traditional Chinese aesthetics. The deity has a kind face and deep eyes, as if he has insight into everything in the world. The costumes are gorgeous, and dragon and phoenix patterns can be seen in the details, highlighting their noble status."
袜,人物,神名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其爲物人身黒首,從目,",prompt: 人身黑首的神明袜，其形象为人类身体，头部漆黑如墨，双眼炯炯有神，散发出神秘而威严的气息。背景为山海经中的奇幻山水，采用传统中国美学的彩色水墨风格绘制。,人物\神名\袜.png,wa（袜）,"prompt: The image of a human body with a black head is a human body, with a head as black as ink, and bright eyes, exuding a mysterious and majestic aura. The background is a fantasy landscape in the Classic of Mountains and Seas, painted in the style of colorful ink painting of traditional Chinese aesthetics."
無継,人物,神名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一位神秘的古代神祇無継，身着华丽的古代服饰，长发飘逸，面容威严而慈祥。背景为山川河流，云雾缭绕，展现出一种超凡脱俗的气质。画面采用传统中国美学的彩色水墨风格，线条流畅，色彩淡雅，充满古朴与神秘感。,人物\神名\無継.png,wuji（無継）,"Prompt: A mysterious ancient deity Wuji, dressed in gorgeous ancient costumes, with long flowing hair and a majestic and kind face. The background is mountains and rivers, shrouded in clouds and mist, showing an otherworldly temperament. The picture adopts the color ink style of traditional Chinese aesthetics, with smooth lines and elegant colors, full of simplicity and mystery."
武羅,人物,神名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 武羅，古代神祇，形象威武庄严，身披金色铠甲，手持长剑，面容刚毅，眼神锐利。背景为云雾缭绕的山峦，色彩以深蓝和金色为主，融合传统中国美学的彩色水墨风格，展现出神秘而庄重的氛围。,人物\神名\武羅.png,wuluo（武羅）,"Prompt: Wu Luo, an ancient god, has a majestic and solemn image, wearing golden armor, holding a long sword, with a resolute face and sharp eyes. The background is cloudy mountains, the colors are mainly dark blue and gold, and the colorful ink style of traditional Chinese aesthetics is blended to show a mysterious and solemn atmosphere."
無滛,人物,神名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"帝舜生無滛,降臷處是謂巫臷民,",prompt: 无淫，帝舜之子，降生在巫臷之地，成为巫臷民的首领。画面中，无淫身穿华丽的古装，头戴高冠，面容庄重而威严。背景为巫臷之地，山川秀美，草木葱郁，远处可见巫臷民居住的村落。整体风格参考古代插画和传统中国美学的彩色水墨风格，色彩典雅，线条流畅。,人物\神名\無滛.png,wuyin（無滛）,"prompt: Wu Yin, the son of Emperor Shun, was born in the land of Wuzhan and became the leader of the Wuzhan people. In the picture, Wu Yan is wearing a gorgeous ancient costume, wearing a high crown, and his face is solemn and majestic. The background is the land of Wuzhan, with beautiful mountains and rivers, lush vegetation, and villages where Wuzhan people live can be seen in the distance. The overall style refers to the color ink style of ancient illustrations and traditional Chinese aesthetics, with elegant colors and smooth lines."
信,人物,神名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"後土生信,信生夸父,",prompt: 信，神名，後土之子，夸父之父，形象为一位身穿古朴长袍的中年男子，面容慈祥而威严，手持一根象征大地力量的权杖，周围环绕着代表自然与生命的元素，如山川、草木和飞鸟，背景是广袤的大地与天空，整体风格参考古代插画和传统中国彩色水墨画。,人物\神名\信.png,xin（信）,"prompt: Faith, the name of God, the son of Houtu, the father of Kuafu, the image is a middle-aged man in a simple robe, with a kind and majestic face, holding a scepter symbolizing the power of the earth, surrounded by elements representing nature and life, such as mountains, rivers, plants and birds, the background is the vast earth and sky, the overall style refers to ancient illustrations and traditional Chinese color ink paintings."
