名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
委維,动物,虫名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只神秘的虫类生物，名为委維，栖息于古老山林之中。其身长三尺，通体呈淡绿色，带有细腻的金色斑纹。头部有一对细长触角，眼睛如同两颗璀璨的宝石，闪烁着智慧的光芒。身体两侧生有透明轻盈的翅膀，翼上绘有精致的花纹。四肢修长有力，末端为锋利的爪子。周围环境是幽静的山谷，古木参天，云雾缭绕，充满神秘气息。整体画面采用传统中国美学的彩色水墨风格，笔触细腻，色彩柔和。,动物\虫名\委維.png,weiwei（委維）,"Prompt: A mysterious insect-like creature named Weiwei inhabits ancient mountains and forests. It is three feet long and pale green with delicate golden markings. The head has a pair of slender antennae, and the eyes are like two bright gems, shining with wisdom. The sides of the body are born with transparent and light wings, and the wings are painted with delicate patterns. The limbs are slender and powerful, ending in sharp claws. The surrounding environment is a quiet valley with towering ancient trees, clouds and mist, full of mystery. The overall picture adopts the color ink style of traditional Chinese aesthetics, with delicate brushstrokes and soft colors."
玄蛇,动物,虫名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"黒水之南,食麈,",prompt: 黑水之南的玄蛇，身体蜿蜒如黑龙，鳞片闪烁着深邃的黑光，它盘踞在幽暗的森林中，四周弥漫着神秘的气息。玄蛇目光炯炯有神，嘴角微张，似乎正在觅食麈鹿。背景是黑水之南的茂密森林，树木参天，枝叶繁茂，远处隐约可见黑水的波光粼粼。画面采用传统中国美学的彩色水墨风格，笔触细腻，色彩层次丰富，展现出一种古典而神秘的氛围。,动物\虫名\玄蛇.png,xuanshe（玄蛇）,"prompt: The black snake in the south of the black water, its body is winding like a black dragon, its scales shimmer with deep black light, it is entrenched in the dark forest, surrounded by a mysterious atmosphere. The black snake had bright eyes and the corners of its mouth slightly opened, as if it was foraging for a deer. In the background is the dense forest south of Heishui, with towering trees and lush branches and leaves, and the shimmering black water can be faintly seen in the distance. The picture adopts the color ink style of traditional Chinese aesthetics, with delicate brushstrokes and rich color layers, showing a classical and mysterious atmosphere."
育蛇,动物,虫名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"宋山者有赤蛇,",prompt: 宋山赤蛇，身长数丈，通体鲜红如火，鳞片闪耀着金属光泽。它盘踞于宋山之巅，周围环绕着古老的松树和奇石，背景是云雾缭绕的山峦。画面采用传统中国美学的彩色水墨风格，色彩浓郁而富有层次感，展现出神秘而壮丽的自然景象。,动物\虫名\育蛇.png,yushe（育蛇）,"prompt: Songshan red snake, several feet long, bright red as fire, scales shining with metallic luster. It is entrenched on the top of Song Mountain, surrounded by ancient pine trees and strange rocks, with misty mountains in the background. The picture adopts the color ink style of traditional Chinese aesthetics, with rich colors and layers, showing a mysterious and magnificent natural scene."
螽,动物,虫名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只螽斯，体型修长，色彩斑斓，翅膀半透明，带有细腻的纹理，身体呈翠绿色，点缀着金色斑点，触角细长而灵敏，栖息在一株古朴的竹子上，背景为淡雅的水墨山水，画面充满传统中国美学的韵味。,动物\虫名\螽.png,zhong（螽）,"prompt: A grasshopper, slender and colorful, with translucent wings with delicate texture, emerald green body, dotted with golden spots, slender and sensitive antennae, perched on a quaint bamboo, with an elegant ink landscape in the background, the picture is full of the charm of traditional Chinese aesthetics."
朱蛾,动物,虫名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其狀如蛾,",prompt: 一只形似蛾的神秘生物，名为朱蛾。它拥有华丽的红色翅膀，翅膀上点缀着金色的斑点，犹如夜空中闪烁的星辰。朱蛾的身体细长而柔软，触角弯曲且精致。整体形象呈现出一种古典而优雅的美感，参考古代插画风格和传统中国美学的彩色水墨风格，背景为淡雅的山水风景。,动物\虫名\朱蛾.png,zhue（朱蛾）,"prompt: A mysterious moth-like creature called the red moth. It has gorgeous red wings dotted with golden spots, like twinkling stars in the night sky. The body of the red moth is slender and soft, with curved and delicate antennae. The overall image presents a classical and elegant beauty, referring to the color ink style of ancient illustration style and traditional Chinese aesthetics, with elegant landscapes in the background."
盩蜼,动物,虫名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代神话中的虫类生物盩蜼，体态修长而灵动，身披斑斓的彩纹，如同彩虹般绚烂。其头部似虎豹，但双目却闪烁着智慧与神秘的光芒。四肢强健有力，能够轻松穿梭于山林之间。整体形象融合了自然界的多种元素，展现出一种独特的生命力和美感。背景为一片茂密的山林，远处有连绵起伏的山脉，色彩以传统中国水墨画风格为主，用色淡雅且富有层次感，营造出一种梦幻般的氛围。,动物\虫名\盩蜼.png,zhouwei（盩蜼）,"prompt: The insect creature in ancient mythology is slender and agile, dressed in colorful patterns, as brilliant as a rainbow. Its head resembles a tiger or leopard, but its eyes shine with wisdom and mystery. The limbs are strong and powerful, and they can easily shuttle between mountains and forests. The overall image integrates a variety of elements of nature, showing a unique vitality and beauty. The background is a dense mountain forest, with rolling mountains in the distance, and the colors are mainly in the style of traditional Chinese ink painting, with elegant and layered colors, creating a dreamlike atmosphere."
長蛇,动物,虫名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其毛如彘豪,其音如皷柝,",prompt: 长蛇，其毛如猪鬃般粗硬浓密，通体覆盖着一层厚重的黑色或深棕色毛发，形似巨蟒但更为庞大威猛。它的眼睛闪烁着幽绿色的光芒，头部扁平宽大，口中长满锋利的牙齿。当它移动时，身体摩擦地面发出如同鼓和木柝敲击般的响声，震耳欲聋。背景为古代中国山川河流，采用传统中国美学的彩色水墨风格绘制，色彩对比鲜明，线条流畅有力。,动物\虫名\長蛇.png,zhangshe（長蛇）,"prompt: Long snake, its hair is as thick and dense as a pig's bristle, covered with a thick layer of black or dark brown hair, resembling a giant python but more massive and powerful. Its eyes glowed with a dark green light, its head was flat and wide, and its mouth was full of sharp teeth. As it moved, it made a deafening sound as its body rubbed against the ground like drums and wooden watches. The background is the mountains and rivers of ancient China, painted in the color ink style of traditional Chinese aesthetics, with sharp color contrasts and smooth and powerful lines."
蟲蛇,动物,虫名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，蟲蛇，一种神秘的虫类生物，身体细长如蛇，表面覆盖着五彩斑斓的鳞片，头部有两根弯曲的触角，眼睛大而明亮，身上有着细腻的纹理和斑点，尾巴尖端有一对小翅膀，整体形象灵动且充满神秘感，背景为山林间，雾气缭绕，古树参天，营造出一种幽深而神秘的氛围。,动物\虫名\蟲蛇.png,chongshe（蟲蛇）,"prompt: Colorful ink style of traditional Chinese aesthetics, insect snake, a mysterious insect creature, the body is slender like a snake, the surface is covered with colorful scales, the head has two curved antennae, the eyes are large and bright, the body has delicate textures and spots, the tip of the tail has a pair of small wings, the overall image is smart and full of mystery, the background is mountains and forests, the fog is shrouded, the ancient trees are towering, creating a deep and mysterious atmosphere."
赤蛇,动物,虫名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一条红色的蛇，身体细长而弯曲，鳞片闪耀着金属般的光泽。它的眼睛如同两颗明亮的红宝石，透露出神秘的气息。背景是古老的山林，树木茂密，云雾缭绕，整体画面采用传统的中国彩色水墨风格，线条流畅，色彩鲜艳而富有层次感。,动物\虫名\赤蛇.png,chishe（赤蛇）,"A red snake with an elongated and curved body and scales that shine with a metallic sheen. Its eyes are like two bright rubies, revealing an aura of mystery. The background is an ancient mountain forest, dense trees, clouds and mist, and the overall picture adopts the traditional Chinese color ink style, with smooth lines, bright and layered colors."
大蠭,动物,虫名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其狀如螽,",prompt: 大蠭，其状如螽，体态修长，色泽翠绿，翅膀半透明，带有细腻的纹理，触角细长弯曲，复眼圆而明亮。背景为山林间，古木参天，藤蔓缠绕，画面采用传统中国美学的彩色水墨风格，笔触细腻，色彩淡雅。,动物\虫名\大蠭.png,dafeng（大蠭）,"prompt: The giant cockroach resembles a grasshopper, with a slender body, emerald green in color, translucent wings, delicate texture, slender and curved antennae, and round and bright compound eyes. The background is the mountains and forests, the ancient trees are towering, the vines are entangled, and the picture adopts the color ink style of traditional Chinese aesthetics, with delicate brushstrokes and elegant colors."
