名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
刀,器物,兵器,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一把古老的刀，刃如秋水，锋利无匹，刀身雕刻着山海经中的神兽图案，刀柄以青玉制成，镶嵌着红宝石，散发着幽幽古韵。背景为淡雅的水墨山水，云雾缭绕，增添神秘感。整体风格参考古代插画和传统中国美学。,器物\兵器\刀.png,dao（刀）,"prompt: An ancient knife, the blade is like autumn water, sharp and unmatched, the blade is carved with the pattern of mythical beasts in the Classic of Mountains and Seas, and the handle is made of green jade, inlaid with rubies, exuding a subtle ancient charm. The background is an elegant ink landscape, surrounded by clouds and mist, adding to the mystery. The overall style references ancient illustrations and traditional Chinese aesthetics."
盾,器物,兵器,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，古代盾牌，圆形，表面绘有太极图案，边缘装饰着云纹和龙纹，材质为青铜，表面泛着古朴的光泽，背景是淡淡的山水画，整体氛围庄重而神秘。,器物\兵器\盾.png,dun（盾）,"prompt: Colorful ink style of traditional Chinese aesthetics, ancient shield, round, painted with Tai Chi pattern on the surface, decorated with cloud patterns and dragon patterns on the edges, made of bronze, with a simple luster on the surface, and a faint landscape painting in the background, the overall atmosphere is solemn and mysterious."
瞂,器物,兵器,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学彩色水墨风格，瞂，古代盾牌，形制巨大，表面绘有山海经中的神兽图案，如夔龙、九尾狐等，边缘装饰着繁复的云雷纹，整体呈现出一种神秘而威严的气息，背景为淡淡的山水画，增添了几分古朴与庄重。,器物\兵器\瞂.png,fa（瞂）,"prompt: Traditional Chinese aesthetic color ink style, the ancient shield, the shape is huge, the surface is painted with the patterns of mythical beasts in the Classic of Mountains and Seas, such as Kuilong, nine-tailed fox, etc., the edges are decorated with complex cloud and thunder patterns, the overall presentation of a mysterious and majestic atmosphere, the background is a faint landscape painting, adding a bit of simplicity and solemnity."
戈,器物,兵器,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，古代兵器戈，长柄短刃，刃部呈弧形，柄部以深棕色木质材料制成，刃部闪耀着寒光，周围环绕着淡淡的云雾，背景为远山和松树，展现出一种古朴而神秘的气息。,器物\兵器\戈.png,ge（戈）,"prompt: Colorful ink style of traditional Chinese aesthetics, ancient weapon Ge, long handle and short blade, the blade is curved, the handle is made of dark brown wood material, the blade shines with cold light, surrounded by faint clouds and mist, and the background is distant mountains and pine trees, showing a simple and mysterious atmosphere."
弓,器物,兵器,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一把古老的弓，采用传统中国美学的彩色水墨风格绘制，弓身以深棕色为主，上面雕刻着精细的山海经神兽图案，如青龙、白虎等。弓弦紧绷，呈现出蓄势待发的状态。背景为淡雅的山水画，远处山峦若隐若现，近处有几株苍松翠柏，整个画面充满古朴而神秘的气息。,器物\兵器\弓.png,gong（弓）,"prompt: An ancient bow, painted in the color ink style of traditional Chinese aesthetics, the bow body is mainly dark brown, and it is carved with fine patterns of mountains and seas, such as the blue dragon, white tiger, etc. The bowstring is tight and ready to go. The background is an elegant landscape painting, with mountains looming in the distance and a few green pines and cypresses nearby, and the whole picture is full of simple and mysterious atmosphere."
干戚,器物,兵器,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统兵器干戚，造型古朴威猛，形似斧钺，斧刃宽大锋利，柄部装饰有龙纹和云纹，整体以深沉的青铜色为主，边缘镶嵌金色线条，背景为淡雅的水墨山水，展现出浓郁的古代神话气息。,器物\兵器\干戚.png,ganqi（干戚）,"prompt: The traditional Chinese weapon is simple and powerful, resembling an axe, the axe blade is wide and sharp, the handle is decorated with dragon patterns and cloud patterns, the overall is mainly deep bronze, the edges are inlaid with gold lines, and the background is an elegant ink landscape, showing a strong ancient mythological atmosphere."
劔,器物,兵器,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一把古老的劔，剑身修长而锋利，剑刃闪烁着寒光。剑柄上镶嵌着青玉和红宝石，剑鞘由黑檀木制成，上面雕刻着精细的云纹和龙凤图案，整体呈现出一种神秘而威严的气息。背景是山海经中的奇幻山水，采用彩色水墨风格绘制，展现出浓郁的传统中国美学。,器物\兵器\劔.png,jian（劔）,"prompt: An ancient sword, the sword body is slender and sharp, and the blade flashes with cold light. The hilt is inlaid with green jade and rubies, and the scabbard is made of ebony, carved with fine cloud patterns and dragon and phoenix patterns, giving it a mysterious and majestic aura as a whole. The background is a fantasy landscape from the Classic of Mountains and Seas, painted in the style of colorful ink, showing a strong traditional Chinese aesthetic."
矛,器物,兵器,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统兵器矛，长杆上镶嵌着锋利的金属枪头，枪头呈流线型，表面有细腻的纹饰，枪杆由坚韧的竹木制成，表面涂有朱红色漆，整体呈现出一种古朴而威严的气息，背景为淡雅的山水画，风格参考古代插画和传统中国美学的彩色水墨风格。,器物\兵器\矛.png,mao（矛）,"prompt: Traditional Chinese weapon spear, the long pole is inlaid with a sharp metal spearhead, the spear head is streamlined, the surface has delicate decorations, the gun barrel is made of tough bamboo and wood, the surface is painted with vermilion lacquer, the overall presents a simple and majestic atmosphere, the background is an elegant landscape painting, the style refers to ancient illustrations and the color ink style of traditional Chinese aesthetics."
矢,器物,兵器,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国古代兵器矢，以传统中国美学的彩色水墨风格绘制，箭矢修长而锐利，箭头闪耀着寒光，箭杆上缠绕着细腻的羽毛，整体造型简洁而富有力量感，背景为淡雅的山水画，展现出古代战场的肃杀氛围。,器物\兵器\矢.png,shi（矢）,"prompt: Ancient Chinese weapon arrows, painted in the color ink style of traditional Chinese aesthetics, the arrows are slender and sharp, the arrows shine with cold light, the arrow shaft is wrapped with delicate feathers, the overall shape is simple and powerful, the background is elegant landscape paintings, showing the slaughtering atmosphere of the ancient battlefield."
素矰,器物,兵器,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"帝俊賜羿彤弓素矰,",prompt: 帝俊赐羿彤弓素矰，画面中，一位古风装扮的射手手持一把红色的弓箭（彤弓），旁边放置着几支白色的箭矢（素矰）。背景为古代神话中的山川景色，云雾缭绕，仙鹤飞翔。整体风格参考古代插画和传统中国美学的彩色水墨风格，色彩以淡雅为主，线条流畅，细节精致。,器物\兵器\素矰.png,suzeng（素矰）,"prompt: In the picture, an archer dressed in ancient costume holds a red bow and arrow (Tong bow), and several white arrows are placed next to it. The background is the scenery of mountains and rivers in ancient mythology, with clouds and mist and cranes flying. The overall style refers to the color ink style of ancient illustrations and traditional Chinese aesthetics, with light colors, smooth lines, and exquisite details."
