名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
纓,器物,服饰,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，古代服饰纓，细腻描绘其精致的流苏和华丽的装饰，色彩丰富而典雅，展现出浓厚的文化底蕴和历史感。背景为淡雅的山水画，纓悬挂在古典的衣架上，细节清晰可见，线条流畅自然，整体呈现出一种古典美与和谐感。,器物\服饰\纓.png,ying（纓）,"prompt: The colorful ink style of traditional Chinese aesthetics, ancient costumes, delicately depicting its delicate tassels and gorgeous decorations, rich and elegant in color, showing a strong sense of cultural heritage and history. The background is an elegant landscape painting, hanging on a classical hanger, the details are clearly visible, the lines are smooth and natural, and the overall presents a sense of classical beauty and harmony."
旃冠,器物,服饰,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 旃冠，一种古代祭祀时所戴的特殊帽子，采用传统中国美学的彩色水墨风格绘制。帽子主体为深蓝色，边缘饰有金色花纹，顶部装饰着五彩斑斓的羽毛，羽毛随风轻轻摇曳，显得庄重而神秘。背景为淡雅的山水画，整个画面充满古朴典雅的气息。,器物\服饰\旃冠.png,zhanguan（旃冠）,"prompt: Crown, a special hat worn during ancient sacrifices, painted in the style of colorful ink painting of traditional Chinese aesthetics. The main body of the hat is dark blue, the edges are decorated with gold patterns, and the top is decorated with colorful feathers that gently sway in the wind, making it look solemn and mysterious. The background is an elegant landscape painting, and the whole picture is full of simple and elegant atmosphere."
紫衣,器物,服饰,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt：紫衣，古代中国贵族服饰，采用深紫色丝绸制成，衣袖宽大流畅，衣身绣有金色云纹和龙凤图案，边缘饰以精致的金线滚边，整体呈现出华丽而庄重的风格，适合AI绘画时参考唐代壁画中的服饰样式。,器物\服饰\紫衣.png,ziyi（紫衣）,"prompt: Purple clothes, ancient Chinese aristocratic costumes, made of dark purple silk, wide and smooth sleeves, embroidered with gold cloud patterns and dragon and phoenix patterns, and the edges are decorated with delicate gold thread piping, presenting a gorgeous and solemn style as a whole, suitable for AI painting to refer to the clothing style in Tang Dynasty murals."
帶,器物,服饰,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国服饰，名为帶，是一种精致的腰带，采用细腻的丝绸材质，上面绣有山海经中的神兽图案，如九尾狐和青鸟，色彩鲜艳且富有层次感，呈现出古代宫廷的华贵气息，背景为淡雅的水墨山水画，整体风格融合了传统中国美学与彩色水墨画的特点。,器物\服饰\帶.png,dai（帶）,"Prompt: Traditional Chinese costume, called belt, is a delicate belt, made of delicate silk material, embroidered with the patterns of mythical beasts in the Classic of Mountains and Seas, such as the nine-tailed fox and the blue bird, bright and layered, showing the luxurious atmosphere of the ancient court, the background is elegant ink landscape painting, the overall style combines traditional Chinese aesthetics and the characteristics of color ink painting."
服,器物,服饰,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统服饰，名为服，色彩以青、白为主，采用古代丝绸材质，衣襟宽大流畅，袖口和领口绣有精致的云纹图案，腰间系有细腻的丝带，整体风格典雅而庄重，背景为淡雅的水墨山水画，展现出一种古典的中国美学。,器物\服饰\服.png,fu（服）,"prompt: Traditional Chinese costumes, called clothing, the color is mainly blue and white, made of ancient silk material, the placket is wide and smooth, the cuffs and neckline are embroidered with exquisite moire patterns, and the waist is tied with delicate ribbons, the overall style is elegant and solemn, and the background is an elegant ink landscape painting, showing a classical Chinese aesthetic."
冠,器物,服饰,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，古代冠冕，华丽而庄重，饰以金色龙纹和珠宝，象征着权力与尊贵，背景为淡雅的山水画，展现出一种古典的优雅与威严。,器物\服饰\冠.png,guan（冠）,"prompt: Colorful ink style of traditional Chinese aesthetics, ancient crowns, gorgeous and solemn, decorated with golden dragon patterns and jewels, symbolizing power and nobility, and the background is an elegant landscape painting, showing a classical elegance and majesty."
䈂,器物,服饰,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt：古风服饰，名为䈂，传统中国美学风格，色彩淡雅，线条流畅，细节精致，衣袂飘逸，以彩色水墨画风格呈现，展现出古代文人雅士的高洁气质。,器物\服饰\䈂.png,ping（䈂）,"prompt: Ancient style clothing, named 䂂, traditional Chinese aesthetic style, elegant colors, smooth lines, exquisite details, flowing sleeves, presented in the style of colorful ink painting, showing the noble temperament of ancient literati and elegant scholars."
青衣,器物,服饰,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt：青衣，古代中国服饰，以淡雅的青色为主色调，采用传统丝绸材质，衣襟、袖口和下摆处绣有精致的云纹和莲花图案，整体呈现出一种清新脱俗的气息，参考宋代文人画风格，注重线条流畅与色彩的和谐统一。,器物\服饰\青衣.png,qingyi（青衣）,"prompt: Tsing Yi, ancient Chinese costume, with elegant cyan as the main color, using traditional silk material, embroidered with exquisite cloud patterns and lotus patterns on the placket, cuffs and hem, the overall presents a fresh and refined atmosphere, referring to the style of literati painting in the Song Dynasty, focusing on the smooth lines and the harmony and unity of color."
勝,器物,服饰,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，描绘一位身着华丽古装的人物，名为勝。服饰以深蓝色为主色调，配以金色和红色的精致刺绣，展现出古代贵族的尊贵与威严。服饰上绣有山海经中的神兽图案，如麒麟、凤凰等，细节丰富，色彩鲜明。背景为淡雅的山水画，营造出一种古典而神秘的氛围。,器物\服饰\勝.png,sheng（勝）,"Prompt: A colorful ink style of traditional Chinese aesthetics, depicting a figure dressed in a gorgeous costume named Sheng. The costume is dominated by dark blue, with delicate embroidery in gold and red, showing the dignity and majesty of the ancient aristocracy. The costumes are embroidered with the patterns of mythical beasts in the Classic of Mountains and Seas, such as unicorns, phoenixes, etc., with rich details and bright colors. The background is an elegant landscape painting, creating a classical and mysterious atmosphere."
絲,器物,服饰,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国服饰，丝质长袍，细腻光滑的丝绸面料，流光溢彩，衣袂飘逸，色彩以淡雅的青绿色为主，配以精致的云纹和莲花图案，展现出古朴典雅的风格，背景为水墨山水画，整体呈现出一种宁静和谐的美感。,器物\服饰\絲.png,si（絲）,"prompt: Traditional Chinese costumes, silk robes, delicate and smooth silk fabrics, full of color, flowing sleeves, the color is mainly elegant turquoise, with delicate cloud patterns and lotus flower patterns, showing a simple and elegant style, the background is ink landscape painting, the overall presentation of a peaceful and harmonious beauty."
