名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
太行之山,地名,山系,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其首曰歸山,",prompt: 太行之山，其首曰歸山，雄伟壮丽的山脉连绵起伏，山峰云雾缭绕，山间溪流潺潺。山体以青绿色为主调，点缀着苍松翠柏，山脚下有古朴的村落和梯田，远处可见飞瀑流泉，整体呈现出一种古典水墨画的风格。,地名\山系\太行之山.png,taixingzhishan（太行之山）,"prompt: The mountains of Taihang, the first of which is Gui Mountain, the majestic and magnificent mountains are undulating, the peaks are shrouded in clouds and mist, and the streams in the mountains are gurgling. The mountain is mainly turquoise, dotted with green pines and cypresses, there are quaint villages and terraced fields at the foot of the mountain, and waterfalls and springs can be seen in the distance, presenting a classical ink painting style as a whole."
西次二經,地名,山系,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"之首曰鈐山,",prompt: 中国传统山水画风格，西次二经的首山鈐山，山势雄伟险峻，云雾缭绕，山间有古木参天，溪流潺潺，山脚下有一座古老的庙宇，庙宇周围是茂密的竹林，远处的山峰若隐若现，整个画面色彩以淡雅的水墨为主，点缀一些鲜艳的色彩，如翠绿的竹叶和朱红的庙宇屋顶。,地名\山系\西次二經.png,xicierjing（西次二經）,"prompt: Traditional Chinese landscape painting style, the first mountain of the second classic of the West, the mountain is majestic and steep, the clouds and mist, there are ancient trees towering in the mountains, the stream is gurgling, there is an ancient temple at the foot of the mountain, the temple is surrounded by dense bamboo forests, the mountain peaks in the distance are looming, the whole picture color is mainly elegant ink, embellished with some bright colors, such as emerald green bamboo leaves and vermilion temple roofs."
西次四經,地名,山系,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"之首曰隂山,",prompt：西次四经之首的隂山，位于古代神话中的西方山脉，山势险峻，云雾缭绕。画面中，隂山被描绘成一座巍峨挺拔的山峰，山顶覆盖着皑皑白雪，山腰间云雾缭绕，仿佛仙境一般。山脚下有清澈的溪流蜿蜒而过，周围古木参天，奇花异草点缀其间。整体风格采用传统中国美学的彩色水墨画风，用细腻的笔触勾勒出山水之美，展现出一种神秘而宁静的氛围。,地名\山系\西次四經.png,xicisijing（西次四經）,"prompt: The first of the four western classics, Wei Mountain, is located in the western mountains in ancient mythology, with steep mountains and clouds and mist. In the picture, Weishan is depicted as a majestic and straight peak, the top of the mountain is covered with snow, and the mountainside is shrouded in clouds and mist, like a fairyland. At the foot of the mountain, there is a clear stream winding by, surrounded by towering ancient trees and exotic flowers and plants. The overall style adopts the color ink painting style of traditional Chinese aesthetics, outlining the beauty of the landscape with delicate brushstrokes, showing a mysterious and tranquil atmosphere."
西次三經,地名,山系,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"之首曰崇吾之山,",prompt：崇吾之山，位于西次三经之首，山势雄伟壮观，云雾缭绕，山中生长着各种奇花异草，色彩斑斓。山脚下有清澈的溪流蜿蜒而过，溪边长满了翠绿的竹林。山间可见珍稀动物悠闲地漫步，如白鹿、青鸟等。整个画面采用传统中国美学的彩色水墨风格，构图讲究层次感和空间感，用色淡雅清新，笔触细腻流畅，展现出一幅宁静和谐的自然风光画卷。,地名\山系\西次三經.png,xicisanjing（西次三經）,"Prompt: Chongwu Mountain, located at the head of the three western meridians, the mountain is majestic and magnificent, surrounded by clouds and mist, and all kinds of strange flowers and plants grow in the mountains, colorful. At the foot of the mountain, there is a clear stream meandering by, and the stream is covered with verdant bamboo forests. Rare animals can be seen leisurely strolling in the mountains, such as white deer and blue birds. The whole picture adopts the color ink style of traditional Chinese aesthetics, the composition pays attention to the sense of layering and space, the colors are elegant and fresh, and the brushstrokes are delicate and smooth, showing a picture of peaceful and harmonious natural scenery."
西經之首,地名,山系,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学彩色水墨风格，西经之首的山系，连绵起伏的山脉，云雾缭绕，山间有古木参天，溪流潺潺，远处群峰若隐若现，山脚下有古老的村落，炊烟袅袅，天空中有几只仙鹤飞翔，整幅画面充满神秘与宁静的气息。,地名\山系\西經之首.png,xijingzhishou（西經之首）,"prompt: Traditional Chinese aesthetic color ink style, the first mountain system of the Western Classic, the rolling mountains, the clouds and mist, the ancient trees in the mountains, the gurgling streams, the peaks in the distance, the ancient villages at the foot of the mountains, the smoke of cooking, a few cranes flying in the sky, the whole picture is full of mystery and tranquility."
䧿山,地名,山系,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"南山經之首,其首曰招摇之山,",prompt：南山经之首的招摇山，位于鷩山山脉中，山势雄伟壮丽，云雾缭绕。山间有古木参天，藤蔓缠绕，溪流潺潺，瀑布飞泻而下。山顶上有一座古老的神庙，庙宇建筑风格古朴典雅，红墙黛瓦，金碧辉煌。远处可见群山连绵，层峦叠嶂，山间点缀着各种奇花异草和珍禽异兽。整幅画面采用传统中国彩色水墨画风格，色彩淡雅，线条流畅，富有诗意。,地名\山系\䧿山.png,queshan（䧿山）,"prompt: Zhaoyao Mountain, the first of the Nanshan Classics, is located in the Zhishan Mountains, with majestic and magnificent mountains and clouds and mist. There are towering ancient trees in the mountains, vines entangled, gurgling streams, and waterfalls cascading down. There is an ancient temple on the top of the mountain, with a simple and elegant architectural style, red walls and dark tiles, and golden splendor. In the distance, you can see the mountains and mountains, and the mountains are dotted with all kinds of exotic flowers and plants and rare birds and beasts. The whole picture adopts the style of traditional Chinese color ink painting, with elegant colors, smooth lines and poetry."
中次十經,地名,山系,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"之首曰首陽之山,",prompt: 中国传统水墨画风格的首阳山，位于中次十经之首，山势雄伟壮观，云雾缭绕，山间有古木参天，奇石嶙峋，山脚下溪流潺潺，几只仙鹤在空中飞翔，远处隐约可见一些古代建筑，整个画面充满神秘与宁静之美。,地名\山系\中次十經.png,zhongcishijing（中次十經）,"prompt: Shouyang Mountain, a traditional Chinese ink painting style, is located at the top of the Ten Classics, the mountain is majestic, the clouds are shrouded, there are ancient trees towering in the mountains, strange rocks, streams at the foot of the mountain, several cranes flying in the air, some ancient buildings can be vaguely seen in the distance, and the whole picture is full of mystery and tranquil beauty."
東次二經,地名,山系,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"之首曰空桑之山,",prompt: 东次二经之首的空桑之山，山势雄伟壮丽，云雾缭绕其间，仿佛与天相接。山间古木参天，藤蔓缠绕，奇花异草遍布，色彩斑斓，散发出淡淡的幽香。山脚下有一条清澈的小溪蜿蜒流淌，溪水潺潺，鱼儿嬉戏其中。远处可见一些古老的村落，炊烟袅袅升起，显得宁静祥和。整幅画面采用传统中国美学的彩色水墨风格，笔触细腻，层次分明，既有山水画的意境之美，又不失神话传说中的神秘气息。,地名\山系\東次二經.png,dongcierjing（東次二經）,"prompt: The mountain of Kongsang, the first of the two classics of the East, is majestic and magnificent, surrounded by clouds and mist, as if it is connected to the sky. The ancient trees in the mountains are towering, the vines are entangled, and the flowers and plants are all over the place, colorful, and exude a faint fragrance. At the foot of the mountain, there is a clear stream meandering, the stream is gurgling, and the fish are playing in it. In the distance, you can see some ancient villages, and the smoke rises, looking quiet and peaceful. The whole picture adopts the color ink style of traditional Chinese aesthetics, with delicate brushstrokes and clear layers, which not only has the beauty of the artistic conception of landscape painting, but also loses the mysterious atmosphere of myths and legends."
東次三經,地名,山系,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"之首曰尸胡之山,",prompt: 东次三经之首的尸胡之山，山势雄伟，云雾缭绕，山间有奇花异草和珍稀树木，色彩斑斓。山脚下有一条清澈见底的小溪，溪水潺潺流过，小溪边生长着各种奇特的植物。天空中飘着几朵祥云，阳光透过云层洒下，给整座山增添了几分神秘与庄严。画面采用传统中国彩色水墨风格，注重细节描绘，展现出古代插画中的山水之美。,地名\山系\東次三經.png,dongcisanjing（東次三經）,"prompt: The mountain of Shihu, the first of the three classics of the East, is majestic, shrouded in clouds and mist, and there are exotic flowers and rare trees in the mountains, colorful. At the foot of the mountain, there is a crystal clear stream that flows through it, and all kinds of exotic plants grow along the stream. There were a few auspicious clouds floating in the sky, and the sun shone through the clouds, adding a bit of mystery and solemnity to the whole mountain. The picture adopts the traditional Chinese color ink style, paying attention to detail depiction, showing the beauty of landscapes in ancient illustrations."
東次四經,地名,山系,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"之首曰北號之山,",prompt: 东次四经之首的北号之山，以古代中国山水画风格呈现，画面中群峰连绵起伏，山势雄伟险峻，云雾缭绕其间。山脚下有清澈溪流蜿蜒而过，溪边生长着茂密的松柏与奇花异草，色彩采用传统水墨画的淡雅色调，同时融入少量鲜艳色彩以突出自然之美。整幅图展现出一种宁静而神秘的氛围，仿佛能听到远处传来的潺潺流水声和鸟鸣声。,地名\山系\東次四經.png,dongcisijing（東次四經）,"prompt: The North Mountain, the first of the four eastern meridians, is presented in the style of ancient Chinese landscape painting, with undulating peaks, majestic and steep mountains, and clouds and mist in the middle. At the foot of the mountain, a clear stream winds through the stream, where dense pines and cypresses and exotic flowers and plants grow, in the elegant tones of traditional ink painting, while incorporating a small amount of bright colors to highlight the beauty of nature. The whole picture shows a serene and mysterious atmosphere, as if you can hear the sound of gurgling water and birdsong in the distance."
