名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
軒轅之臺,地名,建筑,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"射者不敢西嚮射畏軒轅之臺,",prompt：軒轅之臺，一座古老而神秘的建築，坐落在山巔之上，四周雲霧繚繞。臺身由巨大的青石砌成，古樸莊嚴，雕刻著神獸和符文，透露出濃厚的遠古氣息。臺頂矗立著一尊黃帝軒轅的雕像，威嚴肅穆，手持弓箭，目光炯炯有神，俯瞰四方。整個建築呈現出一種不可侵犯的神聖感，讓所有來到這裡的射者都不敢朝西方向射箭，唯恐觸怒了這位偉大的帝王。背景是蒼茫的山川，層層疊疊的山巒在雲霧中若隱若現，增添了一絲神秘與莊嚴。整體風格融合了古代插畫的細膩與傳統中國彩色水墨的韻味。,地名\建筑\軒轅之臺.png,xuanyuanzhitai（軒轅之臺）,"Prompt: Xuanyuan Terrace, an ancient and mysterious building, sits on a mountain top, surrounded by clouds and mist. The platform is made of huge bluestone, simple and solemn, carved with mythical beasts and runes, revealing a strong ancient atmosphere. On the top of the platform stands a statue of the Yellow Emperor Xuanyuan, majestic and solemn, holding a bow and arrow, with bright eyes, overlooking the four directions. The whole building presents an inviolable sense of sacredness, so that all archers who come here do not dare to shoot arrows in the west direction, for fear of angering the great emperor. The background is the vast mountains and rivers, and the layers of mountains loom in the clouds and mist, adding a touch of mystery and solemnity. The overall style combines the delicacy of ancient illustrations with the charm of traditional Chinese colorful ink painting."
衆帝之臺,地名,建筑,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"在崑崙之北,柔利之東,",prompt: 位于崑崙之北，柔利之东的衆帝之臺，是一座宏伟壮观的古代建筑。它坐落在群山之中，周围环绕着云雾缭绕的仙境景象。建筑本身采用传统的中国宫殿风格，屋顶覆盖着琉璃瓦，飞檐翘角，雕刻精美。台基高耸，由巨大的石块砌成，台阶层层叠叠，通向顶部的主殿。四周有精美的栏杆和装饰性的石雕，描绘着神话中的神兽和仙人。整个建筑在彩墨风格下显得神秘而庄严，仿佛是连接人间与天界的神圣之地。,地名\建筑\衆帝之臺.png,zhongdizhitai（衆帝之臺）,"Prompt: Located in the north of Kunlun and east of Rouli, the Terrace of the Emperors is a magnificent ancient building. It is nestled amidst mountains and surrounded by a misty wonderland scene. The building itself is in the traditional Chinese palace style, with a roof covered with glazed tiles, cornices and intricately carved cornices. The platform is towering, made of huge stone blocks, and the steps are layered on top of each other to lead to the main hall at the top. There are exquisite railings and decorative stone carvings all around, depicting mythical beasts and immortals. The whole building looks mysterious and solemn in the color ink style, as if it is a sacred place connecting the world and the heavens."
帝丹朱臺,地名,建筑,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"各二臺,臺四方,在崑崙東北,",prompt: 帝丹朱臺，两座四方形高台，位于昆仑山的东北方向，建筑风格古朴庄重，色彩以红、金为主，周围环绕着祥云和仙鹤，背景是巍峨的昆仑山脉，整体呈现出一种神秘而庄严的氛围。,地名\建筑\帝丹朱臺.png,didanzhutai（帝丹朱臺）,"prompt: Emperor Dan Zhu Terrace, two square high platforms, located in the northeast of Kunlun Mountain, the architectural style is simple and solemn, the colors are mainly red and gold, surrounded by auspicious clouds and cranes, and the background is the majestic Kunlun Mountains, presenting a mysterious and solemn atmosphere as a whole."
帝嚳臺,地名,建筑,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"各二臺,臺四方,在崑崙東北,",prompt：帝嚳臺，两座方形高台，位于昆仑山的东北方向，建筑风格古朴庄重，采用传统的中国美学设计，色彩以淡雅的水墨色为主，点缀以金色和朱红色，四周环绕着祥云和神兽，展现出神秘而庄严的气息。背景是巍峨的昆仑山脉，山峰若隐若现于云雾之中，增添了一种超凡脱俗的感觉。,地名\建筑\帝嚳臺.png,dikutai（帝嚳臺）,"prompt: Di Ya Terrace, two square high platforms, located in the northeast of Kunlun Mountain, the architectural style is simple and solemn, using traditional Chinese aesthetic design, the color is mainly elegant ink color, embellished with gold and vermilion, surrounded by auspicious clouds and mythical beasts, showing a mysterious and solemn atmosphere. The backdrop is the majestic Kunlun Mountains, with peaks looming in the clouds and mist, adding an otherworldly feel."
帝舜臺,地名,建筑,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"各二臺,臺四方,在崑崙東北,",prompt：帝舜臺，两座四方形高台建筑，位于昆仑山的东北方向，古朴庄重，充满神秘气息。建筑风格融合了古代中国美学与神话元素，色彩以深蓝、墨绿为主，辅以金色点缀，展现出宏伟壮观的气势。四周环绕着祥云和奇花异草，远处是巍峨的昆仑山脉，整体呈现出一种超凡脱俗的意境。,地名\建筑\帝舜臺.png,dishuntai（帝舜臺）,"prompt: Dishun Terrace, two square high-rise buildings, located in the northeast of Kunlun Mountain, are simple and solemn, full of mystery. The architectural style combines ancient Chinese aesthetics and mythological elements, with dark blue and dark green colors, supplemented by gold embellishments, showing a magnificent momentum. Surrounded by auspicious clouds and exotic flowers and plants, and in the distance are the majestic Kunlun Mountains, the overall presentation presents an otherworldly artistic conception."
帝臺,地名,建筑,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一座宏伟的古代宫殿，名为帝臺，矗立在云雾缭绕的山巅之上。宫殿以青石为基，金碧辉煌的琉璃瓦覆盖其顶，飞檐翘角，雕梁画栋，尽显皇家气派。四周环绕着奇花异草和珍稀树木，远处是连绵起伏的山脉，近处则有清澈的小溪流过。整个画面采用传统中国美学的彩色水墨风格，细腻描绘每一处细节，展现出一种神秘而庄严的氛围。,地名\建筑\帝臺.png,ditai（帝臺）,"Prompt: A magnificent ancient palace called the Imperial Terrace, standing atop a misty mountaintop. The palace is based on bluestone, covered with golden glazed tiles, cornices and corners, carved beams and painted beams, showing royal style. Surrounded by exotic flowers and rare trees, rolling mountains in the distance and clear streams flowing nearby. The whole picture adopts the color ink style of traditional Chinese aesthetics, delicately depicting every detail, showing a mysterious and solemn atmosphere."
帝藥八齋,地名,建筑,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，帝藥八齋，一座宏伟而神秘的古代建筑，位于山巅之上，四周云雾缭绕。建筑采用传统的飞檐翘角设计，屋顶覆盖着琉璃瓦，色彩斑斓。建筑内部有八个独立的斋房，每个斋房都有独特的装饰和功能，供奉着各种草药和神灵。庭院中种植着各种奇花异草，散发出淡淡的香气。整座建筑透露出一种古老而庄严的气息，仿佛是通往仙界的门户。,地名\建筑\帝藥八齋.png,diyaobazhai（帝藥八齋）,"Prompt: Colorful ink painting style of traditional Chinese aesthetics, Diyao Bazhai, a magnificent and mysterious ancient building located on a mountaintop, surrounded by clouds and mist. The building adopts a traditional cornice, and the roof is covered with glazed tiles and is colorful. Inside the building, there are eight separate fasting rooms, each with unique decorations and functions, dedicated to various herbs and deities. The courtyard is planted with a variety of exotic flowers and plants, emitting a faint aroma. The whole building reveals an ancient and solemn atmosphere, as if it is a gateway to the fairy world."
帝堯臺,地名,建筑,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"各二臺,臺四方,在崑崙東北,",prompt: 中国古代建筑风格的帝堯臺，两座台子并立，每座台子呈四方形，位于崑崙山的东北方向，采用传统中国美学的彩色水墨画风格，细腻描绘出古代神话中的神秘氛围，周围环绕着云雾和奇石，展现出一种超凡脱俗的仙境景象。,地名\建筑\帝堯臺.png,diyaotai（帝堯臺）,"prompt: Diyao Terrace in ancient Chinese architectural style, two platforms stand side by side, each platform is square, located in the northeast of Kunlun Mountain, using the color ink painting style of traditional Chinese aesthetics, delicately depicting the mysterious atmosphere in ancient mythology, surrounded by clouds and strange stones, showing an otherworldly fairyland scene."
帝之平圃,地名,建筑,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"神英招司之,",prompt: 神英招司之帝之平圃，位于云端之上，四周环绕着祥云和仙鹤，建筑风格融合了传统中国美学与神话色彩。主殿采用彩色水墨画风格，屋顶覆盖琉璃瓦，檐下挂着风铃，随风轻轻作响。庭院中种植着奇花异草，散发出淡淡的香气，远处可见仙山若隐若现，整个场景充满了神秘而庄严的气息。,地名\建筑\帝之平圃.png,dizhipingpu（帝之平圃）,"Prompt: The Flat Garden of the Emperor of Shenying Zhaosi, located above the clouds, surrounded by auspicious clouds and cranes, the architectural style combines traditional Chinese aesthetics with mythological colors. The main hall is in the style of colorful ink painting, the roof is covered with glazed tiles, and wind chimes are hung under the eaves, which sound gently in the wind. The courtyard is planted with exotic flowers and plants, exuding a faint fragrance, and the fairy mountain can be seen looming in the distance, and the whole scene is full of mysterious and solemn atmosphere."
共工臺,地名,建筑,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代神话中的共工臺，一座雄伟壮观的建筑，位于山巅之上，四周云雾缭绕。共工臺采用传统的中式建筑风格，以红色和金色为主色调，屋顶覆盖着琉璃瓦，飞檐翘角，雕梁画栋。台基由巨大的青石砌成，台阶蜿蜒而上，两侧有精美的石雕护栏。共工臺周围是茂密的古树和奇花异草，远处可见群山起伏，景色壮丽。整体画面采用彩色水墨风格，既有传统中国美学的韵味，又不失神话传说的神秘感。,地名\建筑\共工臺.png,gonggongtai（共工臺）,"Prompt: The ancient mythical Gonggong Terrace, a majestic and magnificent building, located on the top of a mountain, surrounded by clouds and mist. The Gonggong Terrace adopts traditional Chinese architectural style, with red and gold as the main colors, and the roof is covered with glazed tiles, cornices and corners, and carved beams and painted beams. The foundation is made of huge bluestone, the steps wind up, and there are exquisite stone carved guardrails on both sides. Gonggongtai is surrounded by dense ancient trees and exotic flowers and plants, and the mountains can be seen in the distance, and the scenery is magnificent. The overall picture adopts the color ink style, which not only has the charm of traditional Chinese aesthetics, but also loses the mystery of myths and legends."
