名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
泰澤,地名,泽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古典中国水墨画风格，泰澤之景，广阔的湿地，水草丰美，远处群山若隐若现，天空中飘着淡淡的云彩，几只仙鹤在水中悠闲地漫步，画面充满宁静和谐之美，色彩以淡雅为主，细节精致，富有诗意。,地名\泽名\泰澤.png,taize（泰澤）,"prompt: Classical Chinese ink painting style, the scenery of Taize, the vast wetland, the water and grass are abundant, the mountains in the distance are looming, the sky is floating with faint clouds, a few cranes are leisurely strolling in the water, the picture is full of peace and harmony, the colors are mainly elegant, the details are exquisite, and the poetry is full."
鹽販之澤,地名,泽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一片广阔的沼泽地，水面上漂浮着淡淡的雾气，远处群山若隐若现。沼泽中生长着茂密的芦苇和各种水生植物，偶尔可见几只白鹭在水中觅食。天空中飘着几朵白云，阳光透过云层洒在水面上，形成斑驳的光影。整个画面采用传统中国水墨画风格，色彩淡雅，线条流畅，展现出一种宁静而神秘的氛围。,地名\泽名\鹽販之澤.png,yanfanzhize（鹽販之澤）,"prompt: A vast swamp with a faint mist floating on the water and mountains looming in the distance. The swamp is home to dense reeds and a variety of aquatic plants, and several egrets can occasionally be seen foraging in the water. There are a few white clouds floating in the sky, and the sunlight shines through the clouds on the water, forming mottled light and shadow. The whole picture adopts the style of traditional Chinese ink painting, with elegant colors and smooth lines, showing a serene and mysterious atmosphere."
餘如之澤,地名,泽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨风格，餘如之澤，一片神秘而宁静的湖泊，湖面平静如镜，倒映着周围的山峦和树木。湖边生长着各种奇花异草，远处有几只仙鹤在飞翔，湖中央有一座小岛，岛上长满了翠绿的竹子，显得格外幽静。画面中弥漫着淡淡的雾气，增添了几分神秘感。整体色调以淡雅为主，展现出一种超凡脱俗的意境。,地名\泽名\餘如之澤.png,yuruzhize（餘如之澤）,"prompt: Traditional Chinese ink painting style, Yuru Zhize, a mysterious and tranquil lake, the surface of the lake is as calm as a mirror, reflecting the surrounding mountains and trees. There are all kinds of exotic flowers and plants growing around the lake, a few cranes flying in the distance, and a small island in the middle of the lake, which is covered with emerald green bamboo, which is particularly quiet. The picture is filled with a faint fog, adding a bit of mystery. The overall color tone is mainly elegant, showing an otherworldly artistic conception."
余澤,地名,泽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统彩色水墨风格，余澤，一个充满神秘气息的泽国之地，四周被茂密的森林环绕，水面上漂浮着各种奇异的花卉和植物，远处有几座古老的山峰若隐若现。水中倒映着天空中的云彩和飞鸟，整个画面充满了宁静与祥和。,地名\泽名\余澤.png,yuze（余澤）,"Prompt: Traditional Chinese color ink painting style, Yu Ze, a mysterious land of Zeguo, surrounded by dense forests, floating on the water with a variety of exotic flowers and plants, and several ancient peaks looming in the distance. The clouds and birds in the sky are reflected in the water, and the whole picture is full of tranquility and peace."
印澤,地名,泽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其中多𩣡馬,",prompt: 一片古老而神秘的泽地，名为印澤，四周环绕着茂密的芦苇和水草。泽中栖息着许多珍稀的𩣡馬，它们身形矫健，毛色斑斓，或在水中嬉戏，或在岸边悠闲地吃草。画面采用传统中国美学的彩色水墨风格，色彩柔和，线条流畅，展现出一种宁静而富有诗意的氛围。远处的山峦若隐若现，增添了几分幽远的感觉。,地名\泽名\印澤.png,yinze（印澤）,"prompt: An ancient and mysterious marshland called Inzawa, surrounded by lush reeds and aquatic plants. There are many rare horses living in the marshes, which are strong and colorful, either playing in the water or grazing leisurely on the shore. The painting adopts the color ink style of traditional Chinese aesthetics, with soft colors and smooth lines, showing a serene and poetic atmosphere. The mountains in the distance loom, adding a bit of a sense of seclusion."
泑澤,地名,泽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代神话中的泑澤，一片神秘而宁静的水域，四周环绕着茂密的原始森林，湖面如镜，倒映着远处的群山。湖边生长着各种奇异的植物，水中游弋着传说中的水怪和珍稀鱼类。画面采用传统中国美学的彩色水墨风格，细腻描绘出泑澤的幽静与神秘。,地名\泽名\泑澤.png,youze（泑澤）,"prompt: The ancient myth of the lake, a mysterious and tranquil water, surrounded by dense primeval forests, the lake is like a mirror, reflecting the mountains in the distance. The lake is home to a variety of exotic plants, legendary water monsters and rare fish. The painting adopts the color ink style of traditional Chinese aesthetics, delicately depicting the tranquility and mystery of the lake."
泜澤,地名,泽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古典中国风格的彩色水墨画，描绘了一个名为泜澤的神秘湖泊。湖面平静如镜，倒映着四周环绕的山峦和古木参天的森林。湖边生长着各种奇花异草，远处有几只仙鹤在低飞。画面中弥漫着一种宁静而祥和的氛围，仿佛是人间仙境。背景中隐约可见古老的庙宇和石桥，增添了几分历史的厚重感。整体色调以淡雅为主，展现出传统中国美学的魅力。,地名\泽名\泜澤.png,zhize（泜澤）,"prompt: A classical Chinese style color ink painting depicting a mysterious lake called Zhize. The lake is as calm as a mirror, reflecting the surrounding mountains and ancient forests. There are all kinds of exotic flowers and plants growing by the lake, and a few cranes flying low in the distance. The picture is filled with a serene and peaceful atmosphere, as if it is a fairyland on earth. Ancient temples and stone bridges are faintly visible in the background, adding a bit of historical weight. The overall color palette is mainly elegant, showing the charm of traditional Chinese aesthetics."
䍃之澤,地名,泽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 䍃之澤，一片神秘而宁静的湖泊，湖面如镜，倒映着四周连绵起伏的山峦和茂密的森林。湖边生长着各种奇花异草，湖水中游弋着珍稀的水生生物。远处，几只仙鹤在空中翱翔，湖面上弥漫着淡淡的雾气，给人一种仙境般的感觉。整体画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅。,地名\泽名\䍃之澤.png,youzhize（䍃之澤）,"Prompt: Tsushinozawa, a mysterious and tranquil lake, the surface of the lake is like a mirror, reflecting the rolling mountains and dense forests around it. A variety of exotic flowers and plants grow around the lake, and rare aquatic creatures swim in the lake. In the distance, several cranes soar in the air, and the lake is filled with a faint mist, giving people a fairyland-like feeling. The overall picture adopts the color ink style of traditional Chinese aesthetics, with elegant colors and smooth lines."
長澤,地名,泽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一片广阔的湿地，水草丰茂，烟波浩渺，远处山峦若隐若现。湿地中央有一座古老的木桥，几只白鹭在水面低飞，画面采用传统中国水墨画风格，色彩淡雅，富有诗意。,地名\泽名\長澤.png,zhangze（長澤）,"prompt: A vast wetland with lush water and grass, vast smoke waves, and mountains looming in the distance. In the center of the wetland is an ancient wooden bridge, several egrets fly low on the water, and the picture adopts the style of traditional Chinese ink painting, with elegant colors and poetry."
大澤,地名,泽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"后稷所潜也,其中多玉,其隂多榣木之有若,",prompt: 一片广阔而神秘的沼泽，名为大泽，传说中后稷曾在此隐居。沼泽中散布着无数珍贵的玉石，闪烁着温润的光芒。沼泽的阴暗处生长着榣木，这些树木高大而奇特，枝叶繁茂，仿佛拥有灵性。整个画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅，展现出一种宁静而神秘的氛围。,地名\泽名\大澤.png,daze（大澤）,"Prompt: A vast and mysterious swamp called Daze, where legend has it that Hou Ji once lived in seclusion. The swamp is littered with countless precious jades, shimmering with warm light. In the shadows of the swamp grow fir trees, tall and peculiar, with lush branches and leaves, as if possessing spirituality. The whole picture adopts the color ink style of traditional Chinese aesthetics, with elegant colors and smooth lines, showing a quiet and mysterious atmosphere."
