名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
温源谷,地名,谷野名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统山水画风格，温源谷，一个神秘而宁静的山谷，四周被青翠的山峦环绕，山谷中流淌着清澈的小溪，溪边长满了各种奇花异草。远处云雾缭绕，仿佛有仙气弥漫。阳光透过云层洒下，为整个山谷披上了一层金色的光辉。画面中可见几只珍禽异兽在林间悠闲地漫步，增添了几分生动与自然的气息。色彩以淡雅为主，采用水墨画技法，展现一种悠远而宁静的意境。,地名\谷野名\温源谷.png,wenyuangu（温源谷）,"prompt: Traditional Chinese landscape painting style, Wenyuan Valley, a mysterious and tranquil valley, surrounded by verdant mountains, the valley flows with clear streams, the stream is full of exotic flowers and plants. The clouds and mist in the distance seemed to be filled with fairy energy. The sun shines through the clouds, casting a golden glow over the entire valley. In the picture, several rare birds and beasts can be seen leisurely strolling in the forest, adding a bit of vividness and nature. The colors are mainly elegant, using ink painting techniques to show a distant and tranquil artistic conception."
沃之野,地名,谷野名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"鳳鳥之卵是食,甘露是飲,凡其所欲其味盡存爰有甘華璿瑰甘柤瑤碧白木白柳視肉琅玕白丹青丹多銀鐵,鸞鳳自歌,鳳鳥自舞,爰有百獸相群是處,",prompt: 沃之野，一片神奇而丰饶的土地，这里凤鸟之卵是食，甘露是饮。画面中，凤凰和鸾鸟在空中自由飞翔，它们或歌唱或舞蹈，展现出一种祥和与欢乐的氛围。地上生长着各种奇花异草，如甘华、璇瑰、甘柤、瑶碧等，色彩斑斓，美不胜收。白木和白柳矗立其间，枝叶繁茂。此外，还有视肉、琅玕、白丹、青丹等珍贵宝物散落其中，银铁矿藏丰富。百兽在此和谐共处，形成一幅生机勃勃的自然画卷。整体风格参考古代插画，采用传统中国美学的彩色水墨风格，注重细节描绘，展现沃之野的神秘与美丽。,地名\谷野名\沃之野.png,wozhiye（沃之野）,"prompt: Fertile fields, a magical and rich land, where the eggs of phoenixes are eaten, and nectar is drunk. In the picture, the phoenix and the phoenix fly freely in the air, singing or dancing, showing an atmosphere of peace and joy. There are all kinds of exotic flowers and plants growing on the ground, such as Ganhua, Xuangui, Ganzhi, Yaobi, etc., which are colorful and beautiful. White trees and white willows stand among them, with lush branches and leaves. In addition, there are precious treasures such as flesh, langxuan, white elixir, and green dan scattered among them, and they are rich in silver and iron ore deposits. Beasts coexist harmoniously here, forming a vibrant picture of nature. The overall style refers to ancient illustrations, adopts the color ink style of traditional Chinese aesthetics, pays attention to detail depiction, and shows the mystery and beauty of Wozhiye."
梟谷,地名,谷野名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其中多鐵,",prompt: 古典中国风格的彩色水墨画，描绘一个名为梟谷的地方，山谷中遍布着铁矿石和古老的铁器，山势险峻，云雾缭绕，树木茂密，远处隐约可见古代采铁工人的身影，画面充满神秘与原始的气息。,地名\谷野名\梟谷.png,xiaogu（梟谷）,"prompt: Classical Chinese style color ink painting, depicting a place called Owl Valley, the valley is full of iron ore and ancient iron tools, the mountains are steep, the clouds are shrouded, the trees are dense, and the figures of ancient iron miners can be faintly seen in the distance, the picture is full of mystery and primitive atmosphere."
禺谷,地名,谷野名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 禺谷，古代神话中的神秘之地，位于日落之处。画面中，夕阳西下，天边泛着金红色的余晖，禺谷中长满了奇异的花草，远处山峦起伏，云雾缭绕。谷中有一条清澈的小溪蜿蜒流淌，溪水旁生长着古老的树木，树上挂满了五彩斑斓的果实。整个场景充满了神秘与宁静的气息，色彩以暖色调为主，融合了中国传统水墨画的风格，展现出一种古老而梦幻的氛围。,地名\谷野名\禺谷.png,yugu（禺谷）,"Prompt: Yu Valley, a mysterious place in ancient mythology, is located at sunset. In the picture, the sun sets, the sky is glowing with golden red afterglow, the Yu Valley is full of strange flowers and plants, and the mountains in the distance are undulating and clouds and mist. There is a clear stream in the valley that meanders and grows by ancient trees with colorful fruits. The whole scene is full of mystery and tranquility, with warm colors dominated by warm tones, blending the style of traditional Chinese ink painting, showing an ancient and dreamy atmosphere."
夭野,地名,谷野名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一片古老而神秘的山谷，名为夭野，四周被苍翠的山峦环绕，山谷中生长着各种奇异的植物和鲜花，溪流潺潺，清澈见底。远处可以看到一些古老的树木，树干粗壮，枝叶茂盛。天空中飘着几朵白云，阳光透过云层洒下，给整个山谷带来一种宁静而祥和的氛围。画面采用传统的中国彩色水墨风格，色彩淡雅，线条流畅，展现出一种古朴而唯美的意境。,地名\谷野名\夭野.png,yaoye（夭野）,"Prompt: An ancient and mysterious valley called Yaoye, surrounded by verdant mountains, with a variety of exotic plants and flowers, and a gurgling stream that is crystal clear. Some ancient trees can be seen in the distance, with thick trunks and lush branches and leaves. A few white clouds float in the sky, and the sun shines through the clouds, giving the entire valley a peaceful and peaceful atmosphere. The picture adopts the traditional Chinese color ink style, with elegant colors and smooth lines, showing a simple and beautiful artistic conception."
育遺,地名,谷野名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"多怪鳥,凱風自是出,",prompt: 育遺，谷野名，多怪鳥棲息之地，凱風自是出。画面中，育遺之地遍布奇异的鸟类，它们形态各异，有的长着绚丽的羽毛，有的拥有独特的喙和爪子，飞翔在天空中或栖息在古树上。凯风从远处吹来，带来了一丝凉爽，使得整个场景充满了生机与神秘感。背景以彩色水墨风格描绘，山水交融，云雾缭绕，展现了传统中国美学的韵味。,地名\谷野名\育遺.png,yuyi（育遺）,"prompt: Yuyi, the name of the valley, the place where many strange birds live, and the wind will naturally appear. In the picture, the place of remnants is full of exotic birds, some with gorgeous feathers, some with unique beaks and claws, flying in the sky or perched on ancient trees. The triumphant wind blew from afar, bringing a touch of coolness, making the whole scene full of life and mystery. The background is depicted in the style of colorful ink, with mountains and rivers blending and clouds and mist, showing the charm of traditional Chinese aesthetics."
中谷,地名,谷野名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"條風自是出,",prompt: 中谷，古代谷野名，條風自是出。描绘一片古老而神秘的山谷，山峦起伏，云雾缭绕，条风从山谷中缓缓吹出，带来生机与活力。画面采用传统中国美学的彩色水墨风格，用细腻的笔触勾勒出山石、树木和流水，色彩以淡雅为主，表现出山谷的幽静与自然之美。背景中隐约可见古木参天，远处山峰若隐若现，营造出一种宁静而又充满生命力的氛围。,地名\谷野名\中谷.png,zhonggu（中谷）,"prompt: Zhonggu, the name of the ancient valley, the wind naturally comes out. It depicts an ancient and mysterious valley, with undulating mountains, clouds and mist, and a wind slowly blowing out of the valley, bringing vitality and vitality. The picture adopts the color ink style of traditional Chinese aesthetics, outlining the mountains, rocks, trees and flowing water with delicate brushstrokes, and the colors are mainly elegant, showing the tranquility and natural beauty of the valley. Towering ancient trees are looming in the background, and mountain peaks loom in the distance, creating a serene and vibrant atmosphere."
諸夭之野,地名,谷野名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"鸞鳥自歌,鳯鳥自舞,鳯皇夘民食之,甘露民飲之,所欲自從也,百獸相與群居,在四蛇北,其人兩手操夘食之,兩鳥居前導之,",prompt: 诸夭之野，鸾鸟自歌凤鸟自舞，凤凰与民共享美食，甘露滋润民众，百兽和谐共处。画面中，四蛇位于南方，北方则是人们双手捧着食物，两只鸟在前方引导。采用古代插画风格和传统中国美学的彩色水墨风格，展现这一神秘而和谐的场景。,地名\谷野名\諸夭之野.png,zhuyaozhiye（諸夭之野）,"prompt: In the wilderness of Zhuyao, the phoenix bird sings and dances, the phoenix shares food with the people, the nectar nourishes the people, and all animals coexist harmoniously. In the picture, the four snakes are located in the south, and in the north, people are holding food in both hands, and two birds are guiding in front. The colorful ink style of ancient illustration style and traditional Chinese aesthetics is used to show this mysterious and harmonious scene."
蒼梧之野,地名,谷野名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"赤水之東,舜與叔均之所葬也,爰有文貝離俞嶋久鷹賈委維熊羆象虎豹狼視肉,",prompt: 赤水之东的苍梧之野，舜与叔均葬于此地。画面中，文贝、离俞、嶋久鹰、贾委维熊、罴、象、虎、豹、狼等动物和谐共存，四周环绕着茂密的山林和清澈的溪流，天空中飘浮着祥云，远处群山连绵，展现出一幅宁静而神秘的自然景象。采用传统中国美学的彩色水墨风格，色彩丰富而柔和，线条流畅而细腻，体现出古代插画的韵味。,地名\谷野名\蒼梧之野.png,cangwuzhiye（蒼梧之野）,"prompt: In the wilderness of Cangwu east of Chishui, Shun and Shu were buried here. In the picture, Wenbei, Li Yu, Shima Jiuying, Jia Weiwei bear, bear, elephant, tiger, leopard, wolf and other animals coexist harmoniously, surrounded by dense mountains and forests and clear streams, auspicious clouds floating in the sky, and mountains in the distance, showing a peaceful and mysterious natural scene. It adopts the color ink style of traditional Chinese aesthetics, with rich and soft colors, smooth and delicate lines, reflecting the charm of ancient illustrations."
朝陽之谷,地名,谷野名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"神曰天吴,",prompt: 朝陽之谷，神曰天吴，曙光初照的幽深山谷中，天吴神兽屹立于山巅，其身九首，形态各异，或怒目圆睁，或微笑含蓄，或威严庄重。天吴周身环绕着五彩斑斓的云雾，仿佛是日出时分霞光万道的缩影。山谷之中，古木参天，藤蔓缠绕，奇花异草点缀其间，溪流潺潺，清澈见底。远处群山连绵，层峦叠嶂，晨雾缭绕，宛如仙境。整个画面以传统中国彩色水墨风格绘制，色彩淡雅而富有层次感，展现出一种神秘而又宁静的氛围。,地名\谷野名\朝陽之谷.png,chaoyangzhigu（朝陽之谷）,"prompt: The valley of the morning sun, the god is Tianwu, in the deep valley of the dawn, the Tianwu divine beast stands on the top of the mountain, its body has nine heads, different shapes, or angry eyes, or smile subtly, or majestic and solemn. Tianwu is surrounded by colorful clouds and mist, as if it is the epitome of the glow at sunrise. In the valley, ancient trees are towering, vines are intertwined, exotic flowers and plants are dotted among them, and the stream is gurgling and crystal clear. In the distance, the mountains are continuous, the mountains are stacked, and the morning mist is shrouded, like a fairyland. The whole picture is painted in the style of traditional Chinese color ink, with elegant and layered colors, showing a mysterious and serene atmosphere."
