名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
桃枝,植物,木名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 桃枝，木名，古代神话中的神木，象征着长寿与繁荣。请绘制一幅具有传统中国美学的彩色水墨风格插画，画面中桃树枝繁叶茂，花朵盛开，色彩鲜艳而不失淡雅，树干苍劲有力，展现出其古老而神秘的气息。背景可以是山间云雾缭绕，或是一片宁静的湖水，增添画面的意境。,植物\木名\桃枝.png,taozhi（桃枝）,"prompt: Peach branch, the name of the tree, is a sacred tree in ancient mythology, symbolizing longevity and prosperity. Please draw a colorful ink style illustration with traditional Chinese aesthetics, in which the peach tree branches are lush and leafy, the flowers are in full bloom, the colors are bright and elegant, and the tree trunk is vigorous and powerful, showing its ancient and mysterious atmosphere. The background can be clouds and mist in the mountains or a tranquil lake, adding to the artistic conception of the picture."
文莖,植物,木名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其實如棗,",prompt: 古代神木文莖，果实如枣，树干粗壮古朴，枝叶繁茂，果实挂满枝头，色彩鲜艳如同红枣，背景为山海经中的神秘山林，画面采用传统中国美学的彩色水墨风格，充满神秘与古韵。,植物\木名\文莖.png,wenjing（文莖）,"prompt: Ancient sacred wood stems, fruits like jujubes, thick and simple trunks, lush branches and leaves, fruits hanging on the branches, bright colors like red dates, the background is the mysterious mountains and forests in the Classic of Mountains and Seas, the picture adopts the color ink style of traditional Chinese aesthetics, full of mystery and ancient charm."
文玉樹,植物,木名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"開明北,",prompt: 古代神木文玉樹，生长在开明北之地，枝繁叶茂，树干粗壮，叶片翠绿如玉，树冠覆盖广阔，根系深深扎入大地。树上挂满奇异的果实，散发着柔和的光芒，吸引着各种珍禽异兽栖息其上。画面采用传统中国美学的彩色水墨风格，背景为幽静的山林，远处有若隐若现的仙山，营造出一种神秘而祥和的氛围。,,wenyushu（文玉樹）,"prompt: The ancient divine tree Wen Yu tree, growing in the enlightened north, has lush branches, thick trunks, green leaves like jade, a wide crown cover, and roots deeply embedded in the earth. The tree is covered with exotic fruits and emits a soft glow, attracting all kinds of rare birds and beasts to inhabit it. The painting adopts the color ink style of traditional Chinese aesthetics, with a quiet mountain forest in the background and a looming fairy mountain in the distance, creating a mysterious and peaceful atmosphere."
栒,植物,木名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代神木栒，根深叶茂，枝干苍劲有力，树皮粗糙如龙鳞，树叶翠绿欲滴，树冠庞大如同云朵，生长于神秘的山林之中，周围环绕着淡淡的雾气，远处可见层峦叠嶂的山脉，画面采用传统中国彩色水墨风格，注重笔墨韵味和意境营造。,植物\木名\栒.png,xun（栒）,"prompt: The ancient sacred tree Quercus, with deep roots and lush leaves, strong branches, rough bark like dragon scales, green leaves, huge crown like clouds, growing in the mysterious mountains and forests, surrounded by faint mist, and mountains with layers of mountains visible in the distance, the picture adopts traditional Chinese color ink style, paying attention to the charm and artistic conception of pen and ink."
藇,植物,木名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一棵古老的藇树，枝繁叶茂，树干粗壮而扭曲，树皮呈现出深褐色的纹理。树叶呈长条形，翠绿色，随风轻轻摇曳。树下散布着一些落叶，地面上覆盖着一层薄薄的青苔。整个场景以彩色水墨风格呈现，充满了古朴和神秘的气息。背景中隐约可见山峦起伏，云雾缭绕，营造出一种幽静而深远的氛围。,植物\木名\藇.png,xu（藇）,"prompt: An ancient oak tree with lush branches and leaves, a thick and twisted trunk, and a dark brown texture on the bark. The leaves are long strips, emerald green, and sway gently in the wind. Some fallen leaves are scattered under the trees, and the ground is covered with a thin layer of moss. The whole scene is presented in a colorful ink style, full of simplicity and mystery. The undulating mountains and clouds are faintly visible in the background, creating a quiet and far-reaching atmosphere."
相,植物,木名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨画风格，一棵古老而神秘的相木，树干粗壮且盘根错节，枝叶繁茂，叶片呈深绿色，透出淡淡的金色光芒。树下散落着几朵紫色的小花，周围环绕着轻盈的雾气，仿佛是连接天地的神木，象征着自然与宇宙的和谐统一。背景是远山和云海，整个画面充满了宁静与祥和的气息。,,xiang（相）,"prompt: Traditional Chinese ink painting style, an ancient and mysterious Xiangmu, the trunk is thick and intertwined, the branches and leaves are lush, the leaves are dark green, and the faint golden light shines. Several small purple flowers are scattered under the tree, surrounded by light mist, as if it is a sacred tree connecting heaven and earth, symbolizing the harmonious unity of nature and the universe. With distant mountains and a sea of clouds in the background, the whole picture is full of tranquility and peace."
杏,植物,木名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一棵古老的杏树，枝繁叶茂，树干粗壮而弯曲，树皮呈现出斑驳的纹理。树叶翠绿，随风轻轻摇曳，树上挂满了金黄色的杏子，散发出诱人的香气。背景是山间清新的自然风光，远处有淡淡的云雾缭绕，整体画面采用传统中国美学的彩色水墨风格，展现出一种宁静而和谐的氛围。,,xing（杏）,"prompt: An ancient apricot tree with lush branches and leaves, a thick and curved trunk, and mottled texture on the bark. The leaves are emerald green, swaying gently in the wind, and the trees are covered with golden apricots, exuding an enticing aroma. The background is the fresh natural scenery of the mountains, with faint clouds and mist in the distance, and the overall picture adopts the color ink style of traditional Chinese aesthetics, showing a peaceful and harmonious atmosphere."
雄常,植物,木名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"常先入代帝於此（肅慎之國）取之,",prompt：雄常，一种神秘的木名，生长在肃慎之国。画面中，古木参天，枝叶繁茂，树干粗壮而古老，树皮上布满了岁月的痕迹。背景是远山和云雾缭绕的肃慎之国，景色幽静而神秘。画风采用传统中国美学的彩色水墨风格，色彩以淡雅为主，突出自然和谐之美。,植物\木名\雄常.png,xiongchang（雄常）,"prompt: Xiongchang, a mysterious wooden name, grows in the country of Sushen. In the picture, the ancient trees are towering, the branches and leaves are lush, the trunk is thick and ancient, and the bark is covered with traces of time. In the background is the distant mountains and the country of Sushen, which is shrouded in clouds and mist, and the scenery is quiet and mysterious. The painting style adopts the color ink style of traditional Chinese aesthetics, and the colors are mainly elegant, highlighting the beauty of natural harmony."
尋木,植物,木名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"長千里,在拘纓南,生河上西北,",prompt: 寻木，一种传说中的神木，生长在拘缨南边，位于河的西北方向，树干粗壮，枝叶繁茂，延伸千里。画面中，寻木如同一条蜿蜒的巨龙，根部深深扎入大地，枝条伸展至天际，树叶青翠欲滴，与周围的山水相映成趣。整幅画采用传统中国彩色水墨风格，展现出寻木的雄伟壮观和神秘感。背景为山川河流，远处有淡淡的云雾缭绕，增添几分仙气。,植物\木名\尋木.png,xunmu（尋木）,"prompt: Xunmu, a legendary sacred tree, grows in the south of Kuying, located in the northwest of the river, with a thick trunk and lush branches and leaves, extending for thousands of miles. In the picture, Xunmu is like a winding dragon, with roots deeply embedded in the earth, branches stretching to the sky, and leaves are verdant, reflecting the surrounding landscape. The whole painting adopts the traditional Chinese color ink style, showing the majesty and mystery of Xunmu. The background is mountains and rivers, and there are faint clouds and mist in the distance, adding a bit of fairy spirit."
檿,植物,木名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古老的檿树，枝繁叶茂，树干粗壮而弯曲，树皮呈现出深褐色，纹理清晰可见。树叶呈椭圆形，颜色翠绿，随风轻轻摇曳。树下散落着几片落叶，周围是茂密的草地和远处的山峦。整个画面采用传统的中国彩色水墨风格，充满古朴而宁静的氛围。,植物\木名\檿.png,yan（檿）,"prompt: The ancient cypress tree has lush branches and leaves, a thick and curved trunk, a dark brown bark, and a clearly visible texture. The leaves are oval in shape, emerald green in color, and sway gently in the wind. There are a few fallen leaves scattered under the trees, surrounded by dense meadows and distant mountains. The whole picture adopts the traditional Chinese color ink style, full of simple and serene atmosphere."
