名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
忘,疾病,疾病,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt：忘，一种神秘的疾病，让人失去记忆。在古代神话中，它被描绘为一种无形的幽灵，飘荡在人间，吸取人们的记忆。请以传统中国美学的彩色水墨风格绘制，画面中央是一位半透明、模糊轮廓的幽灵形象，身着古老的长袍，面容苍白而空洞，周围环绕着淡蓝色的迷雾，象征着遗忘的力量。背景是古老而荒凉的村落，村民们神情迷茫，似乎已经失去了重要的记忆。整体色调偏冷，以蓝、灰为主，传达出一种忧郁和神秘的氛围。,疾病\疾病\忘.png,wang（忘）,"Prompt: Forgetfulness, a mysterious disease that causes people to lose their memory. In ancient mythology, it was depicted as an invisible ghost that floated around the world and absorbed people's memories. Painted in the style of colorful ink in traditional Chinese aesthetics, in the center of the picture is a translucent, blurred ghost figure dressed in an ancient robe with a pale and hollow face, surrounded by a pale blue mist, symbolizing the power of oblivion. The background is an old and desolate village, and the villagers look confused and seem to have lost important memories. The overall color palette is cold, dominated by blue and gray, conveying a melancholic and mysterious atmosphere."
心腹之疾,疾病,疾病,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一幅描绘心腹之疾的中国传统水墨画，画面中心是一位面容痛苦的人，双手捂住腹部，周围环绕着代表疾病和痛苦的暗色云雾，背景是淡雅的山水，整体色调以灰蓝为主，带有淡淡的红色作为点缀，象征着内心的煎熬与不安。,疾病\疾病\心腹之疾.png,xinfuzhiji（心腹之疾）,"prompt: A traditional Chinese ink painting depicting a sick heart, in the center of the picture is a person with a painful face, his hands covering his abdomen, surrounded by dark clouds representing illness and pain, the background is an elegant landscape, and the overall tone is mainly gray and blue, with a hint of red as an embellishment, symbolizing inner suffering and uneasiness."
眴目,疾病,疾病,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，描绘一个名为眴目的疾病形象，该形象表现为眼睛周围有奇异的光芒环绕，光芒中带有淡淡的蓝色和紫色，象征着神秘而不可捉摸的疾病。背景为古代山水画风，山峦起伏，云雾缭绕，增添一种幽静而神秘的氛围。画面整体色调以淡雅为主，强调出一种古朴而深邃的感觉。,疾病\疾病\眴目.png,xuanmu（眴目）,"Prompt: A colorful ink style of traditional Chinese aesthetics, depicting an image of a disease called blind eyes, which is represented by a strange light around the eyes, with hints of blue and purple, symbolizing a mysterious and elusive disease. The background is the style of ancient landscape painting, with undulating mountains and clouds and mist, adding a quiet and mysterious atmosphere. The overall tone of the picture is mainly elegant, emphasizing a simple and deep feeling."
心痛,疾病,疾病,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统医学中的心痛病症，以彩色水墨风格描绘。画面中，一位古代文人模样的男子坐在庭院中，一手按住胸口，面露痛苦之色。周围环境是典型的中式园林，有假山、流水和古树。天空呈现出淡淡的阴霾，象征着内心的忧郁与病痛。整体色调偏暗，但通过细腻的笔触和丰富的色彩层次表现出传统中国美学的韵味。,疾病\疾病\心痛.png,xintong（心痛）,"prompt: Heart pain in traditional Chinese medicine, depicted in colorful ink style. In the picture, a man who looks like an ancient literati is sitting in the courtyard, holding his chest with one hand and looking pained. The surrounding environment is a typical Chinese garden, with rockeries, flowing water and ancient trees. The sky presents a faint haze, symbolizing inner melancholy and illness. The overall tone is dark, but it shows the charm of traditional Chinese aesthetics through delicate brushstrokes and rich color layers."
疣,疾病,疾病,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，描绘一个象征疾病的疣的形象，疣位于人体皮肤上，呈现为一个小而突出的肉色或棕色肿块，周围有轻微红晕，表面粗糙不平。背景以淡雅的山水画为衬托，突显出疣在皮肤上的异样感。整体画面保持古朴典雅的风格，色彩柔和，线条流畅。,疾病\疾病\疣.png,you（疣）,"prompt: Colorful ink style of traditional Chinese aesthetics, depicting the image of a wart symbolizing disease, the wart is located on human skin, presented as a small, prominent flesh-colored or brown lump surrounded by a slight blush and a rough surface. The background is set off by elegant landscape paintings, highlighting the strange feeling of warts on the skin. The overall picture maintains a simple and elegant style, with soft colors and smooth lines."
㖶,疾病,疾病,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 《山海经》中的疾病之神㖶，形象为一位面容憔悴、身形消瘦的老者，身着破旧的长袍，手持一根枯萎的树枝，周围环绕着淡淡的黑雾。背景为荒凉的山谷，天空阴沉，几只乌鸦在空中盘旋。整体画面采用传统中国美学的彩色水墨风格，笔触细腻，色彩以灰暗为主，突出疾病的沉重与压抑感。,疾病\疾病\㖶.png,yan（㖶）,"prompt: The god of disease in the ""Classic of Mountains and Seas"" is depicted as an old man with a haggard face and an emaciated body, dressed in a worn-out robe, holding a withered branch, surrounded by a faint black mist. The background is a desolate valley with gloomy skies and several crows circling in the air. The overall picture adopts the color ink style of traditional Chinese aesthetics, with delicate brushstrokes and gray colors, highlighting the heaviness and oppression of the disease."
憂,疾病,疾病,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,"prompt: 中国传统水墨画风格，描绘一个名为""憂""的疾病形象，它以一种幽暗、阴郁的氛围呈现。画面中，""憂""被表现为一团缭绕的黑雾，雾中隐约可见一张愁容满面的脸庞，眼神中充满了无尽的忧伤与痛苦。背景是一片荒凉的山林，树木枯萎，天空灰暗，几只乌鸦在空中盘旋，增添了几分凄凉之感。整幅画面用色以深蓝、墨黑为主，间或点缀着淡淡的灰色，营造出一种压抑而沉重的感觉。",疾病\疾病\憂.png,you（憂）,"prompt: Traditional Chinese ink painting style, depicting the image of a disease called ""worry"", which is presented in a dark, gloomy atmosphere. In the picture, ""worry"" is represented as a swirling black mist, in which a sad face is faintly visible, and the eyes are full of endless sadness and pain. The background is a desolate mountain forest, with withered trees, gray skies, and a few crows hovering in the air, adding a bit of desolation. The colors of the whole picture are mainly dark blue and inky black, interspersed with light gray, creating a depressing and heavy feeling."
㿈,疾病,疾病,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 《山海经》中的疾病之神“㿈”，形象为一苍白面色、瘦弱体态的幽灵，身着破旧长袍，长发散乱披肩，双眼深陷，眼窝漆黑如深渊。背景为荒凉的山谷，枯树与荒草丛生，天空灰暗阴沉，弥漫着淡淡的雾气。采用古代插画风格和传统中国美学的彩色水墨风格，色彩以暗淡为主，突出疾病的阴郁与恐怖感。,疾病\疾病\㿈.png,㿈（㿈）,"prompt: The god of disease in the ""Classic of Mountains and Seas"" is depicted as a pale and thin ghost, dressed in a shabby robe, with long hair scattered over a shawl, sunken eyes, and eye sockets as black as an abyss. The background is a desolate valley with dead trees and grass, and the sky is gray and gloomy, filled with a faint fog. It adopts the color ink style of ancient illustration style and traditional Chinese aesthetics, and the colors are mainly dark, highlighting the gloom and horror of the disease."
暍,疾病,疾病,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代中国疾病暍，表现为中暑症状，人物形象为一位古代农夫在烈日下劳作，面容憔悴，汗流浃背，身旁稻田干涸，天空呈现一片酷热的橙黄色，远处山峦隐约可见，采用传统中国美学的彩色水墨风格，画面充满古朴与自然的气息。,疾病\疾病\暍.png,ye（暍）,"prompt: The ancient Chinese disease is heatstroke, manifested as the symptoms of heat stroke, the character is an ancient farmer working under the scorching sun, his face is haggard, sweaty, the rice fields beside him are dry, the sky is a scorching orange-yellow, the mountains in the distance are faintly visible, using the color ink style of traditional Chinese aesthetics, the picture is full of simplicity and natural atmosphere."
癰,疾病,疾病,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统医学中的疾病形象，癰表现为皮肤上的红肿脓包，周围有炎症扩散的迹象。画面中，癰被描绘成一个红色的、充满脓液的圆形肿块，周围有火焰般的红晕，象征着炎症和疼痛。背景采用淡雅的水墨风格，以黑白灰为主色调，突出癰的鲜艳红色。整体画面简洁而富有传统中国美学特色。,疾病\疾病\癰.png,yong（癰）,"Prompt: The image of disease in traditional Chinese medicine, carbuncle is manifested as red, swollen pustules on the skin with signs of inflammation spreading around it. In the painting, the carbuncle is depicted as a red, pus-filled round lump surrounded by a flaming blush, symbolizing inflammation and pain. The background adopts an elegant ink style, with black, white and gray as the main color, highlighting the bright red color of the carbuncle. The overall picture is simple and full of traditional Chinese aesthetic characteristics."
