名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
涂石,自然,矿名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统彩色水墨风格，涂石矿石，色彩斑斓且带有神秘光泽，周围环绕着古老的山川和森林，画面中隐约可见远古神话中的神兽在山间穿梭，整体氛围充满古老而神秘的气息。,自然\矿名\涂石.png,tushi（涂石）,"prompt: Traditional Chinese color ink style, coated stone ore, colorful and mysterious, surrounded by ancient mountains and forests, the picture can vaguely see the mythical beasts of ancient mythology shuttling through the mountains, and the overall atmosphere is full of ancient and mysterious atmosphere."
文石,自然,矿名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一块古老的文石，矿石表面布满了神秘的纹路，如同古代文字般错综复杂。石头呈现出深邃的蓝色和绿色交织的色彩，仿佛蕴含着山海之间的自然之力。背景为一幅淡雅的水墨山水画，石头被放置在一处幽静的山谷之中，周围环绕着淡淡的云雾，远处是连绵起伏的山脉，整个画面充满了古典的诗意与宁静之美。,自然\矿名\文石.png,wenshi（文石）,"prompt: An ancient aragonite, the surface of the ore is covered with mysterious patterns, as intricate as ancient writing. The stone presents a deep blue and green intertwined color, as if it contains the power of nature between the mountains and the sea. The background is an elegant ink landscape painting, the stones are placed in a quiet valley, surrounded by faint clouds and mist, and the rolling mountains are in the distance, and the whole picture is full of classical poetry and tranquil beauty."
硊石,自然,矿名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 矿石名为磬石，呈现出深邃的青黑色，表面光滑如镜，带有淡淡的光泽。在古代插画风格和传统中国美学的彩色水墨风格中，磬石被描绘为一块巨大的岩石，周围环绕着云雾缭绕的山峦，石头上隐约可见神秘的符文和古老的图腾，象征着其非凡的力量和历史的沉淀。背景中可以加入一些古树和飞鸟，增添画面的生动感。,自然\矿名\硊石.png,weishi（硊石）,"prompt: The ore is called chimestone, which presents a deep blue-black color with a smooth mirror-like surface with a faint luster. In the colorful ink style of ancient illustration style and traditional Chinese aesthetics, the chime stone is depicted as a massive rock, surrounded by cloudy mountains, with mysterious runes and ancient totems looming on the stone, symbolizing its extraordinary power and historical precipitation. Some ancient trees and birds can be added to the background to add vividness to the picture."
文玉石,自然,矿名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一块散发着柔和光芒的文玉石，其表面纹理如同细腻的云纹，色彩斑斓而温润。石质半透明，内部仿佛有微光流转，呈现出淡淡的青绿色与淡紫色交织的美丽景象。周围环绕着古老的卷轴和古籍，背景为传统的中国山水画风格，远处山峦起伏，近处松柏苍翠，整体氛围宁静而神秘。,自然\矿名\文玉石.png,wenyushi（文玉石）,"prompt: A piece of jade that exudes a soft light, its surface texture is like a delicate cloud pattern, colorful and warm. The stone is translucent, and there seems to be a shimmer of light flowing inside, presenting a beautiful scene of faint turquoise and lilac. Surrounded by ancient scrolls and ancient books, the background is traditional Chinese landscape painting style, the mountains are undulating in the distance, the pines and cypresses are lush nearby, and the overall atmosphere is serene and mysterious."
錫,自然,矿名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨画风格，展现古代矿场的锡矿开采场景，画面中可见穿着古装的矿工们在山间挖掘，背景是层峦叠嶂的山脉，前景有几块晶莹剔透的锡矿石，色彩以淡雅为主，点缀着些许鲜艳的颜色，整个画面充满古朴而宁静的气息。,自然\矿名\錫.png,xi（錫）,"prompt: Traditional Chinese ink painting style, showing the tin mining scene of the ancient mine, the picture can be seen in ancient costumes miners digging in the mountains, the background is the mountains, the background is a few crystal clear tin ores, the color is mainly elegant, dotted with some bright colors, the whole picture is full of simple and peaceful atmosphere."
玄䃤,自然,矿名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨风格，玄䃤矿石，色彩深邃神秘，带有幽蓝色光泽，表面有自然形成的纹路和裂痕，背景为淡雅的山水画，整体氛围宁静而古老，展现出矿石的神秘与珍贵。,自然\矿名\玄䃤.png,xuansu（玄䃤）,"prompt: Traditional Chinese ink style, Xuanzhu ore, the color is deep and mysterious, with a dark blue luster, there are naturally formed lines and cracks on the surface, the background is elegant landscape painting, the overall atmosphere is quiet and ancient, showing the mystery and preciousness of the ore."
琁瑰,自然,矿名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，描绘一种名为琁瑰的神秘矿石，其色彩斑斓，如同彩虹般绚烂。矿石表面光滑，散发出柔和而神秘的光芒，周围环绕着轻盈的云雾，仿佛隐藏在深山幽谷之中。背景为淡雅的山水画，远处是若隐若现的群山和流水，整体画面充满诗意与宁静之美。,自然\矿名\琁瑰.png,xuangui（琁瑰）,"Prompt: A colorful ink style of traditional Chinese aesthetics, depicting a mysterious ore called Qigui, which is as colorful as a rainbow. The surface of the ore is smooth, emitting a soft and mysterious light, surrounded by light clouds and mist, as if hidden in a deep mountain valley. The background is an elegant landscape painting, and in the distance are the looming mountains and flowing water, and the overall picture is full of poetic and tranquil beauty."
雄黄,自然,矿名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统矿石雄黄，以彩色水墨风格绘制，石头表面呈现出鲜艳的橙黄色，质地细腻光滑，周围环绕着淡淡的烟雾，仿佛散发着神秘的气息，背景为淡雅的山水画，整体画面充满古朴而神秘的美感。,自然\矿名\雄黄.png,xionghuang（雄黄）,"prompt: Traditional Chinese ore realgar, painted in the style of colorful ink, the surface of the stone presents a bright orange-yellow color, the texture is delicate and smooth, surrounded by a faint smoke, as if exuding a mysterious atmosphere, the background is an elegant landscape painting, the overall picture is full of simple and mysterious beauty."
洗石,自然,矿名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 洗石，一种神秘的矿石，其表面光滑如玉，色彩斑斓，仿佛蕴含着天地间的灵气。在古代神话中，洗石被视为能够净化心灵、洗涤罪孽的圣物。画面中，洗石被放置在清澈的溪流之中，水流轻轻拂过石头表面，反射出五彩斑斓的光芒。周围是茂密的竹林和奇花异草，远处山峦起伏，云雾缭绕，呈现出一幅宁静而祥和的景象。整体风格采用传统中国美学的彩色水墨画风，展现出洗石的神秘与纯净。,自然\矿名\洗石.png,xishi（洗石）,"prompt: Washing stone, a mysterious ore, its surface is as smooth as jade and colorful, as if it contains the aura between heaven and earth. In ancient mythology, washing stones were seen as sacred objects capable of purifying the mind and washing away sins. In the picture, the washed stone is placed in a clear stream, and the water gently brushes the surface of the stone, reflecting a colorful light. Surrounded by dense bamboo forests and exotic flowers and plants, the mountains in the distance are undulating, clouds and mist, presenting a peaceful and peaceful scene. The overall style adopts the color ink painting style of traditional Chinese aesthetics, showing the mystery and purity of stone washing."
玄石,自然,矿名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一块古老的玄石，散发着幽深的光芒，石头表面有着神秘的纹理和符号，仿佛蕴含着远古的力量。背景是中国古代山水画风格，山峦起伏，云雾缭绕，画面以淡雅的水墨色调为主，点缀着几抹鲜艳的颜色，展现出一种神秘而庄重的氛围。,自然\矿名\玄石.png,xuanshi（玄石）,"prompt: An ancient mysterious stone that emits a deep light, and the surface of the stone has mysterious textures and symbols, as if it contains ancient power. The background is the style of ancient Chinese landscape painting, with undulating mountains and clouds, and the picture is dominated by elegant ink tones, dotted with a few bright colors, showing a mysterious and solemn atmosphere."
