名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
烏,动物,鸟名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只来自《山海经》的神秘乌鸦，羽毛漆黑如夜，眼神锐利，展翅飞翔在古风山水之间，背景是水墨风格的山峦和云雾，色彩以黑白为主，点缀少许金色，体现出其神秘而庄重的气质。,动物\鸟名\烏.png,wu（烏）,"prompt: A mysterious crow from the ""Classic of Mountains and Seas"", with black feathers and sharp eyes, spreading its wings and flying between ancient landscapes, with ink-style mountains and clouds in the background, the color is mainly black and white, embellished with a little gold, reflecting its mysterious and solemn temperament."
五彩之鳥,动物,鸟名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"相鄉棄沙,惟帝俊下友,帝下兩壇采鳥是司,","prompt: 五彩之鸟，相鄉棄沙,惟帝俊下友,帝下兩壇采鳥是司,古代神话中的神鸟，羽毛绚丽多彩，如同彩虹般绚烂。它栖息于神圣之地，与帝俊有着深厚的友谊。画面中，五彩之鸟站在两座祭坛之间，背景是古老而神秘的山川，风格参考古代插画和传统中国彩色水墨画。",动物\鸟名\五彩之鳥.png,wucaizhiniao（五彩之鳥）,"prompt: Colorful birds, abandoning the sand, but the emperor is a friend, and the two altars of the emperor are the masters, the divine birds in ancient mythology, the feathers are colorful, as brilliant as a rainbow. It inhabits sacred places and has a deep friendship with Dijun. In the painting, the colorful bird stands between two altars, with ancient and mysterious mountains and rivers in the background, with a style that references ancient illustrations and traditional Chinese color ink paintings."
維鳥,动物,鸟名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 维鸟，一种神秘的鸟类，拥有绚丽多彩的羽毛，翅膀展开时如同彩虹般绚烂。维鸟体型中等，头部呈蓝色，眼睛周围有金色的眼圈，嘴部细长而弯曲，呈现出鲜艳的红色。身体主要为绿色，腹部则为淡黄色，翅膀上有着蓝、绿、紫等多种颜色交织的羽毛，尾羽长而优雅，末端呈扇形散开。背景为古代山川河流，风格参考古代插画和传统中国美学的彩色水墨风格。,动物\鸟名\維鳥.png,weiniao（維鳥）,"Prompt: The Victorian bird, a mysterious bird with colorful feathers, spreads its wings like a rainbow. The Vikra is medium in size, with a blue head and golden circles around the eyes, and an elongated, curved beak that gives it a bright red color. The body is mainly green, the abdomen is pale yellow, the wings have blue, green, purple and other colors of intertwined feathers, and the tail feathers are long and elegant, and the ends are fan-shaped. The background is ancient mountains and rivers, and the style refers to the color ink style of ancient illustrations and traditional Chinese aesthetics."
鴞,动物,鸟名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只神秘的鴞鸟，羽毛呈深灰色与白色相间，眼睛大而明亮，呈现出智慧与警觉。它站立在一棵古老的松树上，背景是朦胧的山川与云雾，整个画面采用传统中国彩色水墨风格绘制，充满古韵与神话色彩。,动物\鸟名\鴞.png,xiao（鴞）,"prompt: A mysterious owl with dark gray and white feathers and large, bright eyes, showing wisdom and alertness. It stands on an ancient pine tree with hazy mountains and clouds in the background, and the whole picture is painted in the style of traditional Chinese color ink painting, full of ancient charm and mythology."
梟,动物,鸟名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只神秘的梟鸟，拥有锐利的眼睛和弯曲的喙，羽毛呈现出深邃的黑色与金色交织的华丽图案。背景为古老的山林，月光透过稀疏的云层洒下，营造出一种幽静而神秘的氛围。画面采用传统的中国彩色水墨风格，细腻地描绘出梟鸟的威严与美丽。,动物\鸟名\梟.png,xiao（梟）,"prompt: A mysterious owl with piercing eyes and a curved beak, and its feathers exhibit a gorgeous pattern of deep black and gold. The background is ancient mountains and forests, and the moonlight shines through the sparse clouds, creating a quiet and mysterious atmosphere. The painting adopts the traditional Chinese color ink style, delicately depicting the majesty and beauty of the owl."
絜狗,动物,鸟名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其狀如鳬,鼠尾,善登木,",prompt: 一只名为絜狗的神秘鸟类，其形态如同凫鸟，但拥有一条类似老鼠的尾巴，善于攀爬树木。请以古代插画风格和传统中国美学的彩色水墨风格绘制，背景可为茂密的森林，色彩淡雅且富有诗意，展现出絜狗在树间灵活穿梭的姿态。,动物\鸟名\絜狗.png,jiegou（絜狗）,"Prompt: A mysterious bird called the dog, which looks like a duck but has a mouse-like tail and is good at climbing trees. Painted in the style of ancient illustration and traditional Chinese aesthetics, the background can be a dense forest, the colors are elegant and poetic, showing the dog moving flexibly between the trees."
赤鷩,动物,鸟名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只古代神话中的赤鷩鸟，羽毛鲜艳如火，翅膀展开时如同燃烧的火焰，尾羽修长而华丽，眼睛炯炯有神，站立于古木之上，背景为山川河流，画面采用传统中国美学的彩色水墨风格，线条流畅细腻，色彩对比鲜明。,动物\鸟名\赤鷩.png,chibi（赤鷩）,"prompt: An ancient mythical red wren bird, with bright feathers like fire, wings like burning flames when spreading, slender and gorgeous tail feathers, bright eyes, standing on ancient trees, the background is mountains and rivers, the picture adopts the color ink style of traditional Chinese aesthetics, the lines are smooth and delicate, and the colors are contrasting."
晨鵠,动物,鸟名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只名为晨鵠的神鸟，羽毛闪耀着金色和蓝色的光芒，在晨光中飞翔。背景是初升的太阳和云彩，画面充满祥和与希望的气息。采用传统中国美学的彩色水墨风格绘制，线条流畅，色彩柔和。,动物\鸟名\晨鵠.png,chenhu（晨鵠）,"Prompt: A mythical bird called the morning crane, with its feathers shining with golden and blue light, flies in the morning light. The background is the rising sun and clouds, and the picture is full of peace and hope. Painted in the color ink style of traditional Chinese aesthetics, the lines are smooth and the colors are soft."
雄雞,动物,鸟名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只雄鸡，羽毛色彩斑斓，头戴鲜红的鸡冠，眼神炯炯有神，立于山石之上，背景为《山海经》中的奇幻山水，画面采用传统中国彩色水墨风格，线条流畅，色彩丰富而和谐。,动物\鸟名\雄雞.png,xiongji（雄雞）,"Prompt: A rooster, with colorful feathers, wearing a bright red rooster comb, with bright eyes, standing on the mountains and rocks, the background is the fantasy landscape in the ""Classic of Mountains and Seas"", the picture adopts the traditional Chinese color ink style, the lines are smooth, the colors are rich and harmonious."
玄鳥,动物,鸟名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只神秘的玄鳥，羽毛呈深邃的黑色，带有微微的蓝色光泽，眼睛如红宝石般明亮。它展翅飞翔在古老的天空中，背景是远古时期的山水，山峦起伏，云雾缭绕。画面采用传统的中国水墨画风格，色彩以黑白为主，辅以淡淡的蓝、红色调，展现出一种古典而神秘的美感。,动物\鸟名\玄鳥.png,xuanniao（玄鳥）,"Prompt: A mysterious swallow with deep black feathers with a slight blue sheen, and eyes as bright as rubies. It spreads its wings and flies in the ancient sky, with ancient mountains and rivers in the background, undulating mountains and clouds. The painting adopts the traditional Chinese ink painting style, with mainly black and white colors, supplemented by faint blue and red tones, showing a classical and mysterious beauty."
