名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
轅,器物,器物,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学彩色水墨风格，古代战车轅，精美的木制结构，雕刻有祥云和龙纹图案，车轮边缘装饰着古铜色的花纹，整体呈现出庄重而华丽的气息，背景为淡雅的山水景色，营造出一种古典而神秘的氛围。,器物\器物\轅.png,yuan（轅）,"prompt: Traditional Chinese aesthetic color ink style, ancient chariot yoke, exquisite wooden structure, carved with auspicious cloud and dragon patterns, the edges of the wheels are decorated with bronze patterns, the overall presentation of a solemn and gorgeous atmosphere, the background is elegant landscape scenery, creating a classical and mysterious atmosphere."
翳,器物,器物,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨画风格，古朴典雅的翳，一种神秘的古代器物，形状似扇，用以遮蔽阳光或视线。画面中，翳的扇面细腻地描绘着山海经中的奇异鸟兽图案，边缘镶嵌着精致的金边，手柄部分雕刻成龙形，栩栩如生，展现出浓厚的神话色彩和古典美学。背景为淡淡的山水，增添几分幽静之美。,器物\器物\翳.png,yi（翳）,"prompt: Traditional Chinese ink painting style, simple and elegant cover, a mysterious ancient artifact shaped like a fan to block sunlight or vision. In the picture, the fan surface of the cover delicately depicts the strange bird and beast patterns in the Classic of Mountains and Seas, the edges are inlaid with exquisite gold edges, and the handle is partially carved into a dragon shape, which is lifelike, showing a strong mythological color and classical aesthetics. The background is a faint landscape, adding a bit of quiet beauty."
魚䱉,器物,器物,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，古代器物鱼䱉，造型独特，似鱼非鱼，线条流畅，色彩淡雅，古朴典雅，细节精致，背景为古典山水，云雾缭绕，增添神秘感。,器物\器物\魚䱉.png,yushan（魚䱉）,"prompt: Colorful ink style of traditional Chinese aesthetics, ancient utensils and fish, unique shape, like fish but not fish, smooth lines, elegant colors, simple and elegant, exquisite details, the background is classical landscape, clouds and mist, adding mystery."
玉璜,器物,器物,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统美学风格的彩色水墨画，玉璜，古代礼器，形状为半圆形，表面光滑细腻，雕刻有精细的云纹和龙纹，色彩温润如玉，背景为淡雅的山水景色，整体氛围古朴典雅。,器物\器物\玉璜.png,yuhuang（玉璜）,"prompt: Colorful ink painting in traditional Chinese aesthetic style, jade huang, ancient ceremonial vessels, the shape is semicircular, the surface is smooth and delicate, carved with fine cloud patterns and dragon patterns, the color is as warm as jade, the background is elegant landscape scenery, the overall atmosphere is simple and elegant."
舟,器物,器物,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt：古代舟船，木质结构，长而窄，船头和船尾微微上翘，船身两侧有精美的雕刻图案，描绘着山海经中的奇珍异兽，如九尾狐、夔牛等。船上悬挂着红绸，随风飘扬，船帆用细腻的麻布制成，上面绘有山水画。背景是波光粼粼的江面，远处群山若隐若现，天空中云雾缭绕，呈现出一种神秘而宁静的氛围。整体风格参考古代插画，采用传统中国美学的彩色水墨风格。,器物\器物\舟.png,zhou（舟）,"prompt: Ancient boats, wooden structures, long and narrow, the bow and stern are slightly upturned, and there are exquisite carved patterns on both sides of the hull, depicting rare beasts in the Classic of Mountains and Seas, such as nine-tailed foxes, Kui cows, etc. Red silk was hung on the boat, fluttering in the wind, and the sails were made of fine linen with landscape paintings. The background is the sparkling river, the mountains looming in the distance, and the clouds and mist in the sky, presenting a mysterious and serene atmosphere. The overall style refers to ancient illustrations and adopts the color ink style of traditional Chinese aesthetics."
杖,器物,器物,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国古代神话中的神秘杖，造型古朴典雅，以深棕色为主色调，杖身雕刻有细腻的云纹和山川图案，杖头镶嵌着一颗散发着柔和光芒的宝石，象征着天地间的自然力量。杖的周围环绕着淡淡的仙气，仿佛蕴含着无尽的神力。背景为淡雅的水墨山水，展现了传统中国美学的韵味。,器物\器物\杖.png,zhang（杖）,"prompt: The mysterious staff in ancient Chinese mythology, with a simple and elegant shape, dark brown as the main color, the staff body is carved with delicate cloud patterns and mountain patterns, and the tip of the staff is inlaid with a gemstone that exudes a soft light, symbolizing the natural power between heaven and earth. The staff was surrounded by a faint fairy aura, as if it contained endless divine power. The background is an elegant ink landscape, showing the charm of traditional Chinese aesthetics."
箴,器物,器物,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，古代器物箴，形状如同细长的玉尺，通体碧绿，表面雕刻着繁复的云纹和山川图案，象征着天地间的秩序与和谐，背景为淡雅的山水画，整体氛围宁静而庄严。,器物\器物\箴.png,zhen（箴）,"prompt: The color ink style of traditional Chinese aesthetics, the ancient utensils are shaped like slender jade rulers, the whole body is turquoise, and the surface is carved with complex cloud patterns and mountain and river patterns, symbolizing the order and harmony between heaven and earth, and the background is elegant landscape paintings, and the overall atmosphere is quiet and solemn."
爼,器物,器物,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代祭祀用的爼，青铜质地，形状为长方形，四角有精致的兽面纹饰，中央雕刻着神秘的山海经异兽图案，整体风格古朴庄重，背景为淡雅的水墨山水，色彩以青绿为主，细节处点缀金黄色，展现出浓厚的传统中国美学。,器物\器物\爼.png,zu（爼）,"prompt: Ancient sacrificial pots, bronze texture, rectangular in shape, with exquisite animal face decorations at the corners, the center is carved with mysterious mountain and sea scripture strange beast patterns, the overall style is simple and solemn, the background is elegant ink landscape, the color is mainly green, and the details are dotted with golden yellow, showing a strong traditional Chinese aesthetics."
珠,器物,器物,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，一颗璀璨夺目的明珠，珠体圆润光滑，散发出柔和而神秘的光芒，周围环绕着细腻的云雾和祥瑞之气，背景是淡雅的山水景色，整幅画面充满了古朴典雅的气息。,器物\器物\珠.png,zhu（珠）,"prompt: Colorful ink style of traditional Chinese aesthetics, a dazzling pearl, the bead body is round and smooth, emitting a soft and mysterious light, surrounded by delicate clouds and auspiciousness, the background is an elegant landscape scenery, the whole picture is full of simple and elegant atmosphere."
銚,器物,器物,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，古朴典雅的銚，青铜质地，器身雕刻着精美的山海经神兽图案，周围环绕着祥云和古老的符文，背景是淡雅的山水画，透露出浓厚的古代文化气息。,器物\器物\銚.png,yao（銚）,"prompt: Colorful ink style of traditional Chinese aesthetics, simple and elegant chisel, bronze texture, the body is carved with exquisite patterns of the Classic of Mountains and Seas, surrounded by auspicious clouds and ancient runes, and the background is an elegant landscape painting, revealing a strong ancient cultural atmosphere."
杯,器物,器物,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统器物，名为杯，采用古代插画风格和传统中国美学的彩色水墨风格绘制。杯子造型古朴典雅，表面绘有细腻的山水图案，色彩以淡雅的青绿为主，边缘点缀金色线条，展现出一种宁静而高雅的气息。背景为柔和的云雾缭绕的山景，增添几分神秘与古典之美。,器物\器物\杯.png,bei（杯）,"prompt: A traditional Chinese artifact, called a cup, is painted in the style of colorful ink painting in the style of ancient illustration and traditional Chinese aesthetics. The cup is simple and elegant, with delicate landscape patterns painted on the surface, the color is mainly elegant turquoise, and the edges are dotted with golden lines, showing a quiet and elegant atmosphere. The background is a soft cloud-shrouded mountain landscape, adding a bit of mystery and classical beauty."
簳,器物,器物,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学彩色水墨风格，簳，古代乐器，竹制长笛，优雅细腻，线条流畅，背景为淡雅山水，云雾缭绕，古朴典雅，充满诗意氛围,器物\器物\簳.png,gan（簳）,"prompt: Traditional Chinese aesthetic color ink style, yu, ancient musical instruments, bamboo flute, elegant and delicate, smooth lines, the background is elegant landscape, clouds and mist, simple and elegant, full of poetic atmosphere"
