名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
王子夜之尸,人物,尸,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"两手两股胷首齒皆斷異處,",prompt：王子夜之尸，分类：尸，描述：两手两股胷首齒皆斷異處。画面中，王子夜的尸体散落一地，双手、双腿、胸膛和头部以及牙齿都断开分离。整个场景弥漫着一种神秘而恐怖的气息，背景是荒凉的山野，天空昏暗，云层低垂。画风采用传统中国美学的彩色水墨风格，线条流畅，色彩深沉，充满古代插画的韵味。,人物\尸\王子夜之尸.png,wangziyezhishi（王子夜之尸）,"Prompt: The corpse of the prince of the night, Category:Corpses, Description: Both hands, legs, chest, and teeth were broken in different places. In the picture, Wang Ziye's body is scattered all over the place, and his hands, legs, chest and head, as well as his teeth, are disconnected and separated. The whole scene is filled with a mysterious and terrifying atmosphere, with a desolate mountain background with dim skies and low clouds. The painting style adopts the color ink style of traditional Chinese aesthetics, with smooth lines and deep colors, full of the charm of ancient illustrations."
相顧之尸,人物,尸,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"北海之内,反縛,盜械,帶戈,常倍之佐,",prompt: 北海之内的相顧之尸，被反绑双手，戴着盗贼的枷锁，腰间挂着一柄戈，常作为倍之佐的形象出现。请以古代插画风格和传统中国美学的彩色水墨风格描绘，注重细节如枷锁、戈等元素，背景为北海之内的神秘景象。,人物\尸\相顧之尸.png,xiangguzhishi（相顧之尸）,"prompt: The corpse of Mutual Care in the North Sea, with his hands tied behind his back, wearing the shackles of a thief, and a spear hanging from his waist, often appears as the image of Bei no Sa. Please depict in the color ink style of ancient illustration style and traditional Chinese aesthetics, pay attention to details such as shackles, ge, and other elements, and the background is the mysterious scene in the North Sea."
夏耕之尸,人物,尸,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"無首,操戈盾立,故成湯伐夏桀于章山克之,斬耕厥前,耕既立無首走厥咎,乃降於巫山,",prompt: 夏耕之尸，无头，手持戈盾站立，背景为章山战场，周围有战斗后的痕迹，如倒下的士兵和战马，天空阴沉，象征着战争的残酷。夏耕之尸虽然无首，但依然坚定地站立着，表现出不屈的精神。画面采用传统中国美学的彩色水墨风格，线条流畅，色彩淡雅，强调了古代插画的韵味。,人物\尸\夏耕之尸.png,xiagengzhishi（夏耕之尸）,"prompt: Xia Geng's corpse, headless, standing with a spear shield in the background, the background is the battlefield of Zhangshan, surrounded by traces of the battle, such as fallen soldiers and war horses, the sky is gloomy, symbolizing the cruelty of war. Although Xia Geng's corpse was headless, it still stood firmly, showing an unyielding spirit. The picture adopts the color ink style of traditional Chinese aesthetics, with smooth lines and elegant colors, emphasizing the charm of ancient illustrations."
柤狀之尸,人物,尸,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"有人方齒虎尾,",prompt: 有人方齒虎尾的柤狀之尸，形象为半人半兽，拥有人类的身体和四肢，但牙齿呈方形，排列整齐如同切割过的石块，尾巴则如同猛虎一般，粗壮有力，尾尖带有黑色条纹。背景为幽暗的山林，月光透过稀疏的树梢洒落，增添几分神秘感。整体风格参考古代插画，采用传统中国美学的彩色水墨风格，色彩以深蓝、墨绿为主，点缀以金色和白色，营造出一种古老而神秘的氛围。,人物\尸\柤狀之尸.png,zhazhuangzhishi（柤狀之尸）,"prompt: A square-toothed tiger-tailed corpse, shaped like a half-human, half-beast, with a human body and limbs, but the teeth are square, neatly arranged like cut stones, and the tail is like a tiger, thick and powerful, with black stripes on the tip of the tail. The background is a dark mountain forest, and the moonlight shines through the sparse treetops, adding a bit of mystery. The overall style refers to ancient illustrations, using the color ink style of traditional Chinese aesthetics, with dark blue and dark green as the main colors, embellished with gold and white, creating an ancient and mysterious atmosphere."
貳負之尸,人物,尸,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"在大行伯東,",prompt: 《山海经》中的貳負之尸，位于大行伯东，形象为一具被斩首的尸体，头部被放置在胸口上，身体僵硬而扭曲。画面背景为荒凉的山野，远处隐约可见山脉轮廓。整体风格参考古代插画，采用传统中国美学的彩色水墨技法，色调以灰暗为主，突出其神秘而恐怖的氛围。,人物\尸\貳負之尸.png,erfuzhishi（貳負之尸）,"prompt: The corpse of the two burdens in the ""Classic of Mountains and Seas"", located in the great hang Bodong, is depicted as a decapitated corpse, with its head placed on its chest, and its body stiff and twisted. The background of the picture is a desolate mountain, and the outline of the mountains is faintly visible in the distance. The overall style refers to ancient illustrations, using the color ink technique of traditional Chinese aesthetics, and the color tone is mainly gray and dark, highlighting its mysterious and terrifying atmosphere."
肝榆之尸,人物,尸,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 肝榆之尸，古代神话中的神秘尸体，身着古朴的长袍，面容苍白而宁静，双眼紧闭仿佛在沉睡。周围环绕着古老的树木和藤蔓，树上挂满了奇异的果实，背景是朦胧的山峦和云雾。画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅，展现出一种超脱尘世的幽静与神秘感。,人物\尸\肝榆之尸.png,ganyuzhishi（肝榆之尸）,"prompt: The corpse of the liver elm, a mysterious corpse in ancient mythology, dressed in a simple robe, with a pale and serene face, and his eyes closed as if he were asleep. Surrounded by ancient trees and vines covered with exotic fruits, the background is hazy mountains and clouds. The painting adopts the color ink style of traditional Chinese aesthetics, with elegant colors and smooth lines, showing a sense of seclusion and mystery beyond the world."
黄姖之尸,人物,尸,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统彩色水墨风格，黄姖之尸，面容苍白，身着古代破损的衣袍，身体部分腐烂，露出森森白骨，周围环绕着淡淡的幽冥之气，背景为荒凉的山野，天空阴沉，远处有几只乌鸦盘旋。,人物\尸\黄姖之尸.png,huangjuzhishi（黄姖之尸）,"prompt: Traditional Chinese color ink style, Huang Chan's corpse, pale face, dressed in ancient broken robes, body parts decayed, revealing dense white bones, surrounded by a faint ghostly aura, the background is desolate mountains, the sky is gloomy, and a few crows are circling in the distance."
犁䰰之尸,人物,尸,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"人靣,獸身,",prompt: 犁䰰之尸，人面兽身，面容威严而神秘，身体覆盖着浓密的黑色毛发，四肢粗壮有力，背后有一对巨大的翅膀。背景为古老而神秘的山林，色彩以深绿和墨色为主，点缀以金色的光芒，展现出一种古老而庄重的氛围。整体风格参考古代插画，采用传统中国美学的彩色水墨风格。,人物\尸\犁䰰之尸.png,liruzhishi（犁䰰之尸）,"prompt: The corpse of the plowshare, with a human face and a beast body, a majestic and mysterious face, a body covered with thick black hair, thick and powerful limbs, and a pair of huge wings on its back. The background is an ancient and mysterious mountain forest, with dark green and ink colors, embellished with golden light, showing an ancient and solemn atmosphere. The overall style refers to ancient illustrations and adopts the color ink style of traditional Chinese aesthetics."
女丑之尸,人物,尸,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"生而十日炙殺之,在丈夫北,以右手鄣其靣,十日居上女丑居山之上,",prompt: 女丑之尸，生而十日炙殺之，在丈夫北，以右手鄣其靣，十日居上女丑居山之上。画面中，女丑之尸站在山顶，她的身体被烈日炙烤得焦黑，右手遮住脸部，试图躲避太阳的灼热光芒。天空中有十个太阳高悬，炽热的阳光洒满大地。背景是苍茫的山脉和枯萎的树木，呈现出一种荒凉而凄美的景象。整体风格采用传统中国美学的彩色水墨画风，色彩以暗红、灰黑为主，突出女丑之尸的悲惨命运。,人物\尸\女丑之尸.png,nvchouzhishi（女丑之尸）,"prompt: The corpse of the female ugly is burned to death on the tenth day of birth, north of the husband, and the right hand is used to cover the body, and the female ugly is on the mountain for ten days. In the picture, the corpse of the female ugly stands on the top of the mountain, her body scorched by the scorching sun, and her right hand covers her face, trying to avoid the scorching rays of the sun. There are ten suns hanging high in the sky, and the blazing sun shines on the earth. The background is vast mountains and withered trees, presenting a desolate and poignant scene. The overall style adopts the color ink painting style of traditional Chinese aesthetics, and the colors are mainly dark red, gray and black, highlighting the tragic fate of the female ugly corpse."
女尸,人物,尸,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"化爲䔄草,",prompt：女尸，化为䔄草，古代神话中的神秘存在，她的形象由一具沉睡的女性尸体逐渐转变为一株盛开的䔄草。画面中，女尸静静地躺在一片幽暗的古墓之中，周围弥漫着淡淡的雾气，她的身体逐渐变得透明，最终完全化为一株美丽的䔄草。䔄草的花朵绽放着淡紫色的光芒，叶片上覆盖着一层薄薄的露珠，整个场景充满了神秘而宁静的气息。背景是古老的石壁和壁画，描绘着古代神话故事，增添了一种历史的厚重感。整体风格采用传统的中国彩色水墨画技法，色彩柔和，线条流畅，展现出一种古典而唯美的氛围。,人物\尸\女尸.png,nvshi（女尸）,"prompt: Female corpse, turned into grass, a mysterious existence in ancient mythology, her image gradually changed from a sleeping female corpse to a blooming grass. In the picture, the female corpse lies quietly in a dark ancient tomb, surrounded by a faint mist, and her body gradually becomes transparent, and finally completely turns into a beautiful grass. The flowers of the grass bloom with a lilac glow, and the leaves are covered with a thin layer of dewdrops, and the whole scene is full of mystery and tranquility. In the background are ancient stone walls and frescoes depicting ancient mythological stories, adding a sense of historical weight. The overall style adopts traditional Chinese color ink painting techniques, with soft colors and smooth lines, showing a classical and aesthetic atmosphere."
