名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
天虞,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"有人反臂,",prompt: 一位名叫天虞的人，他拥有奇特的外貌特征，最显著的是他的双臂是反向生长的，仿佛是从背后伸展到前方。他的面容平静而神秘，眼神中透露出深邃的智慧。穿着古代的长袍，色彩以淡雅的青色和白色为主，衣袂飘逸，如同云雾缭绕。背景是一片古老而宁静的山林，树木苍翠，溪流潺潺，远处有几座巍峨的山峰若隐若现。整个画面采用传统的中国水墨画风格，色彩柔和，线条流畅，展现出一种超凡脱俗的意境。,人物\人名\天虞.png,tianyu（天虞）,"Prompt: A man named Tianyu, he has peculiar physical features, most notably his arms grow in reverse, as if stretched from behind to front. His face was calm and mysterious, and his eyes revealed profound wisdom. Wearing an ancient robe, the colors are mainly elegant cyan and white, and the sleeves are flowing, like clouds and mist. In the background is an ancient and peaceful mountain forest with lush trees, gurgling streams, and several majestic peaks looming in the distance. The whole picture adopts the traditional Chinese ink painting style, with soft colors and smooth lines, showing an otherworldly artistic conception."
聽訞,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"炎帝之妻赤水之子聽訞生炎居,",prompt：炎帝之妻聽訞，身着华丽的古装，衣袂飘逸，面容端庄美丽。她站在赤水河畔，身后是远古时代的山水背景，天空中飘着祥云。身旁有象征吉祥的凤凰盘旋，展现出她的高贵与神圣。画面采用传统中国美学的彩色水墨风格，线条流畅，色彩淡雅，充满神秘而庄严的气息。,人物\人名\聽訞.png,tingyao（聽訞）,"prompt: The wife of the Yan Emperor, Ting, is dressed in gorgeous ancient costumes, with flowing clothes and a dignified and beautiful face. She stood on the banks of the Chishui River, with the background of ancient landscapes behind her, and auspicious clouds floating in the sky. There is a phoenix hovering beside her, which symbolizes auspiciousness, showing her nobility and sacredness. The picture adopts the color ink style of traditional Chinese aesthetics, with smooth lines and elegant colors, full of mysterious and solemn atmosphere."
太子長琴,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"祝融生太子長琴,是處榣山,始作樂風,",prompt: 太子长琴，祝融之子，居于榣山，始创音乐与风雅，形象为一俊美青年，身着古代华服，手持古琴，周围环绕着象征音乐的音符与自然界的和谐元素，背景是云雾缭绕、仙气飘渺的榣山，整体风格参考古代插画与传统中国彩色水墨画。,人物\人名\太子長琴.png,taizizhangqin（太子長琴）,"prompt: Prince Changqin, son of Zhu Rong, lives in Yushan, founded music and elegance, the image is a handsome young man, dressed in ancient Chinese clothes, holding a guqin, surrounded by musical notes symbolizing music and harmonious elements of nature, the background is cloudy and misty, fairy-like Yushan, the overall style refers to ancient illustrations and traditional Chinese color ink paintings."
危,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"貳負之臣,危與貳負殺窫窳,帝乃梏之䟽屬之山,桎其右足,反縳两手與髮,繫之山上木,在開題西北,",prompt: 一个古代神话人物，名为危，他是貳負之臣。画面中，危被束缚在疏属之山上，右脚被桎梏，双手反绑，头发也被捆绑在一起，固定在一棵树上。背景是荒凉的山景，远处可以看到开题西北的方向。整体风格采用传统中国美学的彩色水墨画风，注重线条与色彩的和谐，表现出一种神秘而古老的氛围。,人物\人名\危.png,wei（危）,"Prompt: An ancient mythological character named Wei, he is a minister of two betrayals. In the picture, Wei is bound on the mountain of the sparse family, his right foot is shackled, his hands are tied behind his back, and his hair is also tied together and fixed to a tree. The background is a desolate mountain scene, and in the distance you can see the direction of the northwest of the opening topic. The overall style adopts the color ink painting style of traditional Chinese aesthetics, focusing on the harmony of lines and colors, showing a mysterious and ancient atmosphere."
巫,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一位身着古老巫师长袍的神秘人物，头戴羽冠，手持法杖，法杖上雕刻有奇异的图腾。背景是幽暗的森林，月光透过树梢洒下斑驳光影。画面采用传统中国美学的彩色水墨风格，巫师的眼神深邃而神秘，仿佛能洞察人心。,人物\人名\巫.png,wu（巫）,"prompt: A mysterious figure dressed in an ancient wizard's robe, wearing a crown of feathers and holding a staff carved with a bizarre totem. The background is a dark forest, with moonlight casting dappled light and shadow through the treetops. The picture adopts the color ink style of traditional Chinese aesthetics, and the wizard's eyes are deep and mysterious, as if they can gain insight into people's hearts."
（鬼國）物,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"人靣,一目,",prompt: 人面一目的鬼国人物，面部特征独特，只有一只眼睛位于额头中央，表情神秘莫测。身着古朴的长袍，袍上绣有古老的符文和图腾，色彩以深蓝和黑色为主，透露出一种幽暗而神秘的气息。背景为一片荒凉的山野，远处隐约可见一座废弃的古城，天空中弥漫着淡淡的雾气，增添了一种诡异而迷离的氛围。整体风格参考古代插画，采用传统中国美学的彩色水墨技法绘制。,人物\人名\（鬼國）物.png,（guiguo）wu（（鬼國）物）,"prompt: A ghost country character with a human face, unique facial features, only one eye in the center of the forehead, and a mysterious expression. Dressed in a quaint robe embroidered with ancient runes and totems, the colors are mainly dark blue and black, revealing a dark and mysterious atmosphere. The background is a desolate mountain, an abandoned ancient city can be seen in the distance, and a faint mist fills the sky, adding to an eerie and confusing atmosphere. The overall style refers to ancient illustrations and is painted using the color ink technique of traditional Chinese aesthetics."
巫抵,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt：巫抵，古代神话中的巫师形象，身着古朴的长袍，手持法杖，面容严肃而神秘。背景为远古时期的山林，周围环绕着奇异的草木和古老的图腾柱，天空中飘浮着祥云，整体呈现出一种古老而庄重的氛围。画面采用传统中国美学的彩色水墨风格，线条流畅，色彩淡雅，富有诗意。,人物\人名\巫抵.png,wudi（巫抵）,"prompt: Witch, the image of a wizard in ancient mythology, dressed in a simple robe, holding a staff, and a serious and mysterious face. The background is the mountains and forests of ancient times, surrounded by strange vegetation and ancient totem poles, and auspicious clouds floating in the sky, presenting an ancient and solemn atmosphere as a whole. The picture adopts the color ink style of traditional Chinese aesthetics, with smooth lines, elegant colors and poetry."
巫抵,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"開明東,夾窫窳之尸,皆操不死之藥以距之,",prompt: 巫抵，一位神秘的古代巫师，位于开明之东，守护着窫窳的尸体。他手持不死之药，以抵御一切邪恶势力。画面中，巫抵身着古朴长袍，面容庄重，手中握着一瓶闪耀着微光的不死之药。背景是古老的山川和神秘的云雾，整体风格采用传统中国彩色水墨画风，展现出一种神秘而庄严的氛围。,人物\人名\巫抵.png,wudi（巫抵）,"prompt: Wu Di, a mysterious ancient sorcerer located in the east of Enlightenment, guarding the corpse of Yaoyu. He holds the elixir of immortality to ward off all evil forces. In the picture, Wu Di is dressed in a simple robe, with a solemn face, holding a bottle of immortal medicine that shines with a shimmering light in his hand. The background is ancient mountains and rivers and mysterious clouds, and the overall style adopts the style of traditional Chinese color ink painting, showing a mysterious and solemn atmosphere."
巫臷民,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"盼姓,食榖,不績不經服也,不稼不穡食也,",prompt: 巫臷民，盼姓，食榖，不績不經服也，不稼不穡食也。形象为古代神话中的部落人民，身穿简朴的自然纤维衣物，无需纺织，食物来自自然谷物，无需耕种。画面以传统中国美学的彩色水墨风格呈现，背景是茂密的山林和清澈的溪流，巫臷民在自然中和谐生活，展现出与世无争、自给自足的生活状态。,人物\人名\巫臷民.png,wudiemin（巫臷民）,"prompt: Wu Zhan Min, Pan surname, eating grain, not working or taking it, not farming or eating. The image is of tribal people in ancient mythology, wearing simple natural fiber clothing, no weaving, and food from natural grains without farming. The picture is presented in the color ink style of traditional Chinese aesthetics, with dense mountains and forests and clear streams in the background, and the Wu people live in harmony in nature, showing a state of life that is indisputable and self-sufficient."
巫凡,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"開明東,夾窫窳之尸,皆操不死之藥以距之,",prompt: 巫凡，一位神秘的古代巫师，站在开明东的方向，身旁夹着窫窳之尸。他手持不死之药，准备抵御即将到来的威胁。画面中，巫凡身着古朴的长袍，面容严肃而庄重。背景是幽暗的山林和古老的石碑，展现出一种神秘而庄严的氛围。整体风格参考古代插画和传统中国美学的彩色水墨风格。,人物\人名\巫凡.png,wufan（巫凡）,"Prompt: Wu Fan, a mysterious ancient sorcerer, stood in the direction of the enlightened east, with the corpse of Yao Yu beside him. Armed with the elixir of immortality, he is ready to fend off the threat that is about to come. In the picture, Wu Fan is dressed in a simple robe, with a serious and solemn face. The background is dark mountains and forests and ancient stone monuments, showing a mysterious and solemn atmosphere. The overall style refers to the color ink style of ancient illustration and traditional Chinese aesthetics."
