名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
韋,自然,气候,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统神话中的气候之神韋，以彩色水墨风格绘制，形象为一位身着古代长袍的威严老者，手持一把巨大的扇子，扇动时能带来四季变换。背景是云雾缭绕的山峦，象征着他掌控风雨的能力。画面中融入了古代插画风格，色彩以淡雅为主，突出中国传统文化的美学。,自然\气候\韋.png,wei（韋）,"Prompt: Wei, the god of climate in traditional Chinese mythology, is painted in a colorful ink style and depicts a majestic old man in an ancient robe, holding a huge fan that can bring about the changing seasons when fanned. The background is a misty mountain, symbolizing his ability to control wind and rain. The picture incorporates the ancient illustration style, and the colors are mainly elegant, highlighting the aesthetics of traditional Chinese culture."
𤟇,自然,气候,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国古代神话中的气候神兽，名为𤟇，象征着四季变化和自然力量。请以传统中国美学的彩色水墨风格绘制，背景为云雾缭绕的山川，𤟇的形象结合龙与凤凰的特点，拥有流线型的身体，翅膀上带有云纹图案，尾巴如同飘动的云彩，周围环绕着四季花卉，春花、夏叶、秋果、冬雪，展现其掌控季节变换的能力。整体画面色调柔和，充满神秘而祥和的气息。,自然\气候\𤟇.png,yan（𤟇）,"prompt: The climate beast in ancient Chinese mythology, named 𤟇, symbolizes the changing seasons and the forces of nature. Please draw in the color ink style of traditional Chinese aesthetics, with clouds and mist in the background, the image of 𤟇 combines the characteristics of dragons and phoenixes, with a streamlined body, wings with moire patterns, tails like fluttering clouds, surrounded by seasonal flowers, spring flowers, summer leaves, autumn fruits, winter snow, showing its ability to control the change of seasons. The overall picture is soft in tone and full of mystery and peace."
大暑,自然,气候,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 大暑，夏日炎炎，阳光炽热，天空湛蓝无云。大地被金黄色的阳光覆盖，田野里的稻谷随风摇曳，呈现出一片丰收的景象。远处的山峦在阳光下若隐若现，河流潺潺流动，水面波光粼粼。人们穿着轻薄的夏装，或在树荫下乘凉，或在河边嬉戏。画面以彩色水墨风格呈现，色彩鲜艳而柔和，充满生机与活力。,自然\气候\大暑.png,dashu（大暑）,"prompt: Hot summer, hot sun, blue sky cloudless. The earth is covered in golden sunlight, and the rice in the fields sways in the wind, presenting a scene of a bumper harvest. The mountains in the distance loom in the sun, the river gurgles, and the water surface sparkles. People wear light summer clothes, or cool off in the shade of trees, or play by the river. The picture is presented in the style of color ink, with bright and soft colors, full of vitality and vitality."
大雨,自然,气候,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨画风格，大雨倾盆而下，天空乌云密布，雷电交加，山川河流在暴雨中显得格外壮阔，树木被风吹得摇曳生姿，画面中可以隐约看到古代村落和人们匆匆避雨的身影，整体色调以深蓝、灰黑为主，辅以淡淡的墨绿，展现出一种磅礴的自然力量和宁静的古风韵味。,自然\气候\大雨.png,dayu（大雨）,"prompt: Traditional Chinese ink painting style, heavy rain pouring down, the sky is full of dark clouds, thunder and lightning, the mountains and rivers are particularly magnificent in the heavy rain, the trees are swaying by the wind, the picture can vaguely see the ancient villages and people hurriedly taking shelter from the rain, the overall tone is mainly dark blue, gray and black, supplemented by a faint dark green, showing a majestic natural power and a quiet ancient charm."
颷,自然,气候,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 颷，气候之神，掌控着狂风与风暴。他身披由云朵编织的长袍，长发随风飘扬，眼中闪烁着电光。背景是乌云密布的天空，闪电划破天际，飓风卷起巨浪，展现出他的力量与威严。整体风格参考古代插画，采用传统中国美学的彩色水墨技法，色彩以深蓝、墨黑为主，点缀闪电的银白色，营造出一种神秘而震撼的氛围。,自然\气候\颷.png,biao（颷）,"Prompt: Zhao, the god of the climate, controls the winds and storms. He was dressed in a robe woven from clouds, his long hair fluttering in the wind, and his eyes flashing with lightning. The background is a cloudy sky, lightning cuts through the sky, and hurricanes roll up huge waves, showing his strength and majesty. The overall style refers to ancient illustrations, using the color ink technique of traditional Chinese aesthetics, the colors are mainly dark blue and inky black, and are embellished with lightning silver and white, creating a mysterious and shocking atmosphere."
怪風雨,自然,气候,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统彩色水墨风格，怪风雨，气候现象，乌云密布的天空中狂风大作，暴雨倾盆而下，闪电划破天际，树木摇曳生姿，山川在风雨中若隐若现，古风插画风格，充满神秘与力量感,自然\气候\怪風雨.png,guaifengyu（怪風雨）,"prompt: Traditional Chinese color ink style, strange wind and rain, climate phenomena, strong winds in the dark cloudy sky, torrential rain pouring down, lightning cutting through the sky, trees swaying, mountains and rivers looming in the wind and rain, ancient style illustration style, full of mystery and power"
俊,自然,气候,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 俊，古代神话中的气候之神，身着华丽的云纹长袍，手持象征四季变换的扇子，立于云端之上。他的面容慈祥，目光温和，仿佛能洞察世间万物的变化。周围环绕着五彩斑斓的云朵，有的如春花般绚烂，有的如夏日阳光般炽热，有的如秋叶般金黄，有的如冬雪般洁白。整个画面以彩色水墨风格呈现，既有传统中国画的韵味，又不失现代审美。,自然\气候\俊.png,jun（俊）,"prompt: Jun, the god of climate in ancient mythology, stood above the clouds in a gorgeous cloud-patterned robe and holding a fan symbolizing the changing seasons. His face is kind and his eyes are gentle, as if he can see the changes in the world. Surrounded by colorful clouds, some as brilliant as spring flowers, some as hot as summer sun, some as golden as autumn leaves, and some as white as winter snow. The whole picture is presented in the style of color ink, which not only has the charm of traditional Chinese painting, but also loses modern aesthetics."
凱風,自然,气候,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 凱風，气候，温暖的南风轻拂过山川大地，万物复苏，春意盎然。画面中，春风化作柔和的线条，如同细雨般滋润着大地，远处山峦起伏，绿树成荫，近处花朵绽放，鸟语花香。整个画面以传统中国彩色水墨风格呈现，色彩淡雅，富有诗意。,自然\气候\凱風.png,kaifeng（凱風）,"Prompt: Kai Feng, climate, warm south wind gently blows over the mountains and rivers, everything recovers, and spring is full. In the picture, the spring breeze turns into soft lines, nourishing the earth like drizzle, the mountains in the distance are undulating, the trees are shady, the flowers are blooming nearby, and the birds are singing and the flowers are fragrant. The whole picture is presented in the style of traditional Chinese color ink painting, with elegant colors and poetry."
澧沅之風,自然,气候,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 澧沅之風，古代气候现象，表现为轻柔而温暖的风，吹拂过澧水和沅江流域。请以传统中国美学的彩色水墨风格描绘，画面中可见蜿蜒的河流、翠绿的山峦以及被微风吹动的柳树，天空呈现出淡淡的云彩，整个场景充满宁静与和谐之美。,自然\气候\澧沅之風.png,liyuanzhifeng（澧沅之風）,"prompt: The wind of Liyuan, an ancient climate phenomenon, manifests as a gentle and warm wind that blows through the Li River and the Yuan River basin. Depict in the style of traditional Chinese aesthetics, where you can see meandering rivers, verdant mountains and willow trees blown by the breeze, the sky presents faint clouds, and the whole scene is full of tranquility and harmony."
飄風,自然,气候,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 飄風，一种神秘的气候现象，如同山海经中描述的那样，它以旋风的形式出现，携带着云雾和雷电。画面中，飄風从天而降，形成一个巨大的龙卷风，周围环绕着翻滚的乌云和闪电，地面上的树木被风吹得弯曲，落叶纷飞。整体色调以深蓝和灰色为主，带有淡淡的紫色光芒，展现出古老而神秘的气息。背景中的山脉若隐若现，仿佛整个世界都被这股强大的力量所笼罩。画风参考古代插画风格，结合传统中国美学的彩色水墨风格，展现出飘渺而又壮丽的自然景象。,自然\气候\飄風.png,piaofeng（飄風）,"Prompt: Drifting wind, a mysterious climate phenomenon, as described in the Classic of Mountains and Seas, appears in the form of a whirlwind, carrying clouds and thunder and lightning. In the picture, the wind falls from the sky, forming a huge tornado, surrounded by rolling clouds and lightning, and the trees on the ground are bent by the wind, and the leaves are flying. The overall color palette is dominated by dark blue and gray, with a hint of purple, showing an ancient and mysterious atmosphere. The mountains loom in the background, as if the whole world is enveloped in this powerful force. The painting style refers to the ancient illustration style, combined with the color ink style of traditional Chinese aesthetics, showing an ethereal and magnificent natural scene."
暴雨,自然,气候,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 暴雨，古代中国神话中的气候现象，以磅礴的气势和震撼人心的力量展现。画面中，乌云密布，电闪雷鸣，大雨倾盆而下，形成一片壮观的水幕。山川河流在暴雨中显得更加雄伟壮丽，古老的树木被雨水冲刷得更加苍翠欲滴。整个场景采用传统中国美学的彩色水墨风格，既有细腻的笔触描绘出雨丝的轻盈，又有浓重的墨色表现出暴雨的磅礴气势。,自然\气候\暴雨.png,baoyu（暴雨）,"prompt: Heavy rain, a climate phenomenon in ancient Chinese mythology, is displayed with majestic momentum and shocking power. In the picture, dark clouds are dense, lightning and thunder roar, and heavy rain pours down, forming a spectacular water curtain. The mountains and rivers look more majestic and magnificent in the heavy rain, and the ancient trees are washed away by the rain to make them more green. The whole scene adopts the color ink style of traditional Chinese aesthetics, with delicate brushstrokes depicting the lightness of rain and heavy ink colors expressing the majestic momentum of the rainstorm."
條風,自然,气候,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 条风，古代中国气候现象，象征着温暖的春风，画面中展现出一片春意盎然的景象。以传统中国美学的彩色水墨风格描绘，远处群山连绵，云雾缭绕，近处桃花、柳树盛开，花瓣随风飘落。河流蜿蜒穿过田野，农民在田间劳作，孩童在河边嬉戏。整个画面充满生机与和谐，色彩柔和，线条流畅，展现出条风带来的温暖和希望。,自然\气候\條風.png,tiaofeng（條風）,"prompt: Tiao Feng, an ancient Chinese climate phenomenon, symbolizes the warm spring breeze, and the picture shows a scene full of spring. Depicted in the color ink style of traditional Chinese aesthetics, the mountains in the distance are continuous, the clouds are shrouded, the peach blossoms and willow trees are in full bloom nearby, and the petals fall with the wind. The river meanders through the fields, farmers work in the fields, and children play by the river. The whole picture is full of vitality and harmony, with soft colors and smooth lines, showing the warmth and hope brought by the wind."
