名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
天嬰,其他,其他,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其狀如龍骨,",prompt: 天嬰，其狀如龍骨，身体由龙的骨骼构成，呈现出一种神秘而古老的气质。它的头部是龙首，但没有肉身，只有骨架，眼睛处有两团幽蓝色的火焰，仿佛能够洞察世间万物。天嬰的身体弯曲盘旋，如同一条巨大的龙骨，表面覆盖着淡淡的青色光芒，散发出古老而强大的气息。背景是一片虚无缥缈的云雾，周围点缀着星辰和流动的灵气，展现出一种超脱凡尘的仙气。整体风格参考古代插画中的龙形象，结合传统中国美学的彩色水墨风格，画面色彩以淡雅为主，强调线条与光影的对比。,其他\其他\天嬰.png,tianying（天嬰）,"prompt: The heavenly infant, shaped like a keel, has a body composed of dragon skeletons, presenting a mysterious and ancient temperament. Its head is a dragon's head, but it has no body, only a skeleton, and there are two dark blue flames in its eyes, as if it can see everything in the world. Tianying's body bent and hovered, like a huge dragon bone, and its surface was covered with a faint cyan light, exuding an ancient and powerful aura. In the background is an ethereal cloud, surrounded by stars and flowing aura, showing a transcendent fairy aura. The overall style refers to the dragon image in ancient illustrations, combined with the color ink style of traditional Chinese aesthetics, and the color of the picture is mainly elegant, emphasizing the contrast between lines and light and shadow."
息壤,其他,其他,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt：息壤，古代传说中的神土，能够自生长，永不耗尽。画面中，一片神秘的土壤在大地上蔓延，色彩斑斓，充满生机。土壤上长出各种奇花异草，远处山川环绕，云雾缭绕，展现出一种古老而神秘的气息。画面采用传统中国彩色水墨风格，线条流畅，色彩丰富，富有诗意。,其他\其他\息壤.png,xirang（息壤）,"prompt: Xi Rang, the sacred land in ancient legends, can grow on its own and will never be exhausted. In the picture, a mysterious soil spreads across the earth, colorful and full of life. All kinds of exotic flowers and plants grow on the soil, surrounded by mountains and rivers in the distance, and clouds and mist, showing an ancient and mysterious atmosphere. The picture adopts the traditional Chinese color ink style, with smooth lines, rich colors and poetry."
育沛,其他,其他,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统美学风格，彩色水墨画，描绘育沛，一种神秘的古代护身符，形状为不规则的卵石状，表面有天然形成的纹理和斑点，周围环绕着淡淡的光芒，象征着保护与平安。背景为淡雅的山水景色，远处有隐约可见的山峦和云雾，营造出一种宁静而神秘的氛围。,其他\其他\育沛.png,yupei（育沛）,"Prompt: Traditional Chinese aesthetic style, colorful ink painting, depicting Yupei, a mysterious ancient amulet with an irregular pebble-like shape with naturally formed textures and spots on the surface, surrounded by a faint glow, symbolizing protection and peace. The background is an elegant landscape scenery, with faintly visible mountains and clouds in the distance, creating a peaceful and mysterious atmosphere."
痺,其他,其他,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只古代神话中的异兽痺，其身长似蛇，但有四足，每足生有三爪，皮肤覆盖着坚硬的鳞片，颜色为深绿色，头部有一对弯曲的角，眼睛呈红色，口中伸出长长的舌头。背景为山林间的古老景色，树木茂密，云雾缭绕，整体风格参考传统中国彩色水墨画。,其他\其他\痺.png,bi（痺）,"Prompt: An ancient mythical beast paralysis, its body is like a snake, but it has four legs, each leg has three claws, its skin is covered with hard scales, the color is dark green, its head has a pair of curved horns, its eyes are red, and it has a long tongue sticking out of its mouth. The background is an ancient scenery between mountains and forests, with dense trees and clouds and mist, and the overall style is based on traditional Chinese color ink painting."
虖交,其他,其他,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只古老的神兽虖交，形象神秘而威严，身体如同巨大的蛇，覆盖着五彩斑斓的鳞片，在阳光下闪耀着金属般的光泽。虖交拥有两只强壮的前肢，爪子锋利如刀，头部类似龙，长有弯曲的独角和一对锐利的眼睛。虖交栖息在幽深的山谷中，周围环绕着奇花异草和奇异的岩石。画面采用传统中国美学的彩色水墨风格，背景以淡雅的山水为衬托，展现出一种古老而神秘的气息。,其他\其他\虖交.png,hujiao（虖交）,"Prompt: An ancient mythical beast is mysterious and majestic, with a body like a giant snake, covered with colorful scales that shine like metal in the sun. The Nagi has two strong forelimbs, sharp claws like knives, a head resembling a dragon, a curved horn, and a pair of piercing eyes. The snake inhabits deep valleys, surrounded by exotic flowers and exotic rocks. The painting adopts the color ink style of traditional Chinese aesthetics, and the background is set against the elegant landscape, showing an ancient and mysterious atmosphere."
碧緑,其他,其他,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 碧緑，一位神秘的山海经人物，身着翠绿色长袍，长发飘逸，面容清秀。她站在一片茂密的竹林中，周围是细腻的水墨画风格的山石和流水，背景中隐约可见远山和云雾。她的手中握着一根碧绿的玉笛，轻轻吹奏，引来一群五彩斑斓的仙鹤在空中盘旋。整个画面充满了传统中国美学的韵味，色彩以淡雅的绿色为主，点缀着些许金色和红色，营造出一种宁静而神秘的氛围。,其他\其他\碧緑.png,bilv（碧緑）,"Prompt: Bi Lu, a mysterious character of the Classic of Mountains and Seas, dressed in emerald green robes, long flowing hair, and a delicate face. She stands in a dense bamboo forest, surrounded by delicate ink painting-style rocks and flowing water, with distant mountains and clouds faintly visible in the background. She held a green jade flute in her hand and played it gently, attracting a flock of colorful cranes to hover in the air. The whole picture is full of the charm of traditional Chinese aesthetics, with a predominance of elegant green, interspersed with hints of gold and red, creating a serene and mysterious atmosphere."
龍骨,其他,其他,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一条古老的龙骨，静静地躺在神秘的山洞中，周围环绕着幽暗的蓝色光芒。龙骨上覆盖着一层薄薄的青苔，仿佛已经沉睡了千年。骨骼结构清晰可见，每一块骨头都散发着淡淡的金色光辉，展现出它曾经的威严与力量。背景是深邃的山洞，洞壁上刻画着古朴的图腾和符文，增添了几分神秘感。整体画面采用传统的彩色水墨风格，笔触细腻，色彩柔和，营造出一种古老而庄严的氛围。,其他\其他\龍骨.png,longgu（龍骨）,"An ancient keel, lying quietly in a mysterious cave, surrounded by a dim blue glow. The keel is covered with a thin layer of moss, as if it has been asleep for a thousand years. The bone structure is clearly visible, and each bone exudes a faint golden glow, showing its former majesty and strength. The background is a deep cave, with quaint totems and runes carved on the walls, adding a touch of mystery. The overall picture adopts the traditional color ink style, with delicate brushstrokes and soft colors, creating an ancient and solemn atmosphere."
馬腸之物,其他,其他,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统彩色水墨风格，马肠之物，源自《山海经》中的神秘生物，形象为一匹长有巨大肠道的马，肠道盘绕其身，色彩斑斓且富有纹理，背景为古代山水画风格，远处群山环绕，近处流水潺潺，整体画面充满神秘与奇幻色彩。,其他\其他\馬腸之物.png,machangzhiwu（馬腸之物）,"prompt: Traditional Chinese color ink style, horse intestines, derived from the mysterious creature in the ""Classic of Mountains and Seas"", the image is a horse with a huge intestine, the intestines are coiled around its body, colorful and textured, the background is ancient landscape painting style, surrounded by mountains in the distance, and the water is gurgling nearby, and the overall picture is full of mystery and fantasy."
蔓居之木,其他,其他,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一棵古老而神秘的蔓居之木，树干粗壮扭曲，枝叶繁茂如云，覆盖着青翠欲滴的叶子和五彩斑斓的花朵。这棵树生长在一片幽静的山谷中，周围环绕着清澈的小溪和奇石。画面采用传统中国美学的彩色水墨风格，色彩丰富而柔和，展现出一种宁静祥和的氛围。,其他\其他\蔓居之木.png,manjuzhimu（蔓居之木）,"prompt: An ancient and mysterious creeping tree with a thick and twisted trunk and lush branches and leaves like clouds, covered with verdant leaves and colorful flowers. The tree grows in a secluded valley, surrounded by clear streams and strange rocks. The painting adopts the color ink style of traditional Chinese aesthetics, with rich and soft colors, showing a peaceful and peaceful atmosphere."
麋王,其他,其他,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只雄伟的麋鹿，身披五彩斑斓的毛皮，头顶着一对巨大的、枝繁叶茂的鹿角，宛如一棵古老的神树。它的眼神深邃而智慧，仿佛能洞察世间万物。背景是神秘的山林，雾气缭绕，古木参天，展现出一种古老而庄严的氛围。整体风格参考古代插画和传统中国美学的彩色水墨风格。,其他\其他\麋王.png,miwang（麋王）,"Prompt: A majestic elk, dressed in colorful fur and topped with a pair of huge, leafy antlers, resembling an ancient sacred tree. Its eyes are deep and wise, as if it can see everything in the world. The background is a mysterious mountain forest, misty and towering ancient trees, showing an ancient and solemn atmosphere. The overall style refers to the color ink style of ancient illustration and traditional Chinese aesthetics."
