名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
縣,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学彩色水墨风格，古代祭法场景，县神祭祀仪式，背景为古朴的山川，前景是庄重的祭坛，祭坛上摆放着丰盛的供品，包括五谷、水果和酒，祭司身着华丽的古代服饰，手持祭器，神情肃穆，周围环绕着虔诚的民众，天空中飘着祥云，象征着天人合一的神秘氛围。,祭祀\祭法\縣.png,xian（縣）,"prompt: Traditional Chinese aesthetic color ink style, ancient ritual scenes, county god sacrifice ceremony, the background is a quaint mountain and river, the foreground is a solemn altar, the altar is placed with sumptuous offerings, including grains, fruits and wine, the priest is dressed in gorgeous ancient costumes, holding sacrificial vessels, with a solemn expression, surrounded by devout people, auspicious clouds floating in the sky, symbolizing the mysterious atmosphere of the unity of heaven and man."
饗,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学彩色水墨风格，描绘古代祭法场景，中心是一位身着华丽古装的祭司正在主持祭祀仪式，周围是虔诚的村民和各种供品，背景是山川河流与古老的庙宇，画面充满神秘而庄重的氛围，细节丰富，色彩典雅。,祭祀\祭法\饗.png,xiang（饗）,"Prompt: Traditional Chinese aesthetic color ink style, depicting ancient ritual scenes, in the center is a priest dressed in gorgeous ancient costume presiding over the sacrificial ceremony, surrounded by devout villagers and various offerings, the background is mountains and rivers and ancient temples, the picture is full of mysterious and solemn atmosphere, rich in detail, elegant colors."
羞,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统神话中的祭法形象羞，身着古代祭祀服饰，头戴华丽的冠冕，手持祭祀用的玉器，站在古老的祭坛上，背景是飘渺的云雾和神秘的山峦，画面采用彩色水墨风格，展现出一种庄重而神秘的氛围。,祭祀\祭法\羞.png,xiu（羞）,"Prompt: The image of the ritual in traditional Chinese mythology is shy, dressed in ancient sacrificial costumes, wearing a gorgeous crown, holding jade for sacrifice, standing on an ancient altar, with ethereal clouds and mysterious mountains in the background, the picture is in the style of colorful ink, showing a solemn and mysterious atmosphere."
獻血,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代祭法獻血仪式，一位身穿古代祭祀服饰的巫师手持青铜刀，正准备在祭坛上进行献祭，周围环绕着神秘的图腾和符文，背景是古老的山川和祥云，画面采用传统中国美学的彩色水墨风格，色调庄重而神秘。,祭祀\祭法\獻血.png,xianxue（獻血）,"prompt: Ancient ritual blood offering ceremony, a shaman wearing ancient sacrificial costumes holding a bronze knife is preparing to make a sacrifice on the altar, surrounded by mysterious totems and runes, with ancient mountains and rivers and auspicious clouds in the background, the picture adopts the color ink style of traditional Chinese aesthetics, the tone is solemn and mysterious."
瘞,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学彩色水墨风格，描绘古代祭法场景，一位身着古装的祭司在进行瘞祭仪式，手持祭器，周围环绕着古老的祭祀器具和神秘的图腾符号，背景是山川与祥云，整体氛围庄重而神秘。,祭祀\祭法\瘞.png,yi（瘞）,"prompt: Traditional Chinese aesthetic color ink style, depicting ancient ritual scenes, a priest dressed in ancient costume is performing a ritual ceremony, holding a ritual vessel, surrounded by ancient sacrificial utensils and mysterious totem symbols, with mountains and auspicious clouds in the background, the overall atmosphere is solemn and mysterious."
嬰,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代祭法中的婴，身着华丽的祭祀服饰，手持祭祀用的玉器，面容庄重而神秘。背景为古代祭祀场景，四周环绕着祥云和神兽，整体风格参考古代插画和传统中国美学的彩色水墨风格。,祭祀\祭法\嬰.png,ying（嬰）,"prompt: The baby in ancient ritual is dressed in gorgeous sacrificial costumes, holding jade for sacrifice, and has a solemn and mysterious face. The background is an ancient sacrificial scene, surrounded by auspicious clouds and mythical beasts, and the overall style refers to the colorful ink style of ancient illustrations and traditional Chinese aesthetics."
祠毛,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，描绘古代祭祀场景，一位身穿古装的祭司正在祠堂前进行祭祀仪式，手持祭器，神情庄重。背景为古朴的祠堂，周围环绕着古老的树木和山石，营造出一种神秘而肃穆的氛围。画面中可以加入一些象征性的元素，如香炉、祭品等，以突出祭祀的主题。,祭祀\祭法\祠毛.png,cimao（祠毛）,"prompt: Colorful ink style of traditional Chinese aesthetics, depicting an ancient sacrificial scene, a priest in ancient costume is performing a sacrificial ceremony in front of the ancestral hall, holding a sacrificial vessel with a solemn expression. The background is a quaint ancestral hall, surrounded by ancient trees and rocks, creating a mysterious and solemn atmosphere. Some symbolic elements can be added to the picture, such as incense burners, sacrifices, etc., to highlight the theme of sacrifice."
燭,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统神话中的祭法形象燭，以古代祭祀仪式为背景，手持燃烧的蜡烛，身着古朴的长袍，面容庄重而神秘。画面采用彩色水墨风格，背景为幽暗的夜空与古老的神庙，营造出一种古老而神圣的氛围。,祭祀\祭法\燭.png,zhu（燭）,"Prompt: The ritual image candle in traditional Chinese mythology is set against the backdrop of ancient sacrificial rituals, holding a burning candle and wearing a simple robe, with a solemn and mysterious face. The painting is painted in a colorful ink style, with a dark night sky and ancient temples in the background, creating an ancient and sacred atmosphere."
齋,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代祭法仪式，斋戒的场景，一位身着古代汉服的士人正在静坐冥想，周围摆放着香炉和祭祀用具，背景是简朴的室内环境，墙上挂着古代书法作品，整体氛围庄重肃穆，采用传统中国美学的彩色水墨风格，画面细腻且富有层次感。,祭祀\祭法\齋.png,zhai（齋）,"prompt: Ancient ritual ceremony, fasting scene, a scholar dressed in ancient Hanfu is sitting quietly meditating, surrounded by incense burners and sacrificial utensils, the background is a simple indoor environment, ancient calligraphy works are hung on the wall, the overall atmosphere is solemn and solemn, using the color ink style of traditional Chinese aesthetics, the picture is delicate and layered."
禱,祭祀,祭法,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代祭祀仪式，禱，身穿华丽的祭司长袍，手持象征天地沟通的法器，站在庄严的祭坛前，周围是燃烧的香火和供奉的祭品，背景是神秘的山川和云雾缭绕的仙境，画面采用传统中国美学的彩色水墨风格，线条流畅，色彩淡雅，充满神秘而庄重的氛围。,祭祀\祭法\禱.png,dao（禱）,"Prompt: Ancient sacrificial rituals, prayers, wearing gorgeous priestly robes, holding magical instruments symbolizing the communication between heaven and earth, standing in front of the solemn altar, surrounded by burning incense and offerings, the background is mysterious mountains and rivers and cloudy fairyland, the picture adopts the color ink style of traditional Chinese aesthetics, smooth lines, elegant colors, full of mysterious and solemn atmosphere."
