名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
瀟湘之淵,地名,渊名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 瀟湘之淵，一片幽深神秘的水域，四周环绕着翠绿的山峦和茂密的竹林。水面上弥漫着淡淡的雾气，仿佛有仙灵在其中游弋。远处隐约可见古老的亭台楼阁，倒映在清澈的水面中，如同仙境一般。色彩以淡雅的水墨风格为主，融入传统中国美学，展现出一种宁静而神秘的氛围。,地名\渊名\瀟湘之淵.png,xiaoxiangzhiyuan（瀟湘之淵）,"prompt: Xiaoxiang Abyss, a deep and mysterious body of water, surrounded by verdant mountains and dense bamboo forests. The water is filled with a faint mist, as if there are fairies swimming in it. Ancient pavilions and pavilions can be faintly seen in the distance, reflected in the clear water, like a fairyland. The colors are dominated by elegant ink styles, incorporating traditional Chinese aesthetics, showing a serene and mysterious atmosphere."
䗡渊,地名,渊名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 《山海经》中的神秘深渊“䗡渊”，四周环绕着险峻的山峰，深渊中云雾缭绕，幽深莫测。画面采用传统中国美学的彩色水墨风格，山峰以淡墨勾勒，苍翠欲滴，深渊则用深蓝色渲染，给人一种神秘而庄严的感觉。深渊底部隐约可见古老的神兽和奇异的植物，增添了一丝奇幻色彩。,地名\渊名\䗡渊.png,yanyuan（䗡渊）,"prompt: The mysterious abyss ""Tuo Yuan"" in the ""Classic of Mountains and Seas"" is surrounded by steep peaks, and the abyss is shrouded in clouds and mist, unfathomable. The picture adopts the color ink style of traditional Chinese aesthetics, the peaks are outlined in light ink, verdant, and the abyss is rendered in dark blue, giving people a mysterious and solemn feeling. Ancient mythical beasts and exotic plants loom at the bottom of the abyss, adding a touch of fantasy."
從極之淵,地名,渊名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"深三百仞,維氷夷恒都焉,一曰忠極之淵,",prompt: 从极之渊，深三百仞，维冰夷恒都焉，一曰忠极之渊。画面描绘一个深邃幽暗的深渊，底部隐约可见冰夷的宫殿，四周环绕着寒冰和雾气。深渊边缘是险峻的岩石，覆盖着厚厚的冰雪。天空中飘着淡淡的云彩，阳光透过云层洒下微弱的光芒。整个画面采用传统中国美学的彩色水墨风格，色彩以冷色调为主，展现出神秘而庄严的氛围。,地名\渊名\從極之淵.png,congjizhiyuan（從極之淵）,"The abyss of the pole, three hundred fathoms deep, is the capital of the ice and the eternal capital, also known as the abyss of loyalty. The picture depicts a deep, dark abyss, with an ice palace looming at the bottom, surrounded by ice and fog. The edge of the abyss is steep rock, covered with a thick layer of ice and snow. There are faint clouds floating in the sky, and the sunlight casts a faint glow through the clouds. The whole picture adopts the color ink style of traditional Chinese aesthetics, and the colors are mainly cool tones, showing a mysterious and solemn atmosphere."
忠極之淵,地名,渊名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 忠極之淵，深邃幽暗的水潭，四周环绕着奇形怪状的山石，水面平静如镜，倒映着上方的星空。水潭中央有一块巨大的石碑，上面刻写着“忠極”二字，字体古朴苍劲。潭边生长着几株古老的松树，枝叶繁茂，仿佛守护着这片神秘之地。整个场景以传统中国水墨画风格呈现，色彩淡雅，充满神秘与宁静之美。,地名\渊名\忠極之淵.png,zhongjizhiyuan（忠極之淵）,"prompt: The Abyss of Loyalty, a deep and dark pool surrounded by strangely shaped rocks, the water surface is as calm as a mirror, reflecting the starry sky above. In the center of the pool is a huge stone monument with the word ""Zhongji"" engraved on it, and the font is simple and vigorous. There are several ancient pine trees growing by the pool, with lush branches and leaves, as if guarding this mysterious place. The whole scene is presented in the style of traditional Chinese ink painting, with elegant colors and full of mystery and tranquil beauty."
𤡆淵,地名,渊名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"四方四隅皆逹,南（淵）屬大荒,舜之所浴也,",prompt: 《山海经》中的𤡆渊，四方四隅皆通达，位于大荒之南，舜帝曾在此沐浴。画面中，碧波荡漾的湖水中央有一块巨大的奇石，周围环绕着奇异的花草和灵兽。湖面平静如镜，倒映着远处的群山和蓝天白云。湖边长满了各种奇花异草，色彩斑斓，生机勃勃。湖的四周是茂密的森林，树木高大挺拔，枝叶繁茂。天空中飘浮着几朵祥云，阳光透过云层洒在湖面上，形成一道道金光。整体风格采用传统中国美学的彩色水墨画风，色调清新淡雅，线条流畅自然，展现出神秘而宁静的古代神话氛围。,地名\渊名\𤡆淵.png,zongyuan（𤡆淵）,"prompt: The 𤡆 abyss in the ""Classic of Mountains and Seas"", accessible in all directions and corners, is located in the south of the Great Wilderness, where Emperor Shun once bathed. In the picture, there is a huge strange stone in the center of the rippling lake, surrounded by strange flowers and plants and spirit animals. The lake is as calm as a mirror, reflecting the mountains and blue sky and white clouds in the distance. The lake is full of all kinds of exotic flowers and plants, colorful and vibrant. The lake is surrounded by dense forests with tall and tall trees and lush branches. There were several auspicious clouds floating in the sky, and the sunlight sprinkled on the lake through the clouds, forming golden lights. The overall style adopts the color ink painting style of traditional Chinese aesthetics, with fresh and elegant tones, smooth and natural lines, showing a mysterious and tranquil ancient mythological atmosphere."
漳淵,地名,渊名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 漳淵，一片神秘而幽深的水域，四周环绕着古老的山峦和茂密的森林。水面上弥漫着轻柔的雾气，仿佛隐藏着无尽的秘密。在水面之下，有着奇异的生物和古老的遗迹，它们静静地守护着这片古老的土地。画面采用传统中国美学的彩色水墨风格，注重表现漳淵的宁静与神秘，以及周围自然环境的和谐共生。,地名\渊名\漳淵.png,zhangyuan（漳淵）,"Prompt: Zhangyuan, a mysterious and deep body of water, surrounded by ancient mountains and dense forests. The water is filled with a gentle mist, as if hiding endless secrets. Beneath the surface of the water, there are bizarre creatures and ancient ruins that quietly guard this ancient land. The painting adopts the color ink style of traditional Chinese aesthetics, focusing on expressing the tranquility and mystery of Zhangyuan, as well as the harmonious coexistence of the surrounding natural environment."
蒼梧之淵,地名,渊名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其中有九嶷山,",prompt: 中国传统水墨风格的苍梧之渊，画面中央是九嶷山，山峰挺拔峻峭，云雾缭绕。山脚下有清澈的溪流汇入深渊，水面上漂浮着几朵莲花。远处天边霞光万道，映照在水面和山峦之上，整个画面充满了神秘而宁静的氛围。,地名\渊名\蒼梧之淵.png,cangwuzhiyuan（蒼梧之淵）,"prompt: The abyss of Cangwu in the traditional Chinese ink style, in the center of the picture is Jiuyi Mountain, the peaks are tall and steep, and the clouds are shrouded in mist. At the foot of the mountain, a clear stream flows into the abyss, and several lotus flowers float on the water. In the distance, the sky is full of glows, reflected on the water and mountains, and the whole picture is full of mysterious and peaceful atmosphere."
沉淵,地名,渊名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"顓頊所浴,",prompt: 沉淵，颛顼所浴之渊，深邃幽暗，水色如墨，四周环绕着奇石异木。画面中，古代帝王颛顼正在清澈的水中沐浴，水面波光粼粼，反射出他庄重而威严的身影。背景是山峦起伏，云雾缭绕，展现出神秘而宁静的氛围。整体风格参考古代插画和传统中国彩色水墨画，色彩以淡雅为主，线条流畅细腻。,地名\渊名\沉淵.png,chenyuan（沉淵）,"prompt: Shen Yuan, the abyss bathed by Zhuanxu, deep and dark, the water is like ink, surrounded by strange rocks and trees. In the picture, the ancient emperor Zhuanxu is bathing in clear water, and the water surface is sparkling, reflecting his solemn and majestic figure. The background is undulating mountains and clouds and mist, showing a mysterious and serene atmosphere. The overall style refers to ancient illustrations and traditional Chinese color ink paintings, with elegant colors and smooth and delicate lines."
封淵,地名,渊名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"赤澤水,",prompt: 封淵，渊名，赤澤水。请描绘一片深邃而神秘的红色湖泊，湖水呈现出深红如血的颜色，波光粼粼，仿佛有无数秘密隐藏其中。湖边生长着奇异的红色植物，枝叶繁茂，花朵鲜艳。天空中飘浮着淡淡的红色云雾，与湖水相映成趣。整个画面采用传统中国美学的彩色水墨风格，线条流畅，色彩浓郁而富有层次感，展现出一种古老而神秘的气息。,地名\渊名\封淵.png,fengyuan（封淵）,"prompt: Feng Yuan, Yuan name, Chize water. Picture a deep and mysterious red lake with a deep red and blood-like color, shimmering as if there are countless secrets hidden in it. Exotic red plants grow around the lake, with lush branches and leaves and bright flowers. There are faint red clouds floating in the sky, which reflect the lake. The whole picture adopts the color ink style of traditional Chinese aesthetics, with smooth lines, rich and layered colors, showing an ancient and mysterious atmosphere."
甘淵,地名,渊名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 甘淵，深邃幽静的古老渊潭，四周环绕着奇异的山石与古老的树木，水面平静如镜，倒映着周围的自然景色。远处，云雾缭绕的山峰若隐若现，增添了几分神秘感。画面采用传统中国美学的彩色水墨风格，以淡雅的色彩和细腻的笔触描绘出甘淵的宁静与美丽。,地名\渊名\甘淵.png,ganyuan（甘淵）,"Prompt: Ganyuan, a deep and quiet ancient abyss, surrounded by strange rocks and ancient trees, the water surface is as calm as a mirror, reflecting the surrounding natural scenery. In the distance, misty peaks loom, adding a bit of mystery. The painting adopts the color ink style of traditional Chinese aesthetics, depicting the tranquility and beauty of Gan Yuan with elegant colors and delicate brushstrokes."
