名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
倭,地名,郡国名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"倭屬燕,",prompt: 古代倭国风景，背景为燕国属地，画面中可见典型的古代东亚建筑风格，如木质结构的房屋和石板路。远处是连绵起伏的山脉，山间云雾缭绕，近处有几棵古松，树下有几位穿着古代服饰的居民在劳作。整个画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅，展现出一种宁静和谐的氛围。,地名\郡国名\倭.png,wo（倭）,"prompt: Ancient Japanese landscape, the background is the territory of the Yan Kingdom, and typical ancient East Asian architectural styles such as wooden houses and stone pavements can be seen in the picture. In the distance are rolling mountains, clouds and mist in the mountains, and a few ancient pines nearby, and several residents in ancient costumes are working under the trees. The whole picture adopts the color ink style of traditional Chinese aesthetics, with elegant colors and smooth lines, showing a quiet and harmonious atmosphere."
吴,地名,郡国名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代吴国的山水风光，画面中展现出典型的江南水乡景色，远处是连绵起伏的青山，山间云雾缭绕；近处是一片广阔的稻田和蜿蜒的河流，河上有一座古朴的石桥，桥上有几位行人正在过桥。整个画面采用传统的中国彩色水墨风格，色彩淡雅，线条流畅，富有诗意。背景中的天空呈现出淡淡的蓝色，与水面相映成趣，营造出一种宁静而祥和的氛围。,地名\郡国名\吴.png,wu（吴）,"prompt: The landscape scenery of the ancient Wu Kingdom, the picture shows a typical Jiangnan water town scenery, with rolling green mountains in the distance and clouds and mist in the mountains; Nearby is a vast rice field and a winding river with a quaint stone bridge on which several pedestrians are crossing. The whole picture adopts the traditional Chinese color ink style, with elegant colors, smooth lines and poetry. The sky in the background is a faint blue that contrasts with the water, creating a serene and peaceful atmosphere."
無膓之國,地名,郡国名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"深目東,其爲人長而無膓,",prompt: 无肠之国，位于深目东，其人长而无肠，身体修长，面容清瘦，皮肤呈淡黄色，眼神深邃明亮。他们身穿古老的长袍，衣料轻盈飘逸，色彩以淡雅的水墨色为主，衣襟和袖口有精致的云纹图案。背景为一片神秘的东方仙境，山峦起伏，云雾缭绕，远处可见奇花异草和古木参天。整体风格参考古代插画，采用传统中国美学的彩色水墨风格，画面充满诗意与神秘感。,地名\郡国名\無膓之國.png,wuchangzhiguo（無膓之國）,"prompt: The country of intestines, located in the east of Shenmu East, its people are long and intestineless, slender, thin, pale yellow skin, and deep and bright eyes. They wore ancient robes, light and flowing fabrics, mainly elegant ink colors, and delicate moire patterns on the placket and cuffs. The background is a mysterious oriental wonderland, with undulating mountains, clouds and mist, and exotic flowers and ancient trees towering in the distance. The overall style refers to ancient illustrations, using the color ink style of traditional Chinese aesthetics, and the picture is full of poetry and mystery."
衛皐,地名,郡国名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，描绘衛皐郡国的壮丽景色，群山环绕，云雾缭绕，古木参天，河流蜿蜒穿过山谷，远处可见古老的城池和农田，人们在田间劳作，穿着古代服饰，画面中融入神话元素，如神兽麒麟在林间漫步，天空中有凤凰翱翔，整体氛围宁静而神秘。,地名\郡国名\衛皐.png,weigao（衛皐）,"prompt: The color ink style of traditional Chinese aesthetics depicts the magnificent scenery of Weihao County, surrounded by mountains, clouds and mist, towering ancient trees, rivers winding through the valley, ancient cities and farmlands can be seen in the distance, people working in the fields, wearing ancient costumes, and the picture incorporates mythological elements, such as the mythical beast unicorn walking in the forest, there is a phoenix soaring in the sky, and the overall atmosphere is quiet and mysterious."
蔿國,地名,郡国名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"黍食,使四鳥豹虎熊羆,",prompt: 古代郡国蔿國，黍食之民，与自然和谐共生，使役四鸟豹虎熊羆。画面中，一位身穿古代服饰的蔿國人站在中央，周围是四种动物：一只展翅飞翔的雄鹰、一只威猛的豹子、一只矫健的老虎和一只强壮的熊，它们都显得温顺而忠诚。背景是茂密的森林和连绵的山脉，远处有农田和村落，一片宁静祥和的景象。整体风格参考古代插画，采用彩色水墨技法，展现传统中国美学。,地名\郡国名\蔿國.png,weiguo（蔿國）,"Prompt: In ancient counties and countries, the people who ate millet coexisted harmoniously with nature, and used four birds, leopards, tigers, bears, and other animals. In the picture, a man dressed in ancient costumes stands in the center, surrounded by four animals: an eagle spreading its wings, a mighty leopard, a vigorous tiger and a strong bear, all of whom appear docile and loyal. With dense forests and rolling mountains in the background, farmland and villages in the distance, a peaceful and peaceful scene. The overall style refers to ancient illustrations, using colorful ink techniques to showcase traditional Chinese aesthetics."
巫咸國,地名,郡国名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"在女丑北,右手操青蛇,左手操赤蛇,在登葆山,",prompt：巫咸國，位于女丑之北，人物形象为右手持青蛇，左手持赤蛇，立于登葆山上。画面背景为山峦起伏，云雾缭绕，山间有古木参天，溪流潺潺。人物服饰古朴典雅，以古代巫师装扮为主，衣袂飘逸，面容庄重。色彩上采用传统中国水墨画的风格，淡雅而富有层次感，青蛇和赤蛇的颜色对比鲜明，突出神秘与力量。整体构图和谐，既有神话色彩又不失传统美学韵味。,地名\郡国名\巫咸國.png,wuxianguo（巫咸國）,"Prompt: Wuxian Kingdom, located in the north of the female ugly, the figure is holding a green snake in the right hand and a red snake in the left hand, standing on Dengbao Mountain. The background of the picture is undulating mountains, clouds and mist, ancient trees towering in the mountains, and gurgling streams. The characters are simple and elegant, mainly dressed as ancient wizards, with flowing clothes and solemn faces. The color adopts the style of traditional Chinese ink painting, which is elegant and layered, and the color contrast between the green snake and the red snake is sharp, highlighting the mystery and power. The overall composition is harmonious, both mythical and traditional."
無䏿之國,地名,郡国名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"在長股東,爲人無䏿,",prompt: 无䏿之国，位于长股国东边，居民身体没有生殖器。请描绘一个充满神秘色彩的古代中国场景，画面中的人物身着传统服饰，面容祥和，但身体特征上没有生殖器。背景为山川河流，云雾缭绕，采用彩色水墨画风格，展现出一种古老而宁静的氛围。,地名\郡国名\無䏿之國.png,wuqizhiguo（無䏿之國）,"Prompt: The country of Wu Yi, located in the east of Changgu Kingdom, has no genitals in its inhabitants. Please depict a mysterious ancient Chinese scene in which the characters are dressed in traditional costumes and have peaceful faces, but their physical characteristics are devoid of genitals. The background is mountains and rivers, shrouded in clouds and mist, in the style of colorful ink painting, showing an ancient and serene atmosphere."
沃之國,地名,郡国名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"沃民是處,爰有甘華甘祖白栁視肉三騅琁瑰瑶碧白木琅玕白丹青丹,多銀鐵,鸞鳥自歌,鳯鳥自舞,爰有百獸相羣是處,",prompt: 沃之國，沃民是處，這裡生長著甘華、甘柤、白柳和視肉樹，還有三騅、琁瑰、瑤碧、白木、琅玕、白丹、青丹等珍稀植物。此地多銀鐵礦產，鸞鳥自歌，鳳鳥自舞，百獸相群而居。請以古代插畫風格和傳統中國美學的彩色水墨風格呈現這個神秘的沃之國，展現其豐富的自然資源和祥和的生態環境。,地名\郡国名\沃之國.png,wozhiguo（沃之國）,"prompt: The country of fertility, fertile people are everywhere, where Ganhua, Ganzhi, Bailiu and Shiflesh trees grow, as well as rare plants such as Sanlu, Qigui, Yaobi, Baimu, Langxuan, Baidan, and Qingdan. There are many silver and iron minerals here, the phoenix birds sing by themselves, the phoenix birds dance by themselves, and all kinds of beasts live in groups. Please present this mysterious fertile country in the style of ancient illustration and the colorful ink style of traditional Chinese aesthetics, showcasing its rich natural resources and peaceful ecological environment."
璽㬇,地名,郡国名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"國在流沙中者,在崑崙墟東南,一曰海内之郡不爲郡縣在流沙中,",prompt: 请绘制一幅传统中国美学风格的彩色水墨画，画面中心是一座古老的城池，名为璽㬇，坐落在流沙之中。城池周围是茫茫沙漠，远处可见昆仑墟的轮廓。城池建筑古朴典雅，城墙高耸，城门紧闭。天空中飘着几朵淡淡的云彩，阳光透过云层洒在沙漠上，形成斑驳光影。整幅画面透露出一种神秘而宁静的气息，表现出璽㬇国的独特魅力。,地名\郡国名\璽㬇.png,xihuan（璽㬇）,"prompt: Please draw a colorful ink painting in the style of traditional Chinese aesthetics, in the center of the picture is an ancient city called Xi, nestled in the quicksand. The city is surrounded by a vast desert, and the outline of Kunlun Ruins can be seen in the distance. The city architecture is simple and elegant, with towering walls and closed gates. There are a few faint clouds floating in the sky, and the sunlight shines through the clouds on the desert, forming mottled light and shadow. The whole picture reveals a mysterious and serene atmosphere, showing the unique charm of the Xi Kingdom."
玄股之國,地名,郡国名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"在其（雨師妾）北,其爲人衣魚,一曰在雨師妾北,",prompt: 玄股之国，位于雨师妾之北，其人以鱼为衣。画面中展现一个神秘的国度，人们穿着由各种鱼类制成的衣物，色彩斑斓，形态各异。背景是连绵起伏的山脉和清澈的河流，天空中飘着几朵祥云，整个场景呈现出一种古朴而神秘的气息。参考古代插画风格和传统中国美学的彩色水墨风格，注重细节和氛围的营造。,地名\郡国名\玄股之國.png,xuanguzhiguo（玄股之國）,"The country of Xuangu is located to the north of the rain master's concubine, and the people there use fish as clothing. The picture shows a mysterious country, where people wear clothes made of various fish, colorful and varied. With rolling mountains and clear rivers in the background, a few auspicious clouds floating in the sky, the whole scene presents a quaint and mysterious atmosphere. Referring to the color ink style of ancient illustration style and traditional Chinese aesthetics, attention is paid to details and creating atmosphere."
