名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
桃山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt：桃山，一座传说中的神山，山上桃花盛开，四季如春。山脚下有清澈的小溪，溪水潺潺，滋养着周围的花草树木。山中云雾缭绕，仿佛仙境一般。请用彩色水墨风格描绘这座充满神秘与美丽的桃山，注重展现其自然之美和神话色彩。,地名\山名\桃山.png,taoshan（桃山）,"prompt: Taoshan, a legendary sacred mountain, peach blossoms bloom on the mountain, and the four seasons are like spring. At the foot of the mountain, there is a clear stream that gurgles and nourishes the surrounding flowers and trees. The mountains are shrouded in clouds and mist, like a fairyland. Please depict this mysterious and beautiful peach mountain in a colorful ink style, focusing on its natural beauty and mythical colors."
太山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"有草焉,太水出于其陽,承水出于其隂,",prompt: 《山海经》中的太山，山上生长着各种奇异的草木，画面中可见太水从山的阳面流淌而出，承水则从山的阴面涌出。整体风格参考古代插画和传统中国美学的彩色水墨风格，展现出山水间的神秘与壮丽。,地名\山名\太山.png,taishan（太山）,"prompt: Mount Tai in the ""Classic of Mountains and Seas"", there are various strange plants and trees growing on the mountain, and it can be seen in the picture that Taishui flows out from the sunny side of the mountain, and Chengshui gushes out from the dark side of the mountain. The overall style refers to the color ink style of ancient illustrations and traditional Chinese aesthetics, showing the mystery and magnificence between the mountains and rivers."
太室,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 太室山，雄伟壮丽的山脉，云雾缭绕，山峰挺拔，古木参天。山间溪流潺潺，瀑布飞泻而下，山脚下有古老的庙宇和石阶，充满神秘与庄严的气息。采用古代插画风格，传统中国美学的彩色水墨风格，展现出太室山的自然美景与人文景观。,地名\山名\太室.png,taishi（太室）,"prompt: Taishi Mountain, a majestic and magnificent mountain range, shrouded in clouds and mist, with tall peaks and towering ancient trees. The mountain streams are gurgling, waterfalls are cascading, and there are ancient temples and stone steps at the foot of the mountain, full of mystery and solemnity. It adopts the ancient illustration style and the color ink style of traditional Chinese aesthetics, showing the natural beauty and cultural landscape of Taishi Mountain."
湯山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统彩色水墨风格，汤山，云雾缭绕的山脉，山间有古木参天，溪流潺潺，远处是层峦叠嶂，近处是野花烂漫，山脚下有几间茅屋，炊烟袅袅升起，整个画面充满宁静和谐之美，仿佛置身于古代山水画中。,地名\山名\湯山.png,tangshan（湯山）,"prompt: Traditional Chinese color ink style, Tangshan, misty mountains, ancient trees towering in the mountains, gurgling streams, layers of mountains in the distance, wildflowers nearby, several thatched huts at the foot of the mountain, cooking smoke rising, the whole picture is full of tranquility and harmony, as if in an ancient landscape painting."
苕山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古典中国山水画风格，苕山，群峰连绵，云雾缭绕，山间溪流潺潺，古木参天，山脚下有几处简朴的茅屋，远处可见蜿蜒的小径通向山顶，画面色彩以淡雅的水墨为主，点缀着淡淡的绿色和蓝色，营造出一种宁静而神秘的氛围。,地名\山名\苕山.png,shaoshan（苕山）,"prompt: Classical Chinese landscape painting style, Tiao Mountain, continuous peaks, clouds and mist, mountain streams gurgling, ancient trees towering, there are several simple thatched huts at the foot of the mountain, winding paths leading to the top of the mountain can be seen in the distance, the color of the picture is mainly elegant ink, dotted with light green and blue, creating a peaceful and mysterious atmosphere."
橐山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其木多樗多〓木,其陽多金玉其隂多鐵多蕭,橐水出焉,",prompt: 橐山，山中树木多为樗树和〓木，山的阳面金玉丰富，阴面铁矿和萧草茂盛，橐水从山中流出。画面采用传统中国美学的彩色水墨风格，展现山峦起伏，树木葱郁，阳光照耀下金光闪烁，阴面则呈现深沉的铁灰色调，溪流潺潺，充满自然和谐之美。,地名\山名\橐山.png,tuoshan（橐山）,"prompt: Tuoshan, the trees in the mountains are mostly chu trees and 〓 trees, the sunny side of the mountain is rich in gold and jade, the dark side of iron ore and grass are lush, and the Tuoshui flows out of the mountain. The picture adopts the color ink style of traditional Chinese aesthetics, showing the undulating mountains, lush trees, golden light shimmering in the sunlight, and the dark side showing a deep iron-gray tone, and the stream gurgling, full of natural harmony."
太山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"上多金玉楨木,有獸焉,鈎水出焉,","prompt: 太山，上多金玉楨木, 有獸焉, 鈎水出焉, 山势雄伟险峻，山体被茂密的楨木覆盖，树木间点缀着金色和玉色的矿石，显得格外耀眼。山中栖息着奇异的野兽，它们或隐匿于林间，或在溪流边饮水。一条清澈的河流从山中蜿蜒流出，河水清澈见底，河岸两侧长满了各种奇花异草，整个画面充满了神秘而宁静的气息。参考古代插画风格和传统中国美学的彩色水墨风格。",地名\山名\太山.png,taishan（太山）,"Prompt: Taishan, there are many gold and jade zhen trees, there are beasts, hook water comes out, the mountain is majestic and steep, the mountain is covered with dense fir wood, and the trees are dotted with golden and jade ores, which is particularly dazzling. The mountains are inhabited by exotic beasts that either hide in the woods or drink from streams. A clear river meanders out of the mountains, the river water is crystal clear, and the banks are covered with all kinds of exotic flowers and plants, and the whole picture is full of mystery and tranquility. The color ink style with reference to ancient illustration styles and traditional Chinese aesthetics."
泰山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上多玉,其下多金,有獸焉,環水出焉,","prompt: 泰山，其上多玉,其下多金,有獸焉,環水出焉,古代插画风格,传统中国美学,彩色水墨,山峰巍峨,玉石点缀山顶,金色矿脉遍布山脚,神秘野兽隐现于山林之间,环形水流环绕山体,云雾缭绕,古木参天,山石嶙峋,色彩丰富而和谐,充满神话气息",地名\山名\泰山.png,taishan（泰山）,"prompt: Mount Tai, there is a lot of jade on it, a lot of gold below, there are beasts, and the water comes out, ancient illustration style, traditional Chinese aesthetics, colorful ink, majestic peaks, jade dots on the top of the mountain, golden veins all over the foot of the mountain, mysterious beasts appear between the mountains and forests, the circular water flow surrounds the mountain, the clouds and mist, the ancient trees are towering, the mountains are rugged, the colors are rich and harmonious, and the atmosphere is full of mythology"
銅山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上多金銀鐵,其木多榖柞柤粟橘櫾,其獸多犳,",prompt: 一座名为铜山的山脉，山上富含金银铁矿，树木以榖、柞、柤、粟、橘、櫾为主，山中野兽多为犳。画面采用传统中国美学的彩色水墨风格，山峦起伏，金黄色的阳光洒在矿石上闪烁着光芒，山谷间绿树成荫，果实累累，几只犳在林间穿梭，展现出一幅生机勃勃的自然景象。,地名\山名\銅山.png,tongshan（銅山）,"prompt: A mountain range called Tongshan, the mountain is rich in gold, silver and iron ore, the trees are mainly millet, oak, oak, millet, orange, and oak, and most of the beasts in the mountains are armadillos. The picture adopts the color ink style of traditional Chinese aesthetics, the mountains are undulating, the golden sun shines on the ore, the valley is shaded by green trees, the fruits are abundant, and several armadillos shuttle through the forest, showing a vibrant natural scene."
題首之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"有玉焉,多石,無水,",prompt: 题首之山，一座古老而神秘的山脉，山中蕴藏着丰富的玉石资源，山石嶙峋，形态各异，但山上却无水源。请以古代插画风格和传统中国美学的彩色水墨风格描绘这座山，画面中要突出玉石的光泽和石头的质感，同时表现出一种荒凉而宁静的氛围。背景可以是淡淡的云雾缭绕，增添一丝神秘感。,地名\山名\題首之山.png,tishouzhishan（題首之山）,"prompt: The mountain of the title, an ancient and mysterious mountain range, contains rich jade resources in the mountain, the mountains are rugged, and the shapes are different, but there is no water source on the mountain. Depict the mountain in the style of ancient illustration and traditional Chinese aesthetics, highlighting the luster of the jade and the texture of the stone, while showing a desolate and serene atmosphere. The background can be a faint cloud haze, adding a touch of mystery."
泰室之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上有木焉,有草焉,上多美石,",prompt: 泰室之山，山上树木繁茂，草丛葱郁，遍布美丽的石头，采用古代插画风格和传统中国美学的彩色水墨风格描绘，展现其自然之美。,地名\山名\泰室之山.png,taishizhishan（泰室之山）,"Prompt: The mountain of Taishi is lush with trees, lush grass, and beautiful stones, depicted in the style of ancient illustration and traditional Chinese aesthetics, showing its natural beauty."
天臺髙山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"海水入焉,",prompt: 一座巍峨的高山矗立在海边，山势险峻，云雾缭绕。海水从远处涌来，拍打着山脚下的岩石，形成壮观的海浪。山体覆盖着茂密的森林，古木参天，奇花异草点缀其间。山顶隐约可见古老的庙宇，烟雾袅袅升起，增添了几分神秘气息。整幅画面采用传统中国彩色水墨风格，注重意境和气韵生动，展现出天臺髙山与大海相接的壮丽景象。,地名\山名\天臺髙山.png,tiantaigaoshan（天臺髙山）,"Prompt: A majestic mountain stands on the seashore, steep and shrouded in clouds and mist. The sea water rushes in from afar, crashing against the rocks at the foot of the mountain, creating spectacular waves. The mountain is covered with dense forests, towering ancient trees and exotic flowers and plants. Ancient temples can be faintly seen on the top of the mountain, and smoke rises, adding a bit of mystery. The entire painting adopts the traditional Chinese color ink style, focusing on artistic conception and vivid charm, showing the magnificent scene of Tiantai Takayama connecting with the sea."
陶唐之丘,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"有九丘以水絡之,",prompt: 陶唐之丘，九座山丘被清澈的水流环绕，山丘上树木葱郁，山脚下溪流潺潺，远处群山若隐若现。画面采用传统中国彩色水墨风格，笔触细腻，色彩淡雅，展现出一幅宁静而神秘的山水画卷。,地名\山名\陶唐之丘.png,taotangzhiqiu（陶唐之丘）,"prompt: Taotang Hill, nine hills are surrounded by clear water, the trees on the hills are lush, the streams at the foot of the mountains are gurgling, and the mountains are looming in the distance. The picture adopts the traditional Chinese color ink style, with delicate brushstrokes and elegant colors, showing a quiet and mysterious landscape painting."
堂庭之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"多棪木,多白猿,多水玉,多黄金,",prompt: 一座名为堂庭之山的神秘山脉，山中生长着繁茂的棪木，树干粗壮，枝叶繁盛。山间栖息着众多白猿，它们在林间跳跃嬉戏，姿态优雅。山脚下流淌着清澈见底的小溪，溪水中闪烁着水玉的光芒，犹如繁星点点。山体内部蕴藏着丰富的黄金矿藏，金光闪闪。整幅画面采用传统中国彩色水墨风格绘制，色彩淡雅，线条流畅，展现出一种宁静而神秘的氛围。,地名\山名\堂庭之山.png,tangtingzhishan（堂庭之山）,"prompt: A mysterious mountain range called Tangting Mountain, where lush oak trees grow, with thick trunks and lush branches and leaves. There are many white apes living in the mountains, and they jump and play in the forest with elegant postures. At the foot of the mountain flows a crystal clear stream, and the stream shimmers with the light of water jade, like stars. The inside of the mountain is rich in gold deposits, shining with gold. The whole picture is painted in the style of traditional Chinese color ink, with elegant colors and smooth lines, showing a serene and mysterious atmosphere."
泰頭之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"共水出焉,其上多金玉,其下多竹箭,",prompt: 泰頭之山，山势雄伟，云雾缭绕，共水从山中流出，清澈见底。山上遍地金矿和玉石，闪耀着诱人的光芒。山脚下生长着茂密的竹林，竹子挺拔修长，犹如箭矢一般直指天空。整幅画面采用传统中国彩色水墨风格，展现出一种宁静而神秘的美感。,地名\山名\泰頭之山.png,taitouzhishan（泰頭之山）,"prompt: Taitou Mountain, the mountain is majestic, clouds and mist, and the water flows out of the mountain, crystal clear. The mountains are full of gold mines and jade, shining with an attractive light. At the foot of the mountain grows a dense bamboo forest, which is tall and slender, pointing straight into the sky like an arrow. The entire picture adopts the traditional Chinese color ink style, showing a serene and mysterious beauty."
泰威之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其中有谷,",prompt: 泰威之山，山势雄伟，云雾缭绕，山中有一幽深的山谷，谷中草木葱茏，溪流潺潺，奇花异草遍布，色彩斑斓。山峰间有古松挺立，苍翠欲滴，远处山峦若隐若现，宛如仙境。整幅画面采用传统中国美学的彩色水墨风格，笔触细腻，色彩淡雅，展现出泰威之山的神秘与壮丽。,地名\山名\泰威之山.png,taiweizhishan（泰威之山）,"prompt: Taiwei Mountain, the mountain is majestic, clouds and mist, there is a deep valley in the mountain, the valley is lush with vegetation, the stream is gurgling, the flowers and plants are all over the place, and the colors are colorful. There are ancient pines standing tall between the peaks, green and dripping, and the mountains in the distance are looming, like a fairyland. The whole picture adopts the color ink style of traditional Chinese aesthetics, with delicate brushstrokes and elegant colors, showing the mystery and magnificence of Taiwei Mountain."
天息山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学彩色水墨风格，天息山，雄伟壮丽的山脉，云雾缭绕，山峰直插云霄，山间有古木参天，瀑布飞流直下，山脚下有小溪潺潺，远处是层峦叠嶂的群山，天空中有仙鹤飞翔，山中隐约可见古代道观和亭台楼阁，整幅画面充满神秘与宁静的气息。,地名\山名\天息山.png,tianxishan（天息山）,"prompt: Traditional Chinese aesthetic color ink style, Tianxi Mountain, majestic and magnificent mountains, clouds and mist, peaks straight into the sky, ancient trees towering in the mountains, waterfalls flying down, streams at the foot of the mountains, mountains in the distance, cranes flying in the sky, ancient Taoist temples and pavilions in the mountains, the whole picture is full of mystery and tranquility."
