名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
棠水,地名,水名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古典中国风格的彩色水墨画，描绘一条蜿蜒流淌的河流，名为棠水。河水清澈见底，两岸长满了盛开的海棠花树，花瓣随风轻轻飘落于水面，形成一幅生动美丽的画卷。远处山峦起伏，云雾缭绕，增添了几分神秘与宁静之美。整幅画面充满了诗意和自然和谐之感。,地名\水名\棠水.png,tangshui（棠水）,
太水,地名,水名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"東南流注于没水,",prompt: 东南流向的太水，最终汇入没水之中，画面展现一条蜿蜒曲折、清澈见底的河流，河岸两旁是茂密的古树和奇花异草，远处山峦起伏，云雾缭绕，整体采用传统中国水墨画风格，色彩淡雅，线条流畅。,地名\水名\太水.png,taishui（太水）,
湍水,地名,水名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"東流注于濟,",prompt: 湍水，一条古老的河流，东流注入济水。画面中，湍水蜿蜒流淌，水面波光粼粼，两岸绿树成荫，山峦起伏。远处，古代的村落和农田依稀可见。整个画面采用传统中国彩色水墨风格，展现出一种宁静而古朴的美感。,地名\水名\湍水.png,tuanshui（湍水）,
苕水,地名,水名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"北流注于具區,其中多鮆魚,",prompt: 苕水，一条北流注入具区的河流，河中多鮆鱼。请以传统中国美学的彩色水墨风格描绘这条河流，画面中应有清澈的水流自南向北流淌，最终汇入具区。河岸两侧是茂密的树木和花草，远处可见连绵的山峦。水中游弋着许多鮆鱼，它们或跃出水面，或在水中嬉戏。整个画面要展现出一种宁静而生动的自然景象，色彩上以淡雅为主，注重留白与意境的表现。,地名\水名\苕水.png,shaoshui（苕水）,
湯水,地名,水名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨画风格，描绘一条蜿蜒流淌的河流，名为汤水，河水清澈见底，河岸两侧是郁郁葱葱的树木和奇石，远处山峦起伏，云雾缭绕，画面中点缀着几只飞鸟，增添生机与灵动，整体色彩以淡雅为主，展现出自然和谐之美。,地名\水名\湯水.png,tangshui（湯水）,
塗水,地名,水名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"南流注于集獲之水,",prompt: 中国传统彩色水墨风格，描绘一条蜿蜒南流的河流，名为塗水，河水清澈见底，两岸绿树成荫，远处山峦起伏。河岸上可见古代村落和农田，人们在河边洗衣、捕鱼，展现出宁静祥和的田园风光。河流最终汇入集獲之水，形成宽阔的水面，水面上有几只小船在悠然行驶。画面中融入古代插画风格，细节丰富，色彩柔和，充满诗意。,地名\水名\塗水.png,tushui（塗水）,
橐水,地名,水名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"北流注于河,其中多脩辟之魚,",prompt: 橐水，北流注于河，其中多脩辟之鱼。画面中，橐水蜿蜒流淌，清澈见底，两岸山石嶙峋，古木参天。水中游弋着一种名为脩辟的奇特鱼类，它们体型修长，鳞片闪烁着金属般的光泽，鳍尾犹如丝带般飘逸。背景是远山和云雾缭绕的景象，整个画面采用传统中国水墨画风格，色彩淡雅，线条流畅，展现出一幅宁静而神秘的自然景观。,地名\水名\橐水.png,tuoshui（橐水）,
苕水,地名,水名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"西流注于海,其中多砥礪,",prompt: 苕水，一条西流注入大海的古老河流，河中多砥礪。画面以传统中国美学的彩色水墨风格呈现，河流蜿蜒曲折，两岸山峦起伏，古木参天，河中可见形态各异的砥礪石块，色彩斑斓，充满神秘感。远处海天一色，云雾缭绕，营造出一种宁静而深远的氛围。,地名\水名\苕水.png,shaoshui（苕水）,
涂吾之水,地名,水名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨画风格，涂吾之水，清澈见底的溪流蜿蜒于山间，两岸是茂密的古木和奇花异草，远处山峦起伏，云雾缭绕，水中倒映着蓝天白云和山峰，画面中还点缀着几只悠闲游弋的仙鹤，整个场景充满神秘与宁静之美。,地名\水名\涂吾之水.png,tuwuzhishui（涂吾之水）,
渭,地名,水名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 渭河，古代中国的重要河流，流淌在关中平原上，滋养着两岸的土地。请绘制一幅渭河的景象，画面中可以看到蜿蜒曲折的河流穿越肥沃的农田和古老的村庄，远处是连绵起伏的山脉。采用传统中国美学的彩色水墨风格，注重表现自然景观的和谐与宁静，同时体现渭河流域丰富的历史文化和生活气息。,地名\水名\渭.png,wei（渭）,
鮪水,地名,水名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一条名为鮪水的古老河流，河水清澈见底，两岸长满了茂密的竹林和各种奇花异草。远处山峦起伏，云雾缭绕，仿佛是通往神秘世界的门户。河中偶尔可见几尾色彩斑斓的鱼儿游过，增添了几分生机与灵动。整个画面采用传统中国彩色水墨风格，注重意境与气韵的表现。,地名\水名\鮪水.png,weishui（鮪水）,
温水,地名,水名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"出崆峒,",prompt: 温水，出自崆峒山，清澈见底，流水潺潺，周围是茂密的森林和奇石，阳光透过树梢洒在水面上，形成斑驳的光影，远处山峦起伏，云雾缭绕，画面充满宁静与神秘感，采用传统中国美学的彩色水墨风格。,地名\水名\温水.png,wenshui（温水）,
洧水,地名,水名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"東流注于河,其中有鱯黽,",prompt: 东流注于河的洧水，清澈见底，两岸山峦起伏，绿树成荫。水中游动着鱯黽，一种神秘的鱼形生物，身体覆盖着五彩斑斓的鳞片，在阳光下闪烁着光芒。画面采用彩色水墨风格，细腻描绘出古代神话中的景象，远处群山若隐若现，近处水波荡漾，营造出宁静而神秘的氛围。,地名\水名\洧水.png,weishui（洧水）,
