名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path
九辯,乐舞,乐名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一幅描绘古代乐器九辯的彩色水墨画，画面中九辯琴身修长优雅，琴弦清晰可见，琴头雕刻着精美的凤凰图案，背景为淡雅的山水景色，整个画面充满古典韵味和神秘气息。,乐舞\乐名\九辯.png
九歌,乐舞,乐名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 九歌，乐名，古代楚国祭祀神灵的乐曲，画面中展现一群身着华丽古装的乐师正在演奏，背景是神秘而庄严的楚国宫殿，乐师们手持各种传统乐器如瑟、笙、箫等，音乐悠扬飘渺，仿佛能沟通天地神灵。整体画面采用中国传统彩色水墨风格，色彩丰富而不失雅致，线条流畅细腻，展现出浓厚的古典美学气息。,乐舞\乐名\九歌.png
九招,乐舞,乐名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 乐名九招，古代神话中的音乐之神，身着华丽古装，手持古琴，面容祥和，周围环绕着五彩斑斓的音符与云雾，背景为远山近水，充满诗意的中国传统水墨画风格，色彩丰富而柔和，展现出一种宁静和谐之美。,乐舞\乐名\九招.png
樂風,乐舞,乐名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 乐风，古代音乐之神，身着华丽的古装长袍，手持玉笛，面容慈祥，周围环绕着五彩斑斓的音符和飞舞的凤凰，背景是飘渺的云雾和远处的山峦，整体风格为传统中国彩色水墨画。,乐舞\乐名\樂風.png
梧,乐舞,乐器,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统乐器梧，形似古琴，但更小巧精致，琴身由千年梧桐木制成，通体呈深棕色，表面有细腻的纹理。琴头雕刻着精美的凤凰图案，象征着吉祥和高雅。琴弦为七根，采用优质丝线制作，音色清亮悠扬。背景为古典山水画风格，山峦起伏，云雾缭绕，营造出一种宁静而深远的意境。整体画面采用彩色水墨风格，既有传统中国美学的韵味，又不失现代艺术的美感。,乐舞\乐器\梧.png
鍾,乐舞,乐器,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统乐器钟，造型古朴典雅，表面雕刻着精美的山海经神兽图案，如夔龙、凤凰等，色彩采用传统水墨风格，以淡雅的青绿和朱红为主色调，背景为飘渺的云雾和远山，整体画面充满神秘而庄严的氛围。,乐舞\乐器\鍾.png
磬,乐舞,乐器,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统乐器磬，石质材料，形状为扁平长方形，表面光滑细腻，边缘略带弧度。磬体上雕刻有精细的云纹和龙凤图案，色彩以淡雅的青灰色为主，点缀以金色线条，展现出古朴典雅的风格。背景为中国古代宫廷音乐场景，乐师们身着华丽的汉服，手持各种传统乐器演奏，画面充满庄重而和谐的氛围。整体风格参考中国古代插画和彩色水墨画，注重细节描绘和色彩层次感。,乐舞\乐器\磬.png
琴,乐舞,乐器,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统乐器古琴，背景为山川湖海，琴身以黑漆为主，镶嵌有金色云纹，琴弦清晰可见，画面采用彩色水墨风格，充满诗意与古典美感。,乐舞\乐器\琴.png
瑟,乐舞,乐器,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统乐器瑟，古朴典雅，琴身以紫檀木制成，琴面上绘有细腻的云龙纹饰，琴弦由丝线制成，呈现出柔和的光泽。背景为淡雅的水墨山水，琴旁摆放着一卷古籍和一盏青花瓷茶杯，营造出浓厚的文化氛围。整体画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅。,乐舞\乐器\瑟.png
儛,乐舞,舞名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统舞蹈《儛》，舞者身着华丽的古代服饰，长袖飘逸，手持彩带，背景为古色古香的宫殿，色彩以淡雅的水墨风格为主，舞姿优美动人，充满古典韵味。,乐舞\舞名\儛.png
二人儛,乐舞,舞名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 二人儛，古代舞蹈名，两名舞者身着华丽的传统服饰，长袖飘逸，手持彩绸，动作优雅而富有节奏感，背景为古典园林，花木扶疏，亭台楼阁若隐若现，画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅。,乐舞\舞名\二人儛.png
干儛,乐舞,舞名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 干儛，古代舞蹈名，舞者身着华丽古装，手持长袖翩翩起舞，背景为远古时期的山水画卷，采用传统中国美学的彩色水墨风格，画面中点缀着奇花异草和珍禽异兽，展现出神秘而优雅的氛围。,乐舞\舞名\干儛.png
九代,乐舞,舞名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 九代舞，古代神话中的神秘舞蹈，舞者身着华丽的传统服饰，动作优雅而富有韵律感，背景为古典山水画风格的自然景色，色彩以淡雅的水墨色调为主，辅以金色和红色点缀，展现出一种庄重而又充满活力的氛围。,乐舞\舞名\九代.png
璆冕舞,乐舞,舞名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 璆冕舞，一种古代宫廷舞蹈，舞者身着华丽的服饰，头戴玉冠，手持长绸，舞姿优雅而庄重。背景为古色古香的宫殿，装饰有精美的壁画和雕刻，色彩以淡雅的水墨风格为主，辅以金色线条勾勒，展现出浓郁的中国古典美学。舞者动作流畅，长绸随风飘扬，仿佛在空中绘制出一幅幅优美的画卷。,乐舞\舞名\璆冕舞.png
天虞,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"有人反臂,",prompt: 一位名叫天虞的人，他拥有奇特的外貌特征，最显著的是他的双臂是反向生长的，仿佛是从背后伸展到前方。他的面容平静而神秘，眼神中透露出深邃的智慧。穿着古代的长袍，色彩以淡雅的青色和白色为主，衣袂飘逸，如同云雾缭绕。背景是一片古老而宁静的山林，树木苍翠，溪流潺潺，远处有几座巍峨的山峰若隐若现。整个画面采用传统的中国水墨画风格，色彩柔和，线条流畅，展现出一种超凡脱俗的意境。,人物\人名\天虞.png
聽訞,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"炎帝之妻赤水之子聽訞生炎居,",prompt：炎帝之妻聽訞，身着华丽的古装，衣袂飘逸，面容端庄美丽。她站在赤水河畔，身后是远古时代的山水背景，天空中飘着祥云。身旁有象征吉祥的凤凰盘旋，展现出她的高贵与神圣。画面采用传统中国美学的彩色水墨风格，线条流畅，色彩淡雅，充满神秘而庄严的气息。,人物\人名\聽訞.png
太子長琴,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"祝融生太子長琴,是處榣山,始作樂風,",prompt: 太子长琴，祝融之子，居于榣山，始创音乐与风雅，形象为一俊美青年，身着古代华服，手持古琴，周围环绕着象征音乐的音符与自然界的和谐元素，背景是云雾缭绕、仙气飘渺的榣山，整体风格参考古代插画与传统中国彩色水墨画。,人物\人名\太子長琴.png
危,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"貳負之臣,危與貳負殺窫窳,帝乃梏之䟽屬之山,桎其右足,反縳两手與髮,繫之山上木,在開題西北,",prompt: 一个古代神话人物，名为危，他是貳負之臣。画面中，危被束缚在疏属之山上，右脚被桎梏，双手反绑，头发也被捆绑在一起，固定在一棵树上。背景是荒凉的山景，远处可以看到开题西北的方向。整体风格采用传统中国美学的彩色水墨画风，注重线条与色彩的和谐，表现出一种神秘而古老的氛围。,人物\人名\危.png
巫,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一位身着古老巫师长袍的神秘人物，头戴羽冠，手持法杖，法杖上雕刻有奇异的图腾。背景是幽暗的森林，月光透过树梢洒下斑驳光影。画面采用传统中国美学的彩色水墨风格，巫师的眼神深邃而神秘，仿佛能洞察人心。,人物\人名\巫.png
（鬼國）物,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"人靣,一目,",prompt: 人面一目的鬼国人物，面部特征独特，只有一只眼睛位于额头中央，表情神秘莫测。身着古朴的长袍，袍上绣有古老的符文和图腾，色彩以深蓝和黑色为主，透露出一种幽暗而神秘的气息。背景为一片荒凉的山野，远处隐约可见一座废弃的古城，天空中弥漫着淡淡的雾气，增添了一种诡异而迷离的氛围。整体风格参考古代插画，采用传统中国美学的彩色水墨技法绘制。,人物\人名\（鬼國）物.png
巫抵,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt：巫抵，古代神话中的巫师形象，身着古朴的长袍，手持法杖，面容严肃而神秘。背景为远古时期的山林，周围环绕着奇异的草木和古老的图腾柱，天空中飘浮着祥云，整体呈现出一种古老而庄重的氛围。画面采用传统中国美学的彩色水墨风格，线条流畅，色彩淡雅，富有诗意。,人物\人名\巫抵.png
巫抵,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"開明東,夾窫窳之尸,皆操不死之藥以距之,",prompt: 巫抵，一位神秘的古代巫师，位于开明之东，守护着窫窳的尸体。他手持不死之药，以抵御一切邪恶势力。画面中，巫抵身着古朴长袍，面容庄重，手中握着一瓶闪耀着微光的不死之药。背景是古老的山川和神秘的云雾，整体风格采用传统中国彩色水墨画风，展现出一种神秘而庄严的氛围。,人物\人名\巫抵.png
巫臷民,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"盼姓,食榖,不績不經服也,不稼不穡食也,",prompt: 巫臷民，盼姓，食榖，不績不經服也，不稼不穡食也。形象为古代神话中的部落人民，身穿简朴的自然纤维衣物，无需纺织，食物来自自然谷物，无需耕种。画面以传统中国美学的彩色水墨风格呈现，背景是茂密的山林和清澈的溪流，巫臷民在自然中和谐生活，展现出与世无争、自给自足的生活状态。,人物\人名\巫臷民.png
巫凡,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"開明東,夾窫窳之尸,皆操不死之藥以距之,",prompt: 巫凡，一位神秘的古代巫师，站在开明东的方向，身旁夹着窫窳之尸。他手持不死之药，准备抵御即将到来的威胁。画面中，巫凡身着古朴的长袍，面容严肃而庄重。背景是幽暗的山林和古老的石碑，展现出一种神秘而庄严的氛围。整体风格参考古代插画和传统中国美学的彩色水墨风格。,人物\人名\巫凡.png
巫姑,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt：巫姑，古代神话中的女巫形象，身着古朴的长袍，头戴精致的银饰，手持法杖，面容神秘而庄重。她站在古老的祭坛前，周围环绕着飘渺的雾气和闪烁的星辰，背景是幽暗的山林和古老的神庙。画面采用传统中国美学的彩色水墨风格，色彩以深蓝、墨绿和金色为主，展现出一种神秘而庄严的氛围。,人物\人名\巫姑.png
無骨,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一个名为無骨的人物，身体轻盈如同云雾，面容清秀，长发飘逸，穿着淡雅的长袍，仿佛可以随风而动。背景是山海经中的奇幻山水，画面采用传统中国美学的彩色水墨风格，色调柔和，充满神秘与诗意。,人物\人名\無骨.png
呉回,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"竒左,是無右臂,",prompt: 呉回，古代神话人物，无右臂，左臂异常强壮，身穿古朴的长袍，头戴冠冕，面容威严，背景为山海经中的奇幻山水，整体风格参考古代插画和传统中国美学的彩色水墨风格。,人物\人名\呉回.png
王亥,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"兩手操鳥,方食其（鳥）頭,王亥託于有易河伯僕牛,有易殺王亥取僕牛,",prompt: 王亥两手各持一只鸟，正在吃其中一只鸟的头，背景为有易河畔，王亥身旁有一群牛，远处有易族人正悄悄接近，准备袭击王亥。画面采用古代插画风格，以传统中国美学的彩色水墨表现，色彩古朴典雅，线条流畅细腻。,人物\人名\王亥.png
巫即,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 巫即，一位神秘的古代巫师，身穿华丽的长袍，手持法杖，站在古老的祭坛前。他的面容庄重而深邃，眼神中透露着智慧与力量。背景是幽暗的森林和古老的神庙，月光洒在他的身上，增添了一丝神秘的气息。画面采用传统中国美学的彩色水墨风格，线条流畅，色彩柔和而富有层次感。,人物\人名\巫即.png
巫禮,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一位古代巫師，名為巫禮，身穿傳統的長袍，頭戴精美的玉冠，手持一根雕刻著神秘符文的法杖。背景是遠古的祭祀場景，周圍擺放著青銅器和玉器，整體風格參考古代插畫和傳統中國彩色水墨風格。,人物\人名\巫禮.png
巫羅,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代巫师巫羅，身着华丽的长袍，手持法杖，站在神秘的祭坛前，周围环绕着烟雾和符咒，背景是古老的山林，画面采用传统中国美学的彩色水墨风格，展现出一种神秘而庄严的氛围。,人物\人名\巫羅.png
巫履,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"開明東,夾窫窳之尸,皆操不死之藥以距之,",prompt: 巫履，开明东，夹窫窳之尸，皆操不死之药以距之，古代神话人物，身着古朴的巫师长袍，手持不死之药，面容严肃而神秘，背景为山海经中的幽暗森林，传统中国美学的彩色水墨风格，画面充满神秘与古老的气息。,人物\人名\巫履.png
沃民,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"是處沃之野,鳯鳥之夘是食,甘露是飲,凡其所欲其味盡存,",prompt: 沃民，身处沃之野，凤鸟在其旁翩翩起舞，他以甘露为饮，四周果实累累，凡其所欲其味尽存，画面采用古代插画风格和传统中国美学的彩色水墨风格，背景是茂密的森林与清澈的溪流，沃民身着古朴服饰，面容祥和，周围环绕着各种奇花异草，展现出一种宁静和谐的自然景象。,人物\人名\沃民.png
巫盼,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代巫师巫盼，身着传统巫觋服饰，手持法杖，法杖上缠绕着神秘的符文和藤蔓，周围环绕着淡淡的烟雾。他站在山巅之上，背景是远古时期的山水，天空中飘浮着祥云，色彩以淡雅的水墨风格为主，融合了古代插画的细腻线条和传统中国美学的意境。,人物\人名\巫盼.png
巫彭,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt：巫彭，上古时期著名医师，身着古老长袍，手持药草与法杖，面容慈祥而智慧。背景为远古山林，云雾缭绕，充满神秘气息。画面采用传统中国彩色水墨风格，线条流畅，色彩淡雅，展现出浓厚的古典美学。,人物\人名\巫彭.png
巫彭,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"開明東,夾窫窳之尸,皆操不死之藥以距之,",prompt: 巫彭，开明东，夹窫窳之尸，皆操不死之药以距之。巫彭身穿古代巫师的长袍，头戴高冠，手持不死之药，站在开明东的位置，身旁是被夹持的窫窳之尸。背景为古老神秘的山海经世界，画面采用传统中国美学的彩色水墨风格，色彩古朴而深邃，充满神话气息。,人物\人名\巫彭.png
吴權,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"伯陵同吴權之妻阿女縁婦,",prompt: 伯陵同吴權之妻阿女縁婦，古代中国风格，彩色水墨画，吴權身穿华丽的古代服饰，头戴冠冕，面容英俊，眼神坚定，站在庭院中，背景是古典园林，旁边是他的妻子阿女縁婦，她穿着精致的汉服，长发披肩，温婉贤淑，两人手牵手，画面充满和谐与爱意，细节丰富，色彩淡雅，展现出传统中国美学。,人物\人名\吴權.png
文王,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一位智慧而仁慈的君主，身穿华丽的古代王袍，头戴冠冕，手持玉圭，面容慈祥，眼神中透露出深邃的智慧。背景是周朝宫殿，古朴典雅，四周有侍从恭敬地站立。画面采用传统中国美学的彩色水墨风格，线条流畅，色彩淡雅，展现出文王的威严与仁德。,人物\人名\文王.png
巫咸,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt：巫咸，古代传说中的神医和占卜师，身着古朴长袍，手持一根灵蛇缠绕的木杖，面容慈祥而智慧。背景为云雾缭绕的山林，色彩以淡雅的水墨风格为主，点缀以金色和翠绿，展现出神秘而庄严的氛围。,人物\人名\巫咸.png
巫謝,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一位名为巫謝的古代巫师，身着华丽的长袍，手持法杖，头戴羽冠，站在古老的祭坛旁，周围环绕着神秘的符文和烟雾。画面采用传统中国美学的彩色水墨风格，背景为幽暗的森林和古老的神庙，营造出一种神秘而庄严的氛围。,人物\人名\巫謝.png
巫相,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"開明東,夾窫窳之尸,皆操不死之藥以距之,",prompt: 巫相，开明东，夹窫窳之尸，皆操不死之药以距之。画面中，巫相身着古朴的长袍，手持不死之药，站在开明东的方向，面对着窫窳的尸体。背景为山海经中的神秘景象，采用传统中国美学的彩色水墨风格，线条流畅，色彩淡雅，充满神话气息。,人物\人名\巫相.png
巫陽,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"開明東,夾窫窳之尸,皆操不死之藥以距之,",prompt: 巫陽，开明东，夹窫窳之尸，皆操不死之药以距之。画面中，巫阳身着古朴的长袍，手持不死之药，站在开明东的位置，身旁是被夹持的窫窳之尸。背景为山海经中的神秘场景，色彩采用传统中国美学的彩色水墨风格，线条流畅，意境深远。,人物\人名\巫陽.png
巫真,人物,人名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt：巫真，一位神秘的古代巫师，身穿华丽的长袍，头戴羽毛装饰的高冠，手持法杖，法杖上雕刻着奇异的符文。他站在一片古老的森林中，周围环绕着淡淡的雾气，月光透过树梢洒下，营造出一种神秘而庄严的氛围。他的面容严肃而专注，眼神深邃，仿佛能洞察世间一切秘密。整体画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅，展现出一种古朴而神秘的美感。,人物\人名\巫真.png
