名字,原文行,相关人物,章节,关系,名字（拼音）,相关人物（拼音）
甘棗之山,《中山經》薄山之首，曰甘棗之山。共水出焉，而西流注于河。其上多杻木，其下有草焉，葵本而杏葉，黃華而莢實，名曰蘀，可以已瞢。有獸焉，其狀如𤠢鼠而文題，其名曰㔮，食之已癭。,"𤠢鼠,薄山,共水,㔮,河,杏,杻,葵,蘀,癭,瞢",中山經,"存在,属于,流出,存在,流注,无关,生长,无关,生长,治疗,无关",ganzaozhishan（甘棗之山）,"𤠢shu（𤠢鼠）,baoshan（薄山）,gongshui（共水）,nuo（㔮）,he（河）,xing（杏）,chou（杻）,kui（葵）,tuo（蘀）,ying（癭）,meng（瞢）"
𤠢鼠,《中山經》薄山之首，曰甘棗之山。共水出焉，而西流注于河。其上多杻木，其下有草焉，葵本而杏葉，黃華而莢實，名曰蘀，可以已瞢。有獸焉，其狀如𤠢鼠而文題，其名曰㔮，食之已癭。,"甘棗之山,薄山,共水,㔮,河,杏,杻,葵,蘀,癭,瞢",中山經,"居住,无关,无关,是,无关,无关,无关,无关,无关,治疗,无关",𤠢shu（𤠢鼠）,"ganzaozhishan（甘棗之山）,baoshan（薄山）,gongshui（共水）,nuo（㔮）,he（河）,xing（杏）,chou（杻）,kui（葵）,tuo（蘀）,ying（癭）,meng（瞢）"
薄山,《中山經》薄山之首，曰甘棗之山。共水出焉，而西流注于河。其上多杻木，其下有草焉，葵本而杏葉，黃華而莢實，名曰蘀，可以已瞢。有獸焉，其狀如𤠢鼠而文題，其名曰㔮，食之已癭。,"甘棗之山,𤠢鼠,共水,㔮,河,杏,杻,葵,蘀,癭,瞢",中山經,"包含,无关,流出,存在,流注,无关,生长,无关,生长,治疗,无关",baoshan（薄山）,"ganzaozhishan（甘棗之山）,𤠢shu（𤠢鼠）,gongshui（共水）,nuo（㔮）,he（河）,xing（杏）,chou（杻）,kui（葵）,tuo（蘀）,ying（癭）,meng（瞢）"
共水,《中山經》薄山之首，曰甘棗之山。共水出焉，而西流注于河。其上多杻木，其下有草焉，葵本而杏葉，黃華而莢實，名曰蘀，可以已瞢。有獸焉，其狀如𤠢鼠而文題，其名曰㔮，食之已癭。,"甘棗之山,𤠢鼠,薄山,㔮,河,杏,杻,葵,蘀,癭,瞢",中山經,"出,无关,出,无关,流注,无关,生长,无关,生长,无关,无关",gongshui（共水）,"ganzaozhishan（甘棗之山）,𤠢shu（𤠢鼠）,baoshan（薄山）,nuo（㔮）,he（河）,xing（杏）,chou（杻）,kui（葵）,tuo（蘀）,ying（癭）,meng（瞢）"
㔮,《中山經》薄山之首，曰甘棗之山。共水出焉，而西流注于河。其上多杻木，其下有草焉，葵本而杏葉，黃華而莢實，名曰蘀，可以已瞢。有獸焉，其狀如𤠢鼠而文題，其名曰㔮，食之已癭。,"甘棗之山,𤠢鼠,薄山,共水,河,杏,杻,葵,蘀,癭,瞢",中山經,"居住,状如,居住,无关,无关,无关,无关,无关,无关,治疗,无关",nuo（㔮）,"ganzaozhishan（甘棗之山）,𤠢shu（𤠢鼠）,baoshan（薄山）,gongshui（共水）,he（河）,xing（杏）,chou（杻）,kui（葵）,tuo（蘀）,ying（癭）,meng（瞢）"
河,《中山經》薄山之首，曰甘棗之山。共水出焉，而西流注于河。其上多杻木，其下有草焉，葵本而杏葉，黃華而莢實，名曰蘀，可以已瞢。有獸焉，其狀如𤠢鼠而文題，其名曰㔮，食之已癭。,"甘棗之山,𤠢鼠,薄山,共水,㔮,杏,杻,葵,蘀,癭,瞢",中山經,"流注,无关,流注,注入,无关,无关,无关,无关,无关,无关,无关",he（河）,"ganzaozhishan（甘棗之山）,𤠢shu（𤠢鼠）,baoshan（薄山）,gongshui（共水）,nuo（㔮）,xing（杏）,chou（杻）,kui（葵）,tuo（蘀）,ying（癭）,meng（瞢）"
杏,《中山經》薄山之首，曰甘棗之山。共水出焉，而西流注于河。其上多杻木，其下有草焉，葵本而杏葉，黃華而莢實，名曰蘀，可以已瞢。有獸焉，其狀如𤠢鼠而文題，其名曰㔮，食之已癭。,"甘棗之山,𤠢鼠,薄山,共水,㔮,河,杻,葵,蘀,癭,瞢",中山經,"无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,治疗",xing（杏）,"ganzaozhishan（甘棗之山）,𤠢shu（𤠢鼠）,baoshan（薄山）,gongshui（共水）,nuo（㔮）,he（河）,chou（杻）,kui（葵）,tuo（蘀）,ying（癭）,meng（瞢）"
杻,《中山經》薄山之首，曰甘棗之山。共水出焉，而西流注于河。其上多杻木，其下有草焉，葵本而杏葉，黃華而莢實，名曰蘀，可以已瞢。有獸焉，其狀如𤠢鼠而文題，其名曰㔮，食之已癭。,"甘棗之山,𤠢鼠,薄山,共水,㔮,河,杏,葵,蘀,癭,瞢",中山經,"生长,无关,在,生长,无关,无关,无关,无关,生长,无关,治疗",chou（杻）,"ganzaozhishan（甘棗之山）,𤠢shu（𤠢鼠）,baoshan（薄山）,gongshui（共水）,nuo（㔮）,he（河）,xing（杏）,kui（葵）,tuo（蘀）,ying（癭）,meng（瞢）"
葵,《中山經》薄山之首，曰甘棗之山。共水出焉，而西流注于河。其上多杻木，其下有草焉，葵本而杏葉，黃華而莢實，名曰蘀，可以已瞢。有獸焉，其狀如𤠢鼠而文題，其名曰㔮，食之已癭。,"甘棗之山,𤠢鼠,薄山,共水,㔮,河,杏,杻,蘀,癭,瞢",中山經,"无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,治疗",kui（葵）,"ganzaozhishan（甘棗之山）,𤠢shu（𤠢鼠）,baoshan（薄山）,gongshui（共水）,nuo（㔮）,he（河）,xing（杏）,chou（杻）,tuo（蘀）,ying（癭）,meng（瞢）"
蘀,《中山經》薄山之首，曰甘棗之山。共水出焉，而西流注于河。其上多杻木，其下有草焉，葵本而杏葉，黃華而莢實，名曰蘀，可以已瞢。有獸焉，其狀如𤠢鼠而文題，其名曰㔮，食之已癭。,"甘棗之山,𤠢鼠,薄山,共水,㔮,河,杏,杻,葵,癭,瞢",中山經,"生长于,无关,无关,无关,无关,无关,无关,无关,无关,无关,治疗",tuo（蘀）,"ganzaozhishan（甘棗之山）,𤠢shu（𤠢鼠）,baoshan（薄山）,gongshui（共水）,nuo（㔮）,he（河）,xing（杏）,chou（杻）,kui（葵）,ying（癭）,meng（瞢）"
癭,《中山經》薄山之首，曰甘棗之山。共水出焉，而西流注于河。其上多杻木，其下有草焉，葵本而杏葉，黃華而莢實，名曰蘀，可以已瞢。有獸焉，其狀如𤠢鼠而文題，其名曰㔮，食之已癭。,"甘棗之山,𤠢鼠,薄山,共水,㔮,河,杏,杻,葵,蘀,瞢",中山經,"无关,治疗,无关,无关,治疗,无关,无关,无关,无关,无关,无关",ying（癭）,"ganzaozhishan（甘棗之山）,𤠢shu（𤠢鼠）,baoshan（薄山）,gongshui（共水）,nuo（㔮）,he（河）,xing（杏）,chou（杻）,kui（葵）,tuo（蘀）,meng（瞢）"
