名字,名字（拼音）,原文行,相关人物,章节,相关人物（拼音）,关系,relation
㔮,nuo（㔮）,《中山經》薄山之首，曰甘棗之山。共水出焉，而西流注于河。其上多杻木，其下有草焉，葵本而杏葉，黃華而莢實，名曰蘀，可以已瞢。有獸焉，其狀如𤠢鼠而文題，其名曰㔮，食之已癭。,"甘棗之山,𤠢鼠,薄山,共水,河,杏,杻,葵,蘀,癭,瞢",中山經,"ganzaozhishan（甘棗之山）,𤠢shu（𤠢鼠）,baoshan（薄山）,gongshui（共水）,he（河）,xing（杏）,chou（杻）,kui（葵）,tuo（蘀）,ying（癭）,meng（瞢）","居住,状如,居住,无关,无关,无关,无关,无关,无关,治疗,无关","reside,It looks like this,reside,Independent,Independent,Independent,Independent,Independent,Independent,treat,Independent"
㖶,yan（㖶）,又東二十七里，曰堵山，神天愚居之，是多怪風雨。其上有木焉，名曰天楄，方莖而葵狀，服者不㖶。,"怪風雨,天愚,堵山,天楄,服,葵",中山經,"guaifengyu（怪風雨）,tianyu（天愚）,dushan（堵山）,tianpian（天楄）,fu（服）,kui（葵）","无关,无关,无关,无关,不,无关","Independent,Independent,Independent,Independent,No,Independent"
㚟,chuo（㚟）,又東北三百五十里，曰綸山，其木多梓柟，多桃枝，多柤栗橘櫾，其獸多閭麈、麢、㚟。|又東北百里，曰大堯之山，其木多松柏，多梓桑，多机，其草多竹，其獸多豹虎麢㚟。|又東一百五十里，曰崌山，江水出焉，東流注于大江，其中多怪蛇，多䲀魚，其木多楢杻，多梅梓，其獸多夔牛麢㚟犀兕。有鳥焉；狀如鴞而赤身白首，其名曰竊脂，可以禦火。|又東北二百里，曰玉山，其陽多銅，其陰多赤金，其木多豫樟楢杻，其獸多豕鹿麢㚟，其鳥多鴆。|又東二百里，曰葛山，其上多赤金，其下多瑊石，其木多柤栗橘櫾楢杻，其獸多麢㚟，其草多嘉榮。|又東南三十五里，曰即谷之山，多美玉，多玄豹，多閭麈，多麢㚟。其陽多珉，其陰多青䨼。,"綸山,桃枝,麈,閭,麢,櫾,梓,柤,橘,栗,柟,大堯之山,豹,虎,麢,梓,松,桑,竹,夔牛,怪蛇,䲀魚,竊脂,崌山,大江,江水,犀,麢,兕,鴞,楢,梓,梅,杻,玉山,赤金,鹿,麢,豕,鴆,楢,杻,銅,葛山,嘉榮,赤金,瑊石,麢,楢,櫾,柤,橘,栗,杻,即谷之山,玄豹,美玉,青䨼,麈,閭,麢,珉",中山經;中山經;中山經;中山經;中山經;中山經,"lunshan（綸山）,taozhi（桃枝）,zhu（麈）,lv（閭）,ling（麢）,you（櫾）,zi（梓）,zha（柤）,ju（橘）,li（栗）,nan（柟）,dayaozhishan（大堯之山）,bao（豹）,hu（虎）,ling（麢）,zi（梓）,song（松）,sang（桑）,zhu（竹）,kuiniu（夔牛）,guaishe（怪蛇）,zhiyu（䲀魚）,qiezhi（竊脂）,jushan（崌山）,dajiang（大江）,jiangshui（江水）,xi（犀）,ling（麢）,si（兕）,xiao（鴞）,you（楢）,zi（梓）,mei（梅）,chou（杻）,yushan（玉山）,chijin（赤金）,lu（鹿）,ling（麢）,shi（豕）,zhen（鴆）,you（楢）,chou（杻）,tong（銅）,geshan（葛山）,jiarong（嘉榮）,chijin（赤金）,jianshi（瑊石）,ling（麢）,you（楢）,you（櫾）,zha（柤）,ju（橘）,li（栗）,chou（杻）,jiguzhishan（即谷之山）,xuanbao（玄豹）,meiyu（美玉）,qinghu（青䨼）,zhu（麈）,lv（閭）,ling（麢）,min（珉）","存在,无关,共存,共存,共存,无关,无关,无关,无关,无关,无关,存在,共存,共存,并列,无关,无关,无关,无关,无关,无关,无关,无关,居住,无关,无关,共存,共存,共存,无关,无关,无关,无关,无关,栖息,无关,共存,并列,共存,无关,无关,无关,无关,存在,共存,无关,无关,共存,无关,无关,无关,无关,无关,共存,存在,共存,无关,无关,并列,并列,并列,无关","exist,Independent,coexistence,coexistence,coexistence,Independent,Independent,Independent,Independent,Independent,Independent,exist,coexistence,coexistence,juxtaposition,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,reside,Independent,Independent,coexistence,coexistence,coexistence,Independent,Independent,Independent,Independent,Independent,roost,Independent,coexistence,juxtaposition,coexistence,Independent,Independent,Independent,Independent,exist,coexistence,Independent,Independent,coexistence,Independent,Independent,Independent,Independent,Independent,coexistence,exist,coexistence,Independent,Independent,juxtaposition,juxtaposition,juxtaposition,Independent"
㱙塗之山,xiutuzhishan（㱙塗之山）,大荒之中，有山名㱙塗之山，青水窮焉。有雲雨之山，有木名曰欒。禹攻雲雨，有赤石焉生欒，黃本，赤枝，青葉，群帝焉取藥。,"雲雨之山,青水,赤石,禹,帝,欒,枝",大荒南經,"yunyuzhishan（雲雨之山）,qingshui（青水）,chishi（赤石）,yu（禹）,di（帝）,luan（欒）,zhi（枝）","无关,流,无关,无关,无关,无关,无关","Independent,flow,Independent,Independent,Independent,Independent,Independent"
㴬水,xieshui（㴬水）,又西三十里，曰瞻諸之山，其陽多金，其陰多文石。㴬水出焉，而東南流注于洛；少水出其陰，而東流注于穀水。,"瞻諸之山,少水,文石,金",中山經,"zhanzhuzhishan（瞻諸之山）,shaoshui（少水）,wenshi（文石）,jin（金）","出,无关,无关,无关","go out,Independent,Independent,Independent"
㶌水,lianshui（㶌水）,又北百里，曰王屋之山，是多石。㶌水出焉，而西北流注于泰澤。,"王屋之山,泰澤,石",北山經,"wangwuzhishan（王屋之山）,taize（泰澤）,shi（石）","出,流入,无关","go out,inflow,Independent"
㸲牛,zuoniu（㸲牛）,又西三百里，曰牡山，其上多文石，其下多竹箭、竹䉋，其獸多㸲牛、羬羊，鳥多赤鷩。|又西九十里，曰夸父之山，其木多椶柟，多竹箭，其獸多㸲牛、羬羊，其鳥多鷩，其陽多玉，其陰多鐵。其北有林焉，名曰桃林，是廣員三百里，其中多馬。湖水出焉，而北流注于河，其中多珚玉。|又東四十里，曰支離之山，濟水出焉，南流注于漢。有鳥焉，其名曰嬰勺，其狀如鵲，赤目、赤喙、白身，其尾若勺，其鳴自呼。多㸲牛，多羬羊。|又西八十里，曰小華之山，其木多荊杞，其獸多㸲牛，其陰多磬石，其陽多㻬琈之玉，鳥多赤鷩，可以禦火，其草有萆荔，狀如烏韭，而生於石上，亦緣木而生，食之已心痛。|又西七十里，曰英山，其上多杻橿，其陰多鐵，其陽多赤金。禺水出焉，北流注于招水，其中多䰷魚，其狀如鱉，其音如羊。其陽多箭䉋，其獸多㸲牛、羬羊。有鳥焉，其狀如鶉，黃身而赤喙，其名曰肥遺，食之已癘，可以殺蟲。|又西二百里，曰鹿臺之山，其上多白玉，其下多銀，其獸多㸲牛、羬羊、白豪。有鳥焉，其狀如雄雞而人面，名曰鳧徯，其名自叫也，見則有兵。|又西三百里，曰大次之山，其陽多堊，其陰多碧，其獸多㸲牛、麢羊。|又西四百里，曰㕄陽之山，其木多稷、柟、豫章，其獸多犀、兕、虎、犳、㸲牛。|又西三百五十里，曰西皇之山，其陽多金，其陰多鐵，其獸多麋鹿、㸲牛。|西二百五十里，曰白於之山，上多松柏，下多櫟檀，其獸多㸲牛、羬羊，其鳥多鴞。洛水出于其陽，而東流注于渭；夾水出于其陰，東流注于生水。,"羬羊,赤鷩,牡山,竹䉋,竹箭,文石,夸父之山,羬羊,桃林,湖水,竹箭,珚玉,馬,鷩,河,柟,鐵,支離之山,羬羊,嬰勺,鵲,濟,若,小華之山,㻬琈之玉,赤鷩,烏韭,萆荔,心痛,磬石,杞,羬羊,䰷魚,肥遺,英山,禺水,招水,赤金,蟲,鶉,橿,杻,箭,䉋,癘,鐵,鹿臺之山,白豪,羬羊,雄雞,白玉,鳧,銀,大次之山,羊,麢,碧,堊,豫章,稷,犀,犳,虎,兕,柟,西皇之山,鹿,麋,金,鐵,白於之山,羬羊,夾水,洛水,生水,鴞,櫟,渭,松,檀",中山經;中山經;中山經;西山經;西山經;西山經;西山經;西山經;西山經;西山經,"qianyang（羬羊）,chibi（赤鷩）,mushan（牡山）,zhumei（竹䉋）,zhujian（竹箭）,wenshi（文石）,kuafuzhishan（夸父之山）,qianyang（羬羊）,taolin（桃林）,hushui（湖水）,zhujian（竹箭）,yanyu（珚玉）,ma（馬）,bi（鷩）,he（河）,nan（柟）,tie（鐵）,zhilizhishan（支離之山）,qianyang（羬羊）,yingshao（嬰勺）,que（鵲）,ji（濟）,ruo（若）,xiaohuazhishan（小華之山）,tufuzhiyu（㻬琈之玉）,chibi（赤鷩）,wujiu（烏韭）,bili（萆荔）,xintong（心痛）,qingshi（磬石）,qi（杞）,qianyang（羬羊）,bangyu（䰷魚）,feiyi（肥遺）,yingshan（英山）,yushui（禺水）,zhaoshui（招水）,chijin（赤金）,chong（蟲）,chun（鶉）,jiang（橿）,chou（杻）,jian（箭）,mei（䉋）,li（癘）,tie（鐵）,lutaizhishan（鹿臺之山）,baihao（白豪）,qianyang（羬羊）,xiongji（雄雞）,baiyu（白玉）,fu（鳧）,yin（銀）,dacizhishan（大次之山）,yang（羊）,ling（麢）,bi（碧）,e（堊）,yuzhang（豫章）,ji（稷）,xi（犀）,zhuo（犳）,hu（虎）,si（兕）,nan（柟）,xihuangzhishan（西皇之山）,lu（鹿）,mi（麋）,jin（金）,tie（鐵）,baiyuzhishan（白於之山）,qianyang（羬羊）,jiashui（夾水）,luoshui（洛水）,shengshui（生水）,xiao（鴞）,li（櫟）,wei（渭）,song（松）,tan（檀）","共存,无关,居住,无关,无关,无关,位于,共存,无关,无关,无关,无关,无关,无关,无关,无关,无关,存在,共存,无关,无关,无关,无关,存在,无关,无关,无关,无关,无关,无关,无关,共存,无关,无关,居住,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,位于,共存,共存,无关,无关,无关,无关,居住,并列,共存,无关,无关,存在,无关,共存,共存,共存,共存,无关,存在,共存,共存,无关,无关,位于,共存,无关,无关,无关,无关,无关,无关,无关,无关","coexistence,Independent,reside,Independent,Independent,Independent,situated,coexistence,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,exist,coexistence,Independent,Independent,Independent,Independent,exist,Independent,Independent,Independent,Independent,Independent,Independent,Independent,coexistence,Independent,Independent,reside,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,situated,coexistence,coexistence,Independent,Independent,Independent,Independent,reside,juxtaposition,coexistence,Independent,Independent,exist,Independent,coexistence,coexistence,coexistence,coexistence,Independent,exist,coexistence,coexistence,Independent,Independent,situated,coexistence,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent"
㻬琈之玉,tufuzhiyu（㻬琈之玉）,《中次三經》萯山之首，曰敖岸之山，其陽多㻬琈之玉，其陰多赭、黃金。神熏池居之。是常出美玉。北望河林，其狀如蒨如舉。有獸焉，其狀如白鹿而四角，名曰夫諸，見則其邑大水。|又東十里，曰騩山，其上有美棗，其陰有㻬琈之玉。正回之水出焉，而北流注于河。其中多飛魚，其狀如豚而赤文，服之不畏雷，可以禦兵。|又西二百里，曰箕尾之山，多穀，多涂石，其上多㻬琈之玉。|東三百里，曰首山，其陰多穀柞，草多𦬸芫，其陽多㻬琈之玉，木多槐；其陰有谷，曰机谷，多𩿁鳥，其狀如梟而三目，有耳，其音如錄，食之已墊。|又西十里，曰廆山，其陰多㻬琈之玉。其西有谷焉，名曰雚谷，其木多柳楮。其中有鳥焉，狀如山鷄而長尾，赤如丹火而青喙，名曰鴒䳩，其鳴自呼，服之不眯。交觴之水出于其陽，而南流注于洛；俞隨之水出于其陰，而北流注于穀水。|又東五十七里，曰大𩇵之山，多㻬琈之玉，多麋玉。有草焉，其狀葉如榆，方莖而蒼傷，其名曰牛傷，其根蒼文，服者不厥，可以禦兵。其陽狂水出焉，西南流注于伊水，其中多三足龜，食者無大疾，可以已腫。|又東三十五里，曰敏山。上有木焉，其狀如荊，白華而赤實，名曰葪柏，服者不寒。其陽多㻬琈之玉。|又東北二百里，曰陸䣀之山，其上多㻬琈之玉，其下多堊，其木多杻橿。|又南百二十里，曰若山，其上多㻬琈之玉，多赭，多邽石，多寓木，多柘。|又西五十里，曰涿山，其木多穀柞杻，其陽多㻬琈之玉。|又東南二百里，曰帝囷之山，其陽多㻬琈之玉，其陰多鐵。帝囷之水出于其上，潛于其下，多鳴蛇。|又東南三十里，曰畢山。帝苑之水出焉，東北流注于視，其中多水玉，多蛟，其上多㻬琈之玉。|又東三百里，曰奧山，其上多柏杻橿，其陽多㻬琈之玉。奧水出焉，東流注于視水。|又東南五十里，曰雲山，無草木。有桂竹，甚毒，傷人必死。其上多黃金，其下多㻬琈之玉。|又東南二百里，曰即公之山，其上多黃金，其下多㻬琈之玉，其木多柳杻檀桑。有獸焉，其狀如龜，而白身赤首，名曰蛫，是可以禦火。|又西八十里，曰小華之山，其木多荊杞，其獸多㸲牛，其陰多磬石，其陽多㻬琈之玉，鳥多赤鷩，可以禦火，其草有萆荔，狀如烏韭，而生於石上，亦緣木而生，食之已心痛。|又西六十里，曰石脆之山，其木多椶柟，其草多條，其狀如韭，而白華黑實，食之已疥。其陽多㻬琈之玉，其陰多銅。灌水出焉，而北流注于禺水。其中有流赭，以塗牛馬無病。|又西二百五十里，曰眾獸之山，其上多㻬琈之玉，其下多檀楮，多黃金，其獸多犀、兕。|又西百二十里，曰剛山，多柴木，多㻬琈之玉。剛水出焉，北流注于渭，是多神𩳁，其狀人面獸身，一足一手，其音如欽。,"敖岸之山,熏池,夫諸,白鹿,萯山,河林,美玉,舉,蒨,赭,金,正回之水,飛魚,騩山,美棗,豚,服,河,箕尾之山,涂石,首山,机谷,梟,柞,槐,芫,𦬸,墊,俞隨之水,交觴之水,山鷄,廆山,雚谷,服,楮,眯,丹,大𩇵之山,三足龜,伊水,狂水,牛傷,麋,服,榆,厥,敏山,服,陸䣀之山,橿,杻,堊,若山,寓木,邽石,柘,赭,涿山,柞,杻,帝囷之山,帝囷之水,鳴蛇,鐵,帝苑之水,畢山,水玉,蛟,視,視,橿,杻,雲山,桂竹,金,即公之山,蛫,龜,杻,桑,檀,金,小華之山,㸲牛,赤鷩,烏韭,萆荔,心痛,磬石,杞,石脆之山,禺水,灌水,流赭,馬,牛,柟,韭,條,疥,銅,犀,兕,檀,楮,金,神𩳁,剛山,剛水,欽,渭",中山經;中山經;中山經;中山經;中山經;中山經;中山經;中山經;中山經;中山經;中山經;中山經;中山經;中山經;中山經;西山經;西山經;西山經;西山經,"aoanzhishan（敖岸之山）,xunchi（熏池）,fuzhu（夫諸）,bailu（白鹿）,fushan（萯山）,helin（河林）,meiyu（美玉）,ju（舉）,qian（蒨）,zhe（赭）,jin（金）,zhenghuizhishui（正回之水）,feiyu（飛魚）,guishan（騩山）,meizao（美棗）,tun（豚）,fu（服）,he（河）,jiweizhishan（箕尾之山）,tushi（涂石）,shoushan（首山）,jigu（机谷）,xiao（梟）,zha（柞）,huai（槐）,yan（芫）,zhu（𦬸）,dian（墊）,yusuizhishui（俞隨之水）,jiaoshangzhishui（交觴之水）,shanji（山鷄）,guishan（廆山）,guangu（雚谷）,fu（服）,chu（楮）,mi（眯）,dan（丹）,dakuzhishan（大𩇵之山）,sanzugui（三足龜）,yishui（伊水）,kuangshui（狂水）,niushang（牛傷）,mi（麋）,fu（服）,yu（榆）,jue（厥）,minshan（敏山）,fu（服）,luguizhishan（陸䣀之山）,jiang（橿）,chou（杻）,e（堊）,ruoshan（若山）,yumu（寓木）,guishi（邽石）,zhe（柘）,zhe（赭）,zhuoshan（涿山）,zha（柞）,chou（杻）,diqunzhishan（帝囷之山）,diqunzhishui（帝囷之水）,mingshe（鳴蛇）,tie（鐵）,diyuanzhishui（帝苑之水）,bishan（畢山）,shuiyu（水玉）,jiao（蛟）,shi（視）,shi（視）,jiang（橿）,chou（杻）,yunshan（雲山）,guizhu（桂竹）,jin（金）,jigongzhishan（即公之山）,gui（蛫）,gui（龜）,chou（杻）,sang（桑）,tan（檀）,jin（金）,xiaohuazhishan（小華之山）,zuoniu（㸲牛）,chibi（赤鷩）,wujiu（烏韭）,bili（萆荔）,xintong（心痛）,qingshi（磬石）,qi（杞）,shicuizhishan（石脆之山）,yushui（禺水）,guanshui（灌水）,liuzhe（流赭）,ma（馬）,niu（牛）,nan（柟）,jiu（韭）,tiao（條）,jie（疥）,tong（銅）,xi（犀）,si（兕）,tan（檀）,chu（楮）,jin（金）,shen𩳁（神𩳁）,gangshan（剛山）,gangshui（剛水）,qin（欽）,wei（渭）","存在,无关,无关,无关,存在,无关,无关,无关,无关,无关,无关,无关,无关,存在,无关,无关,无关,无关,存在,位于,产自,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,存在,无关,无关,无关,无关,无关,存在,无关,无关,无关,无关,无关,无关,无关,无关,存在,无关,存在,无关,无关,共存,存在,共存,共存,存在,共存,存在,无关,无关,存在,无关,无关,无关,无关,存在,无关,无关,无关,无关,无关,无关,存在,无关,无关,存在,无关,无关,无关,无关,无关,无关,存在,无关,无关,无关,无关,无关,无关,无关,存在,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,存在,无关,无关,无关","exist,Independent,Independent,Independent,exist,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,exist,Independent,Independent,Independent,Independent,exist,situated,Produced from,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,exist,Independent,Independent,Independent,Independent,Independent,exist,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,exist,Independent,exist,Independent,Independent,coexistence,exist,coexistence,coexistence,exist,coexistence,exist,Independent,Independent,exist,Independent,Independent,Independent,Independent,exist,Independent,Independent,Independent,Independent,Independent,Independent,exist,Independent,Independent,exist,Independent,Independent,Independent,Independent,Independent,Independent,exist,Independent,Independent,Independent,Independent,Independent,Independent,Independent,exist,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,exist,Independent,Independent,Independent"
䃌山,zhenshan（䃌山）,又南五百里，曰䃌山，南臨䃌水，東望湖澤。有獸焉，其狀如馬，而羊目、四角、牛尾，其音如獋狗，其名曰峳峳，見則其國多狡客。有鳥焉，其狀如鳧而鼠尾，善登木，其名曰絜鉤，見則其國多疫。|凡《東次二經》之首，自空桑之山至于䃌山，凡十七山，六千六百四十里。其神狀皆獸身人面載觡。其祠：毛用一鷄祈，嬰用一璧瘞。,"峳峳,獋狗,䃌水,湖澤,鳧,羊,狡,馬,牛,鼠,空桑之山,東次二經,鷄,觡,瘞,嬰,祈,毛,璧",東山經;東山經,"youyou（峳峳）,haogou（獋狗）,zhenshui（䃌水）,huze（湖澤）,fu（鳧）,yang（羊）,jiao（狡）,ma（馬）,niu（牛）,shu（鼠）,kongsangzhishan（空桑之山）,dongcierjing（東次二經）,ji（鷄）,ge（觡）,yi（瘞）,ying（嬰）,qi（祈）,mao（毛）,bi（璧）","存在,无关,临,东望,无关,无关,无关,无关,无关,无关,无关,属于,无关,无关,无关,无关,无关,无关,无关","exist,Independent,Pro,Looking east,Independent,Independent,Independent,Independent,Independent,Independent,Independent,belong,Independent,Independent,Independent,Independent,Independent,Independent,Independent"
䃌水,zhenshui（䃌水）,又南五百里，曰䃌山，南臨䃌水，東望湖澤。有獸焉，其狀如馬，而羊目、四角、牛尾，其音如獋狗，其名曰峳峳，見則其國多狡客。有鳥焉，其狀如鳧而鼠尾，善登木，其名曰絜鉤，見則其國多疫。,"峳峳,獋狗,䃌山,湖澤,鳧,羊,狡,馬,牛,鼠",東山經,"youyou（峳峳）,haogou（獋狗）,zhenshan（䃌山）,huze（湖澤）,fu（鳧）,yang（羊）,jiao（狡）,ma（馬）,niu（牛）,shu（鼠）","无关,无关,临,东望,无关,无关,无关,无关,无关,无关","Independent,Independent,Pro,Looking east,Independent,Independent,Independent,Independent,Independent,Independent"
